,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,0.1507675438596491,0.15145000315187132,0.15263581698325981,0.14011151698826074,0.1419554530557747,0.14117199782990836,0.1373119844735565,0.14114671910719429,0.14093767994828876,0.138080684596577,0.1403957382039573,0.14022276589746743,0.14009177574868864,0.1426830011580423
T2,0.1507675438596491,0.0,0.15202801487056875,0.15236125489369148,0.1521390074193638,0.15246156364607452,0.1528472137544202,0.15239518017468945,0.1559264222195151,0.1510883482714468,0.1513702409416958,0.1523797885990102,0.15235040613735099,0.15208817641879124,0.1522545794321691
T3,0.15145000315187132,0.15202801487056875,0.0,0.15208678875417345,0.15136608317021835,0.1525804493017608,0.15140173366597437,0.1513052537443173,0.1521622160113695,0.1513510775836844,0.1512687464372128,0.15108311522899281,0.1511953025051351,0.1511656441717791,0.1512687046434522
T4,0.15263581698325981,0.15236125489369148,0.15208678875417345,0.0,0.15195712336775713,0.15276179733025627,0.1548559620760909,0.1529261777561923,0.1557187955318115,0.154056517775752,0.1520410657540943,0.152436053593179,0.1509793086510714,0.1509225770857598,0.152326840642616
T5,0.14011151698826074,0.1521390074193638,0.15136608317021835,0.15195712336775713,0.0,0.12032676366812586,0.12340622028488973,0.11887911604899166,0.1206527718354623,0.12486163371422078,0.0346280688897031,0.0357339197361187,0.03875357450734387,0.04286996158245435,0.0521170648255636
T6,0.1419554530557747,0.15246156364607452,0.1525804493017608,0.15276179733025627,0.12032676366812586,0.0,0.12348469472175434,0.1115153720211024,0.0536298630469034,0.12383726184253224,0.1191261836117814,0.1209962245767872,0.1190081630147916,0.1178777110648204,0.1225570776255707
T7,0.14117199782990836,0.1528472137544202,0.15140173366597437,0.1548559620760909,0.12340622028488973,0.12348469472175434,0.0,0.1260626669905271,0.122795046824169,0.1197473888753947,0.1221583964800782,0.1247028707259096,0.1231648135634867,0.12300519716051218,0.12296654136383851
T8,0.1373119844735565,0.15239518017468945,0.1513052537443173,0.1529261777561923,0.11887911604899166,0.1115153720211024,0.1260626669905271,0.0,0.1109628910987145,0.1212047607481175,0.1175320708613317,0.1195519844168492,0.11915004756191527,0.11950642347902302,0.1199293458399317
T9,0.14114671910719429,0.1559264222195151,0.1521622160113695,0.1557187955318115,0.1206527718354623,0.0536298630469034,0.122795046824169,0.1109628910987145,0.0,0.1221392581800522,0.1174494594759665,0.11825401109874752,0.1162747866658481,0.1182876770427349,0.1202801461632155
T10,0.14093767994828876,0.1510883482714468,0.1513510775836844,0.154056517775752,0.12486163371422078,0.12383726184253224,0.1197473888753947,0.1212047607481175,0.1221392581800522,0.0,0.1240295861605232,0.1256247714250883,0.12426686634580741,0.1244787834191807,0.1245987808774507
T11,0.138080684596577,0.1513702409416958,0.1512687464372128,0.1520410657540943,0.0346280688897031,0.1191261836117814,0.1221583964800782,0.1175320708613317,0.1174494594759665,0.1240295861605232,0.0,0.04276123487319595,0.038272515050989,0.0382707733757883,0.0519115671186026
T12,0.1403957382039573,0.1523797885990102,0.15108311522899281,0.152436053593179,0.0357339197361187,0.1209962245767872,0.1247028707259096,0.1195519844168492,0.11825401109874752,0.1256247714250883,0.04276123487319595,0.0,0.038749233599019,0.04264373182833174,0.05249128249650299
T13,0.14022276589746743,0.15235040613735099,0.1511953025051351,0.1509793086510714,0.03875357450734387,0.1190081630147916,0.1231648135634867,0.11915004756191527,0.1162747866658481,0.12426686634580741,0.038272515050989,0.038749233599019,0.0,0.04230640156031284,0.052071575111799016
T14,0.14009177574868864,0.15208817641879124,0.1511656441717791,0.1509225770857598,0.04286996158245435,0.1178777110648204,0.12300519716051218,0.11950642347902302,0.1182876770427349,0.1244787834191807,0.0382707733757883,0.04264373182833174,0.04230640156031284,0.0,0.0527992159745191
T15,0.1426830011580423,0.1522545794321691,0.1512687046434522,0.152326840642616,0.0521170648255636,0.1225570776255707,0.12296654136383851,0.1199293458399317,0.1202801461632155,0.1245987808774507,0.0519115671186026,0.05249128249650299,0.052071575111799016,0.0527992159745191,0.0
