method,pct_missing,frac_missing_requested,missingness_actual,replicate,mask_seed,n_pairs_total,n_missing,n_observed,optimized_variables,success,success_numerical,success_valid_matrix,objective_improved,error_message,masked_file,completed_file,run_log_file,epoch_log_file,runtime_seconds,Delta_total_completed,Delta_normalized_completed,Delta_per_triangle_completed,Delta_relative_to_original,Delta_original,Delta_normalized_original,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,max_abs_error_observed,mean_abs_error_observed,Delta_init,Delta_final,Delta_reduction_percent,best_epoch,epochs_used,convergence_epoch,final_learning_rate,init_strategy,n_restarts,best_restart,best_restart_initial_Delta,best_restart_final_Delta,upper_bound,initial_global_mean,initial_global_median,observed_min_distance,observed_max_distance,optimizer_config_json,sensitivity_variant,variant_description,lr_init,lr_milestones,clip_grad_norm,h_central_diff
Hyb-Adam-UM,50,0.5,0.49523809523809526,1,55,105,52,53,52,True,True,True,True,,missing_p50_rep01_seed55.csv,,hyb_adam_um_outputs/logs/Sensitivity_baseline_p50_rep01_seed55.log,hyb_adam_um_outputs/logs/epoch_logs/Sensitivity_baseline_p50_rep01_seed55_epochs.csv,37.638631245004945,29.22819236820515,0.012677510921257325,0.0642377854246267,0.49942269552703844,58.523957020737264,0.022445654481427994,0.01875577559594917,0.00610176221571533,0.8798632654806522,0.7746094083496968,0.0,0.0,326.3766172306846,29.22819236820515,91.04464265356776,4500,5000,4500,0.0025,two_way_mean,1,0,326.3766172306846,29.22819236820515,0.23388963332927265,0.11899061308824704,0.1231648135634867,0.0346280688897031,0.1559264222195151,"{""epochs"": 5000, ""print_every"": 500, ""lr_init"": 0.02, ""lr_milestones"": [700, 2000, 4000], ""lr_factor"": 0.5, ""lr_min"": 0.0001, ""sched_patience_blocks"": 7, ""weight_decay"": 0.0, ""clip_grad_norm"": 5.0, ""h_central_diff"": 1e-05, ""beta1"": 0.9, ""beta2"": 0.999, ""adam_eps"": 1e-08, ""seed_hyb"": 42, ""init_strategy"": ""two_way_mean"", ""n_restarts"": 1, ""restart_jitter_scale"": 0.03, ""max_distance_factor"": 1.5, ""normalize_objective_by_triplets"": true, ""convergence_rel_tol"": 1e-07, ""convergence_patience_checks"": 5, ""early_stop"": false}",baseline,"two-way initialization, one restart, default lr schedule, clip=5.0, h=1e-5",0.02,"(700, 2000, 4000)",5.0,1e-05
Hyb-Adam-UM,50,0.5,0.49523809523809526,2,56,105,52,53,52,True,True,True,True,,missing_p50_rep02_seed56.csv,,hyb_adam_um_outputs/logs/Sensitivity_baseline_p50_rep02_seed56.log,hyb_adam_um_outputs/logs/epoch_logs/Sensitivity_baseline_p50_rep02_seed56_epochs.csv,37.99424104799982,28.42712725962114,0.012177133862448893,0.06247720276839811,0.4857348803251347,58.523957020737264,0.022445654481427994,0.018566545222333173,0.006705377999478,0.8864645354363534,0.7548023563561853,0.0,0.0,319.2219084645149,28.42712725962114,91.09486958575052,4500,5000,4500,0.0025,two_way_mean,1,0,319.2219084645149,28.42712725962114,0.23388963332927265,0.12265998289748507,0.1244840980820587,0.0161723422433784,0.1559264222195151,"{""epochs"": 5000, ""print_every"": 500, ""lr_init"": 0.02, ""lr_milestones"": [700, 2000, 4000], ""lr_factor"": 0.5, ""lr_min"": 0.0001, ""sched_patience_blocks"": 7, ""weight_decay"": 0.0, ""clip_grad_norm"": 5.0, ""h_central_diff"": 1e-05, ""beta1"": 0.9, ""beta2"": 0.999, ""adam_eps"": 1e-08, ""seed_hyb"": 42, ""init_strategy"": ""two_way_mean"", ""n_restarts"": 1, ""restart_jitter_scale"": 0.03, ""max_distance_factor"": 1.5, ""normalize_objective_by_triplets"": true, ""convergence_rel_tol"": 1e-07, ""convergence_patience_checks"": 5, ""early_stop"": false}",baseline,"two-way initialization, one restart, default lr schedule, clip=5.0, h=1e-5",0.02,"(700, 2000, 4000)",5.0,1e-05
Hyb-Adam-UM,50,0.5,0.49523809523809526,3,57,105,52,53,52,True,True,True,True,,missing_p50_rep03_seed57.csv,,hyb_adam_um_outputs/logs/Sensitivity_baseline_p50_rep03_seed57.log,hyb_adam_um_outputs/logs/epoch_logs/Sensitivity_baseline_p50_rep03_seed57_epochs.csv,38.03496403200552,20.837466893334742,0.009297259734255317,0.04579663053480163,0.35605020497761686,58.523957020737264,0.022445654481427994,0.0071764886733739625,0.003981701022094082,0.9955212163902429,0.9427132246222145,0.0,0.0,312.9348820564668,20.837466893334742,93.34127702338571,4500,5000,4500,0.0025,two_way_mean,1,0,312.9348820564668,20.837466893334742,0.23388963332927265,0.12047078444934654,0.1240295861605232,0.0382707733757883,0.1559264222195151,"{""epochs"": 5000, ""print_every"": 500, ""lr_init"": 0.02, ""lr_milestones"": [700, 2000, 4000], ""lr_factor"": 0.5, ""lr_min"": 0.0001, ""sched_patience_blocks"": 7, ""weight_decay"": 0.0, ""clip_grad_norm"": 5.0, ""h_central_diff"": 1e-05, ""beta1"": 0.9, ""beta2"": 0.999, ""adam_eps"": 1e-08, ""seed_hyb"": 42, ""init_strategy"": ""two_way_mean"", ""n_restarts"": 1, ""restart_jitter_scale"": 0.03, ""max_distance_factor"": 1.5, ""normalize_objective_by_triplets"": true, ""convergence_rel_tol"": 1e-07, ""convergence_patience_checks"": 5, ""early_stop"": false}",baseline,"two-way initialization, one restart, default lr schedule, clip=5.0, h=1e-5",0.02,"(700, 2000, 4000)",5.0,1e-05
Hyb-Adam-UM,50,0.5,0.49523809523809526,4,58,105,52,53,52,True,True,True,True,,missing_p50_rep04_seed58.csv,,hyb_adam_um_outputs/logs/Sensitivity_baseline_p50_rep04_seed58.log,hyb_adam_um_outputs/logs/epoch_logs/Sensitivity_baseline_p50_rep04_seed58_epochs.csv,37.81556354899658,23.63958876838706,0.010425902678458235,0.051955140150301234,0.4039301163455276,58.523957020737264,0.022445654481427994,0.018927313156497358,0.006818908313060561,0.868352776898664,0.7226158968667293,0.0,0.0,305.6745853243475,23.63958876838706,92.26641994351498,5000,5000,5000,0.0025,two_way_mean,1,0,305.6745853243475,23.63958876838706,0.23388963332927265,0.11861477645295795,0.1240295861605232,0.0346280688897031,0.1559264222195151,"{""epochs"": 5000, ""print_every"": 500, ""lr_init"": 0.02, ""lr_milestones"": [700, 2000, 4000], ""lr_factor"": 0.5, ""lr_min"": 0.0001, ""sched_patience_blocks"": 7, ""weight_decay"": 0.0, ""clip_grad_norm"": 5.0, ""h_central_diff"": 1e-05, ""beta1"": 0.9, ""beta2"": 0.999, ""adam_eps"": 1e-08, ""seed_hyb"": 42, ""init_strategy"": ""two_way_mean"", ""n_restarts"": 1, ""restart_jitter_scale"": 0.03, ""max_distance_factor"": 1.5, ""normalize_objective_by_triplets"": true, ""convergence_rel_tol"": 1e-07, ""convergence_patience_checks"": 5, ""early_stop"": false}",baseline,"two-way initialization, one restart, default lr schedule, clip=5.0, h=1e-5",0.02,"(700, 2000, 4000)",5.0,1e-05
Hyb-Adam-UM,50,0.5,0.49523809523809526,5,59,105,52,53,52,True,True,True,True,,missing_p50_rep05_seed59.csv,,hyb_adam_um_outputs/logs/Sensitivity_baseline_p50_rep05_seed59.log,hyb_adam_um_outputs/logs/epoch_logs/Sensitivity_baseline_p50_rep05_seed59_epochs.csv,37.72148809500504,26.54322615813342,0.011545076905203016,0.05833676078710642,0.453544625301535,58.523957020737264,0.022445654481427994,0.003778907830906658,0.0020217979467598754,0.994896356682373,0.9411764705882353,0.0,0.0,427.6227084584374,26.54322615813342,93.79283989528511,5000,5000,5000,0.0025,two_way_mean,1,0,427.6227084584374,26.54322615813342,0.23388963332927265,0.1152604101989678,0.1231648135634867,0.0346280688897031,0.1559264222195151,"{""epochs"": 5000, ""print_every"": 500, ""lr_init"": 0.02, ""lr_milestones"": [700, 2000, 4000], ""lr_factor"": 0.5, ""lr_min"": 0.0001, ""sched_patience_blocks"": 7, ""weight_decay"": 0.0, ""clip_grad_norm"": 5.0, ""h_central_diff"": 1e-05, ""beta1"": 0.9, ""beta2"": 0.999, ""adam_eps"": 1e-08, ""seed_hyb"": 42, ""init_strategy"": ""two_way_mean"", ""n_restarts"": 1, ""restart_jitter_scale"": 0.03, ""max_distance_factor"": 1.5, ""normalize_objective_by_triplets"": true, ""convergence_rel_tol"": 1e-07, ""convergence_patience_checks"": 5, ""early_stop"": false}",baseline,"two-way initialization, one restart, default lr schedule, clip=5.0, h=1e-5",0.02,"(700, 2000, 4000)",5.0,1e-05
Hyb-Adam-UM,50,0.5,0.49523809523809526,1,55,105,52,53,52,True,True,True,True,,missing_p50_rep01_seed55.csv,,hyb_adam_um_outputs/logs/Sensitivity_old_global_mean_init_p50_rep01_seed55.log,hyb_adam_um_outputs/logs/epoch_logs/Sensitivity_old_global_mean_init_p50_rep01_seed55_epochs.csv,37.52590794698335,38.32994332643507,0.013615088065675492,0.08424163368447268,0.6549444924384268,58.523957020737264,0.022445654481427994,0.03483808853459485,0.016161867435550908,0.5967504214047096,0.7460087082728593,0.0,0.0,328.33199877054994,38.32994332643507,88.3258581344606,4500,5000,4500,0.0025,global_mean,1,0,328.33199877054994,38.32994332643507,0.23388963332927265,0.11899061308824704,0.1231648135634867,0.0346280688897031,0.1559264222195151,"{""epochs"": 5000, ""print_every"": 500, ""lr_init"": 0.02, ""lr_milestones"": [700, 2000, 4000], ""lr_factor"": 0.5, ""lr_min"": 0.0001, ""sched_patience_blocks"": 7, ""weight_decay"": 0.0, ""clip_grad_norm"": 5.0, ""h_central_diff"": 1e-05, ""beta1"": 0.9, ""beta2"": 0.999, ""adam_eps"": 1e-08, ""seed_hyb"": 42, ""init_strategy"": ""global_mean"", ""n_restarts"": 1, ""restart_jitter_scale"": 0.03, ""max_distance_factor"": 1.5, ""normalize_objective_by_triplets"": true, ""convergence_rel_tol"": 1e-07, ""convergence_patience_checks"": 5, ""early_stop"": false}",old_global_mean_init,"old initialization only: global mean, 1 restart",0.02,"(700, 2000, 4000)",5.0,1e-05
Hyb-Adam-UM,50,0.5,0.49523809523809526,2,56,105,52,53,52,True,True,True,True,,missing_p50_rep02_seed56.csv,,hyb_adam_um_outputs/logs/Sensitivity_old_global_mean_init_p50_rep02_seed56.log,hyb_adam_um_outputs/logs/epoch_logs/Sensitivity_old_global_mean_init_p50_rep02_seed56_epochs.csv,37.51415875501698,28.00048648926754,0.011967355107578844,0.061539530745642945,0.47844486112492196,58.523957020737264,0.022445654481427994,0.01862338304395979,0.006617853041327724,0.8861966170836069,0.7664133868351405,0.0,0.0,193.92466176682052,28.00048648926754,85.56115233918214,4500,5000,4500,0.0025,global_mean,1,0,193.92466176682052,28.00048648926754,0.23388963332927265,0.12265998289748507,0.1244840980820587,0.0161723422433784,0.1559264222195151,"{""epochs"": 5000, ""print_every"": 500, ""lr_init"": 0.02, ""lr_milestones"": [700, 2000, 4000], ""lr_factor"": 0.5, ""lr_min"": 0.0001, ""sched_patience_blocks"": 7, ""weight_decay"": 0.0, ""clip_grad_norm"": 5.0, ""h_central_diff"": 1e-05, ""beta1"": 0.9, ""beta2"": 0.999, ""adam_eps"": 1e-08, ""seed_hyb"": 42, ""init_strategy"": ""global_mean"", ""n_restarts"": 1, ""restart_jitter_scale"": 0.03, ""max_distance_factor"": 1.5, ""normalize_objective_by_triplets"": true, ""convergence_rel_tol"": 1e-07, ""convergence_patience_checks"": 5, ""early_stop"": false}",old_global_mean_init,"old initialization only: global mean, 1 restart",0.02,"(700, 2000, 4000)",5.0,1e-05
Hyb-Adam-UM,50,0.5,0.49523809523809526,3,57,105,52,53,52,True,True,True,True,,missing_p50_rep03_seed57.csv,,hyb_adam_um_outputs/logs/Sensitivity_old_global_mean_init_p50_rep03_seed57.log,hyb_adam_um_outputs/logs/epoch_logs/Sensitivity_old_global_mean_init_p50_rep03_seed57_epochs.csv,37.31746088998625,20.825448487789096,0.009295937943724408,0.04577021645667933,0.35584484624663787,58.523957020737264,0.022445654481427994,0.00704157326634058,0.0038479412329090446,0.9953020502041128,0.9470673610518227,0.0,0.0,165.30158187214397,20.825448487789096,87.40154313592899,4500,5000,4500,0.0025,global_mean,1,0,165.30158187214397,20.825448487789096,0.23388963332927265,0.12047078444934654,0.1240295861605232,0.0382707733757883,0.1559264222195151,"{""epochs"": 5000, ""print_every"": 500, ""lr_init"": 0.02, ""lr_milestones"": [700, 2000, 4000], ""lr_factor"": 0.5, ""lr_min"": 0.0001, ""sched_patience_blocks"": 7, ""weight_decay"": 0.0, ""clip_grad_norm"": 5.0, ""h_central_diff"": 1e-05, ""beta1"": 0.9, ""beta2"": 0.999, ""adam_eps"": 1e-08, ""seed_hyb"": 42, ""init_strategy"": ""global_mean"", ""n_restarts"": 1, ""restart_jitter_scale"": 0.03, ""max_distance_factor"": 1.5, ""normalize_objective_by_triplets"": true, ""convergence_rel_tol"": 1e-07, ""convergence_patience_checks"": 5, ""early_stop"": false}",old_global_mean_init,"old initialization only: global mean, 1 restart",0.02,"(700, 2000, 4000)",5.0,1e-05
Hyb-Adam-UM,50,0.5,0.49523809523809526,4,58,105,52,53,52,True,True,True,True,,missing_p50_rep04_seed58.csv,,hyb_adam_um_outputs/logs/Sensitivity_old_global_mean_init_p50_rep04_seed58.log,hyb_adam_um_outputs/logs/epoch_logs/Sensitivity_old_global_mean_init_p50_rep04_seed58_epochs.csv,37.47400317300344,24.873202616347633,0.010957578712355245,0.054666379376588206,0.4250089003300667,58.523957020737264,0.022445654481427994,0.01901751505458555,0.006867675622794841,0.8670676431612592,0.7107487407154442,0.0,0.0,265.542934185737,24.873202616347633,90.6330768345921,4500,5000,4500,0.0025,global_mean,1,0,265.542934185737,24.873202616347633,0.23388963332927265,0.11861477645295795,0.1240295861605232,0.0346280688897031,0.1559264222195151,"{""epochs"": 5000, ""print_every"": 500, ""lr_init"": 0.02, ""lr_milestones"": [700, 2000, 4000], ""lr_factor"": 0.5, ""lr_min"": 0.0001, ""sched_patience_blocks"": 7, ""weight_decay"": 0.0, ""clip_grad_norm"": 5.0, ""h_central_diff"": 1e-05, ""beta1"": 0.9, ""beta2"": 0.999, ""adam_eps"": 1e-08, ""seed_hyb"": 42, ""init_strategy"": ""global_mean"", ""n_restarts"": 1, ""restart_jitter_scale"": 0.03, ""max_distance_factor"": 1.5, ""normalize_objective_by_triplets"": true, ""convergence_rel_tol"": 1e-07, ""convergence_patience_checks"": 5, ""early_stop"": false}",old_global_mean_init,"old initialization only: global mean, 1 restart",0.02,"(700, 2000, 4000)",5.0,1e-05
Hyb-Adam-UM,50,0.5,0.49523809523809526,5,59,105,52,53,52,True,True,True,True,,missing_p50_rep05_seed59.csv,,hyb_adam_um_outputs/logs/Sensitivity_old_global_mean_init_p50_rep05_seed59.log,hyb_adam_um_outputs/logs/epoch_logs/Sensitivity_old_global_mean_init_p50_rep05_seed59_epochs.csv,37.33780499099521,41.693863880951056,0.014707198252375653,0.09163486567241991,0.7124238688470319,58.523957020737264,0.022445654481427994,0.02700852756902664,0.0103477354704174,0.7111578460190516,0.8838043199863399,0.0,0.0,414.5207645683766,41.693863880951056,89.94167061223939,5000,5000,5000,0.0025,global_mean,1,0,414.5207645683766,41.693863880951056,0.23388963332927265,0.1152604101989678,0.1231648135634867,0.0346280688897031,0.1559264222195151,"{""epochs"": 5000, ""print_every"": 500, ""lr_init"": 0.02, ""lr_milestones"": [700, 2000, 4000], ""lr_factor"": 0.5, ""lr_min"": 0.0001, ""sched_patience_blocks"": 7, ""weight_decay"": 0.0, ""clip_grad_norm"": 5.0, ""h_central_diff"": 1e-05, ""beta1"": 0.9, ""beta2"": 0.999, ""adam_eps"": 1e-08, ""seed_hyb"": 42, ""init_strategy"": ""global_mean"", ""n_restarts"": 1, ""restart_jitter_scale"": 0.03, ""max_distance_factor"": 1.5, ""normalize_objective_by_triplets"": true, ""convergence_rel_tol"": 1e-07, ""convergence_patience_checks"": 5, ""early_stop"": false}",old_global_mean_init,"old initialization only: global mean, 1 restart",0.02,"(700, 2000, 4000)",5.0,1e-05
