sensitivity_variant,variant_description,n_runs,n_success,n_failed,n_objective_improved,n_not_improved,lr_init,lr_milestones,clip_grad_norm,h_central_diff,init_strategy,n_restarts,RMSE_miss_mean,RMSE_miss_std,RMSE_miss,MAE_miss_mean,MAE_miss_std,MAE_miss,Pearson_miss_mean,Pearson_miss_std,Pearson_miss,Spearman_miss_mean,Spearman_miss_std,Spearman_miss,runtime_seconds_mean,runtime_seconds_std,runtime_seconds,Delta_init_mean,Delta_init_std,Delta_init,Delta_final_mean,Delta_final_std,Delta_final,Delta_reduction_percent_mean,Delta_reduction_percent_std,Delta_reduction_percent,best_epoch_mean,best_epoch_std,best_epoch,epochs_used_mean,epochs_used_std,epochs_used,convergence_epoch_mean,convergence_epoch_std,convergence_epoch,final_learning_rate_mean,final_learning_rate_std,final_learning_rate,max_abs_error_observed_mean,max_abs_error_observed_std,max_abs_error_observed,mean_abs_error_observed_mean,mean_abs_error_observed_std,mean_abs_error_observed
baseline,"two-way initialization, one restart, default lr schedule, clip=5.0, h=1e-5",5,5,0,5,0,0.02,"(700, 2000, 4000)",5.0,1e-05,two_way_mean,1,0.013441006095812067,0.007369155527567767,0.013441 ± 0.007369,0.00512590949942157,0.002077135998226123,0.005126 ± 0.002077,0.9250196301776571,0.06440100043712109,0.925020 ± 0.064401,0.8271834713566124,0.10639427064918616,0.827183 ± 0.106394,37.84097759380238,0.1710176039675119,37.8410 ± 0.1710,338.36614030689026,50.47888642293333,338.3661 ± 50.4789,25.735120289536304,3.4813700720433722,25.7351 ± 3.4814,92.30800982030081,1.2591561667505426,92.308010 ± 1.259156,4700.0,273.8612787525831,4700.000000 ± 273.861279,5000.0,0.0,5000.000000 ± 0.000000,4700.0,273.8612787525831,4700.000000 ± 273.861279,0.0025,0.0,0.002500 ± 0.000000,0.0,0.0,0.000000 ± 0.000000,0.0,0.0,0.000000 ± 0.000000
old_global_mean_init,"old initialization only: global mean, 1 restart",5,5,0,5,0,0.02,"(700, 2000, 4000)",5.0,1e-05,global_mean,1,0.021305817493701484,0.010386815052450392,0.021306 ± 0.010387,0.008768614560599982,0.004733027067234239,0.008769 ± 0.004733,0.8112949155745479,0.1570320511103948,0.811295 ± 0.157032,0.8108085033723214,0.10009590583473274,0.810809 ± 0.100096,37.43386715119705,0.09913060356307234,37.4339 ± 0.0991,273.5243882327256,101.23715744646505,273.5244 ± 101.2372,30.74458896015808,8.913709186314124,30.7446 ± 8.9137,88.37266021128065,2.026148579976649,88.372660 ± 2.026149,4600.0,223.60679774997897,4600.000000 ± 223.606798,5000.0,0.0,5000.000000 ± 0.000000,4600.0,223.60679774997897,4600.000000 ± 223.606798,0.0025,0.0,0.002500 ± 0.000000,0.0,0.0,0.000000 ± 0.000000,0.0,0.0,0.000000 ± 0.000000
two_restarts,"two-way initialization, two restarts",5,5,0,5,0,0.02,"(700, 2000, 4000)",5.0,1e-05,two_way_mean,2,0.013448543305329222,0.007337930911435705,0.013449 ± 0.007338,0.005140493187260972,0.0020512941579258447,0.005140 ± 0.002051,0.9250931129044296,0.06441253178471393,0.925093 ± 0.064413,0.8211730555792707,0.09781259873611498,0.821173 ± 0.097813,74.22852872140356,0.6269637433704953,74.2285 ± 0.6270,339.5442950945129,55.790259772708396,339.5443 ± 55.7903,25.60405786192718,3.4719479710908767,25.6041 ± 3.4719,92.40498366922479,0.8033825435036338,92.404984 ± 0.803383,4700.0,273.8612787525831,4700.000000 ± 273.861279,5000.0,0.0,5000.000000 ± 0.000000,4700.0,273.8612787525831,4700.000000 ± 273.861279,0.0025,0.0,0.002500 ± 0.000000,0.0,0.0,0.000000 ± 0.000000,0.0,0.0,0.000000 ± 0.000000
lr_init_low,lower initial learning rate: lr_init=0.01,5,5,0,5,0,0.01,"(700, 2000, 4000)",5.0,1e-05,two_way_mean,1,0.018054200432134522,0.007108671848730109,0.018054 ± 0.007109,0.0067684744635211885,0.0023348077867363258,0.006768 ± 0.002335,0.868429317349509,0.10125599696850845,0.868429 ± 0.101256,0.8180995475113122,0.10521665272401978,0.818100 ± 0.105217,36.939943984209094,0.11501184803397212,36.9399 ± 0.1150,338.36614030689026,50.47888642293333,338.3661 ± 50.4789,27.568571283314135,8.021046797986294,27.5686 ± 8.0210,91.96119959213937,1.1966511199541252,91.961200 ± 1.196651,4700.0,273.8612787525831,4700.000000 ± 273.861279,5000.0,0.0,5000.000000 ± 0.000000,4700.0,273.8612787525831,4700.000000 ± 273.861279,0.00125,0.0,0.001250 ± 0.000000,0.0,0.0,0.000000 ± 0.000000,0.0,0.0,0.000000 ± 0.000000
lr_init_high,higher initial learning rate: lr_init=0.04,5,5,0,5,0,0.04,"(700, 2000, 4000)",5.0,1e-05,two_way_mean,1,0.017603232828176375,0.006385784770929336,0.017603 ± 0.006386,0.006611785440597556,0.0017603510051409075,0.006612 ± 0.001760,0.8751461096733975,0.09214883379394473,0.875146 ± 0.092149,0.8480662511739092,0.10007508822992973,0.848066 ± 0.100075,36.79435935060028,0.2340304251704833,36.7944 ± 0.2340,338.36614030689026,50.47888642293333,338.3661 ± 50.4789,36.4412410261121,13.941461506821302,36.4412 ± 13.9415,89.1527867309612,4.349061416216913,89.152787 ± 4.349061,4600.0,223.60679774997897,4600.000000 ± 223.606798,5000.0,0.0,5000.000000 ± 0.000000,4600.0,223.60679774997897,4600.000000 ± 223.606798,0.005,0.0,0.005000 ± 0.000000,0.0,0.0,0.000000 ± 0.000000,0.0,0.0,0.000000 ± 0.000000
schedule_fast_decay,"earlier LR milestones: 300, 1000, 2500",5,5,0,5,0,0.02,"(300, 1000, 2500)",5.0,1e-05,two_way_mean,1,0.013454307577363397,0.007386807118514772,0.013454 ± 0.007387,0.005147848448701642,0.0020853555606180976,0.005148 ± 0.002085,0.9247881861406893,0.06452449396718467,0.924788 ± 0.064524,0.8205242038760352,0.10805519548205313,0.820524 ± 0.108055,36.310369316209105,0.1200259003795862,36.3104 ± 0.1200,338.36614030689026,50.47888642293333,338.3661 ± 50.4789,25.64009997275442,3.2243339559649034,25.6401 ± 3.2243,92.33671740368348,1.1876222043805145,92.336717 ± 1.187622,3800.0,836.6600265340755,3800.000000 ± 836.660027,5000.0,0.0,5000.000000 ± 0.000000,3800.0,836.6600265340755,3800.000000 ± 836.660027,0.0025,0.0,0.002500 ± 0.000000,0.0,0.0,0.000000 ± 0.000000,0.0,0.0,0.000000 ± 0.000000
schedule_slow_decay,"later LR milestones: 1500, 3000, 5000",5,5,0,5,0,0.02,"(1500, 3000, 5000)",5.0,1e-05,two_way_mean,1,0.013434471340195375,0.007270224391527963,0.013434 ± 0.007270,0.005155217649580119,0.002047895695339852,0.005155 ± 0.002048,0.9258243573689283,0.06396907878566749,0.925824 ± 0.063969,0.8270127209083924,0.10033727345167659,0.827013 ± 0.100337,36.43764544600854,0.28848640861976804,36.4376 ± 0.2885,338.36614030689026,50.47888642293333,338.3661 ± 50.4789,28.37503783393194,4.3339957370810325,28.3750 ± 4.3340,91.50701245999653,1.5977234693401214,91.507012 ± 1.597723,4300.0,670.820393249937,4300.000000 ± 670.820393,5000.0,0.0,5000.000000 ± 0.000000,4300.0,670.820393249937,4300.000000 ± 670.820393,0.0025,0.0,0.002500 ± 0.000000,0.0,0.0,0.000000 ± 0.000000,0.0,0.0,0.000000 ± 0.000000
clip_low,stronger gradient clipping: clip=1.0,5,5,0,5,0,0.02,"(700, 2000, 4000)",1.0,1e-05,two_way_mean,1,0.013394253434434164,0.007393930484033254,0.013394 ± 0.007394,0.0051162199366547745,0.0020871147718987118,0.005116 ± 0.002087,0.9251848710154432,0.06435836689713002,0.925185 ± 0.064358,0.8254930419192352,0.1016230943241953,0.825493 ± 0.101623,36.756957836210496,0.0671794341008128,36.7570 ± 0.0672,338.36614030689026,50.47888642293333,338.3661 ± 50.4789,25.993896416068985,3.348766167228583,25.9939 ± 3.3488,92.23166295694975,1.2223669486302553,92.231663 ± 1.222367,4800.0,273.8612787525831,4800.000000 ± 273.861279,5000.0,0.0,5000.000000 ± 0.000000,4800.0,273.8612787525831,4800.000000 ± 273.861279,0.0025,0.0,0.002500 ± 0.000000,0.0,0.0,0.000000 ± 0.000000,0.0,0.0,0.000000 ± 0.000000
clip_high,weaker gradient clipping: clip=10.0,5,5,0,5,0,0.02,"(700, 2000, 4000)",10.0,1e-05,two_way_mean,1,0.01664315901098324,0.0054379812312516556,0.016643 ± 0.005438,0.005949697068926258,0.001185446297424055,0.005950 ± 0.001185,0.8910468452253839,0.06504421292852493,0.891047 ± 0.065044,0.8221975582685903,0.09742501966241393,0.822198 ± 0.097425,36.64315804519574,0.11852858033373094,36.6432 ± 0.1185,338.36614030689026,50.47888642293333,338.3661 ± 50.4789,27.65483697690338,5.607385399693137,27.6548 ± 5.6074,91.85332542941435,0.877258024719169,91.853325 ± 0.877258,4700.0,273.8612787525831,4700.000000 ± 273.861279,5000.0,0.0,5000.000000 ± 0.000000,4700.0,273.8612787525831,4700.000000 ± 273.861279,0.0025,0.0,0.002500 ± 0.000000,0.0,0.0,0.000000 ± 0.000000,0.0,0.0,0.000000 ± 0.000000
clip_none,no gradient clipping,5,5,0,4,1,0.02,"(700, 2000, 4000)",,1e-05,two_way_mean,1,0.03079177400589106,0.007254400733081685,0.030792 ± 0.007254,0.020316141282688792,0.007829012034478888,0.020316 ± 0.007829,0.5588793529124788,0.20542686052621403,0.558879 ± 0.205427,0.4824895415350465,0.1845254933050268,0.482490 ± 0.184525,36.24905325640575,0.4047515197685049,36.2491 ± 0.4048,338.36614030689026,50.47888642293333,338.3661 ± 50.4789,230.75154906129,116.85242490685042,230.7515 ± 116.8524,31.841488021809788,36.323329460657874,31.841488 ± 36.323329,900.6,2012.1258161457001,900.600000 ± 2012.125816,5000.0,0.0,5000.000000 ± 0.000000,2800.0,974.6794344808964,2800.000000 ± 974.679434,0.0015,0.0005590169943749475,0.001500 ± 0.000559,0.0,0.0,0.000000 ± 0.000000,0.0,0.0,0.000000 ± 0.000000
