pct_missing,init_variant,variant_description,n_runs,n_success,n_failed,init_strategy,n_restarts,RMSE_miss_mean,RMSE_miss_std,RMSE_miss,MAE_miss_mean,MAE_miss_std,MAE_miss,Pearson_miss_mean,Pearson_miss_std,Pearson_miss,Spearman_miss_mean,Spearman_miss_std,Spearman_miss,runtime_seconds_mean,runtime_seconds_std,runtime_seconds,Delta_init_mean,Delta_init_std,Delta_init,Delta_final_mean,Delta_final_std,Delta_final,Delta_reduction_percent_mean,Delta_reduction_percent_std,Delta_reduction_percent,Delta_total_completed_mean,Delta_total_completed_std,Delta_total_completed,Delta_normalized_completed_mean,Delta_normalized_completed_std,Delta_normalized_completed,Delta_per_triangle_completed_mean,Delta_per_triangle_completed_std,Delta_per_triangle_completed,Delta_relative_to_original_mean,Delta_relative_to_original_std,Delta_relative_to_original,best_epoch_mean,best_epoch_std,best_epoch,epochs_used_mean,epochs_used_std,epochs_used,convergence_epoch_mean,convergence_epoch_std,convergence_epoch,final_learning_rate_mean,final_learning_rate_std,final_learning_rate,max_abs_error_observed_mean,max_abs_error_observed_std,max_abs_error_observed,mean_abs_error_observed_mean,mean_abs_error_observed_std,mean_abs_error_observed
30,observed_mean,all missing entries initialized by the global observed mean,5,5,0,global_mean,1,0.020112336971267054,0.014167078028469803,0.020112 ± 0.014167,0.009074818952827513,0.007330346682641631,0.009075 ± 0.007330,0.7922250291829772,0.19003647304751406,0.792225 ± 0.190036,0.8453812316715542,0.13077866856525755,0.845381 ± 0.130779,23.02824564279872,0.0682140825650114,23.0282 ± 0.0682,308.4318056856029,59.714390526996645,308.4318 ± 59.7144,48.31492430799774,10.21408188318622,48.3149 ± 10.2141,84.16709080379835,2.957879937926169,84.167091 ± 2.957880,48.31492430799774,10.21408188318622,48.3149 ± 10.2141,0.017917682473662024,0.002496123421928066,0.017918 ± 0.002496,0.10618664683076426,0.022448531611398283,0.106187 ± 0.022449,0.8255580580595041,0.1745282172148234,0.825558 ± 0.174528,4900.0,223.60679774997897,4900.000000 ± 223.606798,5000.0,0.0,5000.000000 ± 0.000000,4900.0,223.60679774997897,4900.000000 ± 223.606798,0.0025,0.0,0.002500 ± 0.000000,0.0,0.0,0.000000 ± 0.000000,0.0,0.0,0.000000 ± 0.000000
30,observed_median,all missing entries initialized by the global observed median,5,5,0,global_median,1,0.018570002966642976,0.014915692352719922,0.018570 ± 0.014916,0.008413464225494358,0.007703069046236922,0.008413 ± 0.007703,0.8085725165955377,0.19629256793284075,0.808573 ± 0.196293,0.8608504398826978,0.10745960082937002,0.860850 ± 0.107460,22.689318227604964,0.17052314325315182,22.6893 ± 0.1705,253.38555186109042,67.19481979294792,253.3856 ± 67.1948,42.48905878511412,9.809251018695361,42.4891 ± 9.8093,82.8179187925458,4.098227357152316,82.817919 ± 4.098227,42.48905878511412,9.809251018695361,42.4891 ± 9.8093,0.016514625319732173,0.0023440183114252326,0.016515 ± 0.002344,0.09338254678047059,0.021558793447682113,0.093383 ± 0.021559,0.7260113797510074,0.1676108643033069,0.726011 ± 0.167611,4700.0,273.8612787525831,4700.000000 ± 273.861279,5000.0,0.0,5000.000000 ± 0.000000,4700.0,273.8612787525831,4700.000000 ± 273.861279,0.0025,0.0,0.002500 ± 0.000000,0.0,0.0,0.000000 ± 0.000000,0.0,0.0,0.000000 ± 0.000000
30,random_observed_range,missing entries initialized uniformly from the observed distance range,5,5,0,random_observed_range,1,0.013965344217228814,0.00860510168250095,0.013965 ± 0.008605,0.005299595559075131,0.002913566473096774,0.005300 ± 0.002914,0.888629701820425,0.11583027016004933,0.888630 ± 0.115830,0.8363636363636363,0.14374096869773426,0.836364 ± 0.143741,22.264813891606174,0.09887041748222984,22.2648 ± 0.0989,550.784785492825,55.730694228116114,550.7848 ± 55.7307,39.586565073681314,9.779614919086942,39.5866 ± 9.7796,92.82760147278617,1.454595148105975,92.827601 ± 1.454595,39.586565073681314,9.779614919086942,39.5866 ± 9.7796,0.01605010794707816,0.002357712980977811,0.016050 ± 0.002358,0.08700343972237652,0.021493659162828447,0.087003 ± 0.021494,0.6764164128487467,0.16710447168877615,0.676416 ± 0.167104,4700.0,273.8612787525831,4700.000000 ± 273.861279,5000.0,0.0,5000.000000 ± 0.000000,4700.0,273.8612787525831,4700.000000 ± 273.861279,0.0025,0.0,0.002500 ± 0.000000,0.0,0.0,0.000000 ± 0.000000,0.0,0.0,0.000000 ± 0.000000
30,two_way_mean,missing entries initialized by shrunk row/column observed means,5,5,0,two_way_mean,1,0.015434092764333066,0.009984259886454462,0.015434 ± 0.009984,0.006111203714488735,0.0037472667753470695,0.006111 ± 0.003747,0.8567219494223997,0.1573519776632948,0.856722 ± 0.157352,0.8425953079178885,0.11866776226369362,0.842595 ± 0.118668,22.576690359803614,0.09223400497087172,22.5767 ± 0.0922,344.40509924982547,76.37779847450538,344.4051 ± 76.3778,41.81103398062591,11.976663926034432,41.8110 ± 11.9767,87.95977682455529,1.0750790020581558,87.959777 ± 1.075079,41.81103398062591,11.976663926034432,41.8110 ± 11.9767,0.016546002271748336,0.0027762999925383318,0.016546 ± 0.002776,0.091892382375002,0.02632233829897677,0.091892 ± 0.026322,0.7144259566353428,0.20464549110701183,0.714426 ± 0.204645,4800.0,273.8612787525831,4800.000000 ± 273.861279,5000.0,0.0,5000.000000 ± 0.000000,4800.0,273.8612787525831,4800.000000 ± 273.861279,0.0025,0.0,0.002500 ± 0.000000,0.0,0.0,0.000000 ± 0.000000,0.0,0.0,0.000000 ± 0.000000
30,two_way_two_restarts,two-way initialization with two noisy restarts,5,5,0,two_way_mean,2,0.014580630491651777,0.009582736010180873,0.014581 ± 0.009583,0.005695099866673952,0.0036495636123106195,0.005695 ± 0.003650,0.8677832128523217,0.1554018610815787,0.867783 ± 0.155402,0.8360703812316714,0.15825472508060237,0.836070 ± 0.158255,44.49450484881527,0.30031000472113545,44.4945 ± 0.3003,320.91668780545604,56.417773197319995,320.9167 ± 56.4178,40.83281813164505,10.4006707975774,40.8328 ± 10.4007,87.25964196418052,2.5929283014245117,87.259642 ± 2.592928,40.83281813164505,10.4006707975774,40.8328 ± 10.4007,0.01632710590660962,0.002488143104196845,0.016327 ± 0.002488,0.08974245743218692,0.022858617137532747,0.089742 ± 0.022859,0.6977111632621907,0.17771646564999094,0.697711 ± 0.177716,4800.0,273.8612787525831,4800.000000 ± 273.861279,5000.0,0.0,5000.000000 ± 0.000000,4800.0,273.8612787525831,4800.000000 ± 273.861279,0.0025,0.0,0.002500 ± 0.000000,0.0,0.0,0.000000 ± 0.000000,0.0,0.0,0.000000 ± 0.000000
50,observed_mean,all missing entries initialized by the global observed mean,5,5,0,global_mean,1,0.021305817493701484,0.010386815052450392,0.021306 ± 0.010387,0.008768614560599982,0.004733027067234239,0.008769 ± 0.004733,0.8112949155745479,0.1570320511103948,0.811295 ± 0.157032,0.8108085033723214,0.10009590583473274,0.810809 ± 0.100096,37.110935651196634,0.05495184535751593,37.1109 ± 0.0550,273.5243882327256,101.23715744646505,273.5244 ± 101.2372,30.74458896015808,8.913709186314124,30.7446 ± 8.9137,88.37266021128065,2.026148579976649,88.372660 ± 2.026149,30.74458896015808,8.913709186314124,30.7446 ± 8.9137,0.012108631616341929,0.0021376439794393623,0.012109 ± 0.002138,0.06757052518716061,0.019590569640250823,0.067571 ± 0.019591,0.5253333937974171,0.1523087234712386,0.525333 ± 0.152309,4600.0,223.60679774997897,4600.000000 ± 223.606798,5000.0,0.0,5000.000000 ± 0.000000,4600.0,223.60679774997897,4600.000000 ± 223.606798,0.0025,0.0,0.002500 ± 0.000000,0.0,0.0,0.000000 ± 0.000000,0.0,0.0,0.000000 ± 0.000000
50,observed_median,all missing entries initialized by the global observed median,5,5,0,global_median,1,0.02243121611394603,0.010020941482537456,0.022431 ± 0.010021,0.00935838138499794,0.004171167165443044,0.009358 ± 0.004171,0.789497540488102,0.15171181023297622,0.789498 ± 0.151712,0.8033979339195765,0.10947113726632324,0.803398 ± 0.109471,36.94925641900045,0.08538461888414929,36.9493 ± 0.0854,222.23716680931526,65.59085429726933,222.2372 ± 65.5909,32.3604536176559,8.61345985319145,32.3605 ± 8.6135,84.86181626457316,3.959457031149416,84.861816 ± 3.959457,32.3604536176559,8.61345985319145,32.3605 ± 8.6135,0.012465248790610327,0.002191770344257811,0.012465 ± 0.002192,0.07112187608276022,0.01893068099602517,0.071122 ± 0.018931,0.5529437048521746,0.14717835723478806,0.552944 ± 0.147178,4800.0,273.8612787525831,4800.000000 ± 273.861279,5000.0,0.0,5000.000000 ± 0.000000,4800.0,273.8612787525831,4800.000000 ± 273.861279,0.0025,0.0,0.002500 ± 0.000000,0.0,0.0,0.000000 ± 0.000000,0.0,0.0,0.000000 ± 0.000000
50,random_observed_range,missing entries initialized uniformly from the observed distance range,5,5,0,random_observed_range,1,0.01907712001767725,0.007540686405201055,0.019077 ± 0.007541,0.007571418455600132,0.0028428257898336557,0.007571 ± 0.002843,0.8564480732389249,0.10146505771188043,0.856448 ± 0.101465,0.8196875266797574,0.10113928638532917,0.819688 ± 0.101139,36.14774246980669,0.4469675379776034,36.1477 ± 0.4470,814.7476530823776,187.1200522072208,814.7477 ± 187.1201,30.367645702379697,8.284840662028799,30.3676 ± 8.2848,96.18167730869627,1.250598968728398,96.181677 ± 1.250599,30.367645702379697,8.284840662028799,30.3676 ± 8.2848,0.012146338793789848,0.0020942946296115227,0.012146 ± 0.002094,0.06674207846676856,0.018208441015447913,0.066742 ± 0.018208,0.5188925569680684,0.1415632346782902,0.518893 ± 0.141563,4900.0,223.60679774997897,4900.000000 ± 223.606798,5000.0,0.0,5000.000000 ± 0.000000,4900.0,223.60679774997897,4900.000000 ± 223.606798,0.0025,0.0,0.002500 ± 0.000000,0.0,0.0,0.000000 ± 0.000000,0.0,0.0,0.000000 ± 0.000000
50,two_way_mean,missing entries initialized by shrunk row/column observed means,5,5,0,two_way_mean,1,0.013441006095812067,0.007369155527567767,0.013441 ± 0.007369,0.00512590949942157,0.002077135998226123,0.005126 ± 0.002077,0.9250196301776571,0.06440100043712109,0.925020 ± 0.064401,0.8271834713566124,0.10639427064918616,0.827183 ± 0.106394,36.37517302479828,0.17516667009698894,36.3752 ± 0.1752,338.36614030689026,50.47888642293333,338.3661 ± 50.4789,25.735120289536304,3.4813700720433722,25.7351 ± 3.4814,92.30800982030081,1.2591561667505426,92.308010 ± 1.259156,25.735120289536304,3.4813700720433722,25.7351 ± 3.4814,0.011224576820324558,0.0013668882781432256,0.011225 ± 0.001367,0.05656070393304682,0.007651362795699717,0.056561 ± 0.007651,0.43973650449537055,0.05948623861523564,0.439737 ± 0.059486,4700.0,273.8612787525831,4700.000000 ± 273.861279,5000.0,0.0,5000.000000 ± 0.000000,4700.0,273.8612787525831,4700.000000 ± 273.861279,0.0025,0.0,0.002500 ± 0.000000,0.0,0.0,0.000000 ± 0.000000,0.0,0.0,0.000000 ± 0.000000
50,two_way_two_restarts,two-way initialization with two noisy restarts,5,5,0,two_way_mean,2,0.013448543305329222,0.007337930911435705,0.013449 ± 0.007338,0.005140493187260972,0.0020512941579258447,0.005140 ± 0.002051,0.9250931129044296,0.06441253178471393,0.925093 ± 0.064413,0.8211730555792707,0.09781259873611498,0.821173 ± 0.097813,71.96564406541293,0.34717446355320053,71.9656 ± 0.3472,339.5442950945129,55.790259772708396,339.5443 ± 55.7903,25.60405786192718,3.4719479710908767,25.6041 ± 3.4719,92.40498366922479,0.8033825435036338,92.404984 ± 0.803383,25.60405786192718,3.4719479710908767,25.6041 ± 3.4719,0.011159629479968384,0.0013597618512076303,0.011160 ± 0.001360,0.05627265464159821,0.007630654881518412,0.056273 ± 0.007631,0.43749703822751923,0.05932524299169712,0.437497 ± 0.059325,4700.0,273.8612787525831,4700.000000 ± 273.861279,5000.0,0.0,5000.000000 ± 0.000000,4700.0,273.8612787525831,4700.000000 ± 273.861279,0.0025,0.0,0.002500 ± 0.000000,0.0,0.0,0.000000 ± 0.000000,0.0,0.0,0.000000 ± 0.000000
