restart,epoch,full_delta,best_delta,objective_for_grad,best_objective_for_grad,best_epoch,learning_rate,optimized_variables,event
0,1,231.59030748096262,231.59030748096262,0.5089896867713464,0.5089896867713464,1,0.02,32,checkpoint
0,500,52.83891346078899,52.83891346078899,0.11612948013360216,0.11612948013360216,500,0.02,32,checkpoint
0,1000,46.96860393313078,46.96860393313078,0.10322770095193579,0.10322770095193579,1000,0.01,32,checkpoint
0,1500,44.74824605474574,44.74824605474574,0.09834779352691372,0.09834779352691372,1500,0.01,32,checkpoint
0,2000,46.28478235526387,44.74824605474574,0.10172479638519533,0.09834779352691372,1500,0.005,32,checkpoint
0,2500,43.807313229014916,43.807313229014916,0.09627980929453828,0.09627980929453828,2500,0.005,32,checkpoint
0,3000,44.73261721819621,43.807313229014916,0.09831344443559607,0.09627980929453828,2500,0.005,32,checkpoint
0,3500,45.19290961123082,43.807313229014916,0.09932507606863916,0.09627980929453828,2500,0.005,32,checkpoint
0,4000,44.781514534996695,43.807313229014916,0.0984209110659268,0.09627980929453828,2500,0.0025,32,checkpoint
0,4500,43.12275297201682,43.12275297201682,0.09477528125717982,0.09477528125717982,4500,0.0025,32,checkpoint
0,5000,42.747037884688865,42.747037884688865,0.093949533812503,0.093949533812503,5000,0.0025,32,checkpoint
