restart,epoch,full_delta,best_delta,objective_for_grad,best_objective_for_grad,best_epoch,learning_rate,optimized_variables,event
0,1,275.14586246898335,275.14586246898335,0.6047161812505129,0.6047161812505129,1,0.02,52,checkpoint
0,500,49.9295903540772,49.9295903540772,0.10973536341555429,0.10973536341555429,500,0.02,52,checkpoint
0,1000,37.176966342558174,37.176966342558174,0.08170761833529269,0.08170761833529269,1000,0.01,52,checkpoint
0,1500,36.54304319426966,36.54304319426966,0.0803143806467465,0.0803143806467465,1500,0.01,52,checkpoint
0,2000,37.36094480479076,36.54304319426966,0.08211196660393574,0.0803143806467465,1500,0.005,52,checkpoint
0,2500,31.73875063079377,31.73875063079377,0.06975549589185444,0.06975549589185444,2500,0.005,52,checkpoint
0,3000,32.516389144636165,31.73875063079377,0.0714645915266729,0.06975549589185444,2500,0.005,52,checkpoint
0,3500,32.44629600636611,31.73875063079377,0.07131054067333212,0.06975549589185444,2500,0.005,52,checkpoint
0,4000,33.09432291969066,31.73875063079377,0.07273477564767178,0.06975549589185444,2500,0.0025,52,checkpoint
0,4500,29.22819236820515,29.22819236820515,0.0642377854246267,0.0642377854246267,4500,0.0025,52,checkpoint
0,5000,29.36744499890777,29.22819236820515,0.06454383516243466,0.0642377854246267,4500,0.0025,52,checkpoint
