restart,epoch,full_delta,best_delta,objective_for_grad,best_objective_for_grad,best_epoch,learning_rate,optimized_variables,event
0,1,354.8325159377168,312.9348820564668,0.7798516833795973,0.6877689715526742,0,0.02,52,checkpoint
0,500,31.345452721012176,31.345452721012176,0.06889110488134544,0.06889110488134544,500,0.02,52,checkpoint
0,1000,24.83449065791499,24.83449065791499,0.05458129814926371,0.05458129814926371,1000,0.01,52,checkpoint
0,1500,26.62909346384802,24.83449065791499,0.05852548014032532,0.05458129814926371,1000,0.01,52,checkpoint
0,2000,26.43653438499463,24.83449065791499,0.05810227337361457,0.05458129814926371,1000,0.005,52,checkpoint
0,2500,21.721845219964035,21.721845219964035,0.04774031916475612,0.04774031916475612,2500,0.005,52,checkpoint
0,3000,22.166185069652535,21.721845219964035,0.0487168902629726,0.04774031916475612,2500,0.005,52,checkpoint
0,3500,22.28783806279881,21.721845219964035,0.0489842594786787,0.04774031916475612,2500,0.005,52,checkpoint
0,4000,22.441440800124578,21.721845219964035,0.04932184791236171,0.04774031916475612,2500,0.0025,52,checkpoint
0,4500,19.934554281444125,19.934554281444125,0.04381220721196511,0.04381220721196511,4500,0.0025,52,checkpoint
0,5000,19.98521927753705,19.934554281444125,0.04392355885172978,0.04381220721196511,4500,0.0025,52,checkpoint
