restart,epoch,full_delta,best_delta,objective_for_grad,best_objective_for_grad,best_epoch,learning_rate,optimized_variables,event
0,1,325.33530163980146,305.6745853243475,0.7150226409665966,0.6718122754381264,0,0.02,52,checkpoint
0,500,45.742413690774846,45.742413690774846,0.1005327773423623,0.1005327773423623,500,0.02,52,checkpoint
0,1000,32.07299236471809,32.07299236471809,0.07049009310927053,0.07049009310927053,1000,0.01,52,checkpoint
0,1500,33.82167483964458,32.07299236471809,0.07433335129592215,0.07049009310927053,1000,0.01,52,checkpoint
0,2000,35.610995901932284,32.07299236471809,0.07826592505919183,0.07049009310927053,1000,0.005,52,checkpoint
0,2500,26.605090890023185,26.605090890023185,0.058472727230820185,0.058472727230820185,2500,0.005,52,checkpoint
0,3000,26.836304277224215,26.605090890023185,0.0589808885213719,0.058472727230820185,2500,0.005,52,checkpoint
0,3500,27.16643098395561,26.605090890023185,0.05970644172297936,0.058472727230820185,2500,0.005,52,checkpoint
0,4000,27.003394162596624,26.605090890023185,0.0593481190386739,0.058472727230820185,2500,0.0025,52,checkpoint
0,4500,24.63694431106917,24.63694431106917,0.05414713035399817,0.05414713035399817,4500,0.0025,52,checkpoint
0,5000,24.88403637609793,24.63694431106917,0.05469018983757787,0.05414713035399817,4500,0.0025,52,checkpoint
