restart,epoch,full_delta,best_delta,objective_for_grad,best_objective_for_grad,best_epoch,learning_rate,optimized_variables,event
0,1,276.3049794954886,276.3049794954886,0.6072636911988761,0.6072636911988761,1,0.02,52,checkpoint
0,500,70.70783493360278,70.70783493360278,0.15540183501890723,0.15540183501890723,500,0.02,52,checkpoint
0,1000,50.802745154334964,50.802745154334964,0.11165438495458234,0.11165438495458234,1000,0.01,52,checkpoint
0,1500,43.863639821481634,43.863639821481634,0.09640360400325634,0.09640360400325634,1500,0.01,52,checkpoint
0,2000,45.70016797606803,43.863639821481634,0.10043992961773193,0.09640360400325634,1500,0.005,52,checkpoint
0,2500,33.10075166345449,33.10075166345449,0.07274890475484502,0.07274890475484502,2500,0.005,52,checkpoint
0,3000,34.030720181694875,33.10075166345449,0.0747927916081206,0.07274890475484502,2500,0.005,52,checkpoint
0,3500,34.1113785263143,33.10075166345449,0.07497006269519625,0.07274890475484502,2500,0.005,52,checkpoint
0,4000,37.312351358727554,33.10075166345449,0.08200516782137925,0.07274890475484502,2500,0.0025,52,checkpoint
0,4500,28.42712725962114,28.42712725962114,0.06247720276839811,0.06247720276839811,4500,0.0025,52,checkpoint
0,5000,29.58718700144714,28.42712725962114,0.06502678461856515,0.06247720276839811,4500,0.0025,52,checkpoint
1,1,325.2564990836442,293.69061557441756,0.7148494485354817,0.6454738803833353,0,0.02,52,checkpoint
1,500,85.69755678158526,85.69755678158526,0.18834627864084674,0.18834627864084674,500,0.02,52,checkpoint
1,1000,49.06912607514518,49.06912607514518,0.1078442331321872,0.1078442331321872,1000,0.01,52,checkpoint
1,1500,51.84319889452101,49.06912607514518,0.11394109647147474,0.1078442331321872,1000,0.01,52,checkpoint
1,2000,50.788465754612915,49.06912607514518,0.11162300165848993,0.1078442331321872,1000,0.005,52,checkpoint
1,2500,47.57950447041436,47.57950447041436,0.10457033949541618,0.10457033949541618,2500,0.005,52,checkpoint
1,3000,44.00549676800715,44.00549676800715,0.09671537751210363,0.09671537751210363,3000,0.005,52,checkpoint
1,3500,42.7316306862492,42.7316306862492,0.09391567183791032,0.09391567183791032,3500,0.005,52,checkpoint
1,4000,46.61796716266302,42.7316306862492,0.10245707068717147,0.09391567183791032,3500,0.0025,52,checkpoint
1,4500,37.72236252147232,37.72236252147232,0.08290629125598312,0.08290629125598312,4500,0.0025,52,checkpoint
1,5000,37.717399020956634,37.717399020956634,0.08289538246364095,0.08289538246364095,5000,0.0025,52,checkpoint
