,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,-1.0,-1.0,-1.0,-1.0,0.1419554530557747,0.1435863158534362,-1.0,-1.0,0.1423102631099228,0.138080684596577,-1.0,-1.0,0.1376624969340201,-1.0
T2,-1.0,0.0,-1.0,0.0739301972685887,0.1531100478468899,-1.0,0.1528472137544202,0.151568687176363,-1.0,-1.0,0.1513702409416958,-1.0,0.1515674077723717,0.1520963973933358,0.1542975913925907
T3,-1.0,-1.0,0.0,0.0787163184983348,-1.0,-1.0,-1.0,0.1501973883996356,-1.0,0.1550665613032642,0.1511407425530613,0.1521394611727416,0.1517050691244239,-1.0,-1.0
T4,-1.0,0.0739301972685887,0.0787163184983348,0.0,-1.0,-1.0,0.1548559620760909,-1.0,-1.0,0.154056517775752,0.1520410657540943,0.152436053593179,0.1509793086510714,-1.0,-1.0
T5,-1.0,0.1531100478468899,-1.0,-1.0,0.0,-1.0,0.1241590214067278,-1.0,-1.0,0.1249923524013459,-1.0,-1.0,0.0404400467088685,-1.0,0.0521170648255636
T6,0.1419554530557747,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.1228304405874499,-1.0,-1.0,-1.0,0.1178777110648204,-1.0
T7,0.1435863158534362,0.1528472137544202,-1.0,0.1548559620760909,0.1241590214067278,-1.0,0.0,0.1260626669905271,0.1230955993930197,0.1197473888753947,0.1221583964800782,0.1247028707259096,0.1231648135634867,-1.0,-1.0
T8,-1.0,0.151568687176363,0.1501973883996356,-1.0,-1.0,-1.0,0.1260626669905271,0.0,0.1109628910987145,-1.0,0.1175320708613317,-1.0,0.1185348794404564,0.119330718313312,-1.0
T9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1230955993930197,0.1109628910987145,0.0,-1.0,0.1174494594759665,-1.0,-1.0,-1.0,0.1202801461632155
T10,0.1423102631099228,-1.0,0.1550665613032642,0.154056517775752,0.1249923524013459,0.1228304405874499,0.1197473888753947,-1.0,-1.0,0.0,0.1240295861605232,0.1256247714250883,0.1233794162826421,0.1244787834191807,-1.0
T11,0.138080684596577,0.1513702409416958,0.1511407425530613,0.1520410657540943,-1.0,-1.0,0.1221583964800782,0.1175320708613317,0.1174494594759665,0.1240295861605232,0.0,0.0161723422433784,0.038272515050989,0.0382707733757883,-1.0
T12,-1.0,-1.0,0.1521394611727416,0.152436053593179,-1.0,-1.0,0.1247028707259096,-1.0,-1.0,0.1256247714250883,0.0161723422433784,0.0,-1.0,0.0404875658458899,0.0534765887308467
T13,-1.0,0.1515674077723717,0.1517050691244239,0.1509793086510714,0.0404400467088685,-1.0,0.1231648135634867,0.1185348794404564,-1.0,0.1233794162826421,0.038272515050989,-1.0,0.0,0.0384922830965996,-1.0
T14,0.1376624969340201,0.1520963973933358,-1.0,-1.0,-1.0,0.1178777110648204,-1.0,0.119330718313312,-1.0,0.1244787834191807,0.0382707733757883,0.0404875658458899,0.0384922830965996,0.0,0.0527992159745191
T15,-1.0,0.1542975913925907,-1.0,-1.0,0.0521170648255636,-1.0,-1.0,-1.0,0.1202801461632155,-1.0,-1.0,0.0534765887308467,-1.0,0.0527992159745191,0.0
