sensitivity_variant,n_runs,n_success,n_failed,variant_description,init_strategy,n_restarts,lr_init,lr_milestones,clip_grad_norm,h_central_diff,frac_missing_requested,missingness_actual,RMSE_miss_mean,RMSE_miss_std,MAE_miss_mean,MAE_miss_std,Pearson_miss_mean,Pearson_miss_std,Spearman_miss_mean,Spearman_miss_std,Delta_final_mean,Delta_final_std,Delta_reduction_percent_mean,Delta_reduction_percent_std,runtime_seconds_mean,runtime_seconds_std,RF_norm_mean,RF_norm_std,NJ_vs_ML_patristic_RMSE_mean,NJ_vs_ML_patristic_RMSE_std,Variant
baseline,5,5,0,"two-way initialization, one restart, default lr schedule, clip=5.0, h=1e-5",two_way_mean,1,0.02,"(700, 2000, 4000)",5.0,1e-05,0.5,0.4952380952380952,0.013441006095811999,0.0073691555275677625,0.00512590949942152,0.0020771359982261466,0.9250196301776571,0.06440100043712106,0.8271834713566124,0.1063942706491861,25.735120289536304,3.4813700720433722,92.30800982030081,1.2591561667505469,37.84097759380238,0.17101760396750978,,,,,Baseline
lr_init_low,5,5,0,lower initial learning rate: lr_init=0.01,two_way_mean,1,0.01,"(700, 2000, 4000)",5.0,1e-05,0.5,0.4952380952380952,0.01805420043213448,0.007108671848730088,0.00676847446352116,0.0023348077867363227,0.8684293173495089,0.10125599696850841,0.8180995475113122,0.10521665272401975,27.568571283314135,8.021046797986294,91.96119959213937,1.1966511199541348,36.939943984209094,0.11501184803397212,,,,,Low initial LR
lr_init_high,5,5,0,higher initial learning rate: lr_init=0.04,two_way_mean,1,0.04,"(700, 2000, 4000)",5.0,1e-05,0.5,0.4952380952380952,0.01760323282817634,0.0063857847709293475,0.0066117854405975205,0.0017603510051408958,0.8751461096733975,0.09214883379394476,0.8480662511739092,0.10007508822992972,36.4412410261121,13.941461506821302,89.1527867309612,4.349061416216912,36.79435935060028,0.2340304251704833,,,,,High initial LR
schedule_fast_decay,5,5,0,"earlier LR milestones: 300, 1000, 2500",two_way_mean,1,0.02,"(300, 1000, 2500)",5.0,1e-05,0.5,0.4952380952380952,0.013454307577363342,0.00738680711851476,0.0051478484487016,0.0020853555606180946,0.9247881861406893,0.06452449396718467,0.8205242038760352,0.10805519548205313,25.64009997275442,3.224333955964903,92.33671740368348,1.1876222043805176,36.310369316209105,0.12002590037958667,,,,,Fast LR decay
schedule_slow_decay,5,5,0,"later LR milestones: 1500, 3000, 5000",two_way_mean,1,0.02,"(1500, 3000, 5000)",5.0,1e-05,0.5,0.4952380952380952,0.01343447134019532,0.007270224391527975,0.005155217649580059,0.0020478956953398604,0.9258243573689283,0.06396907878566752,0.8270127209083924,0.10033727345167665,28.37503783393194,4.333995737081032,91.50701245999653,1.5977234693401228,36.43764544600854,0.28848640861976693,,,,,Slow LR decay
clip_low,5,5,0,stronger gradient clipping: clip=1.0,two_way_mean,1,0.02,"(700, 2000, 4000)",1.0,1e-05,0.5,0.4952380952380952,0.0133942534344341,0.0073939304840332535,0.005116219936654719,0.0020871147718986792,0.9251848710154432,0.06435836689713002,0.825493041919235,0.10162309432419527,25.993896416068985,3.3487661672285842,92.23166295694975,1.2223669486302517,36.756957836210496,0.06717943410081471,,,,,Clip = 1
clip_high,5,5,0,weaker gradient clipping: clip=10.0,two_way_mean,1,0.02,"(700, 2000, 4000)",10.0,1e-05,0.5,0.4952380952380952,0.016643159010983177,0.005437981231251653,0.00594969706892622,0.0011854462974240526,0.8910468452253839,0.06504421292852498,0.8221975582685903,0.09742501966241388,27.65483697690338,5.607385399693137,91.85332542941437,0.8772580247191758,36.64315804519574,0.11852858033373094,,,,,Clip = 10
clip_none,5,5,0,no gradient clipping,two_way_mean,1,0.02,"(700, 2000, 4000)",,1e-05,0.5,0.4952380952380952,0.030791774005890997,0.0072544007330817015,0.02031614128268874,0.007829012034478871,0.5588793529124788,0.20542686052621403,0.4824895415350465,0.1845254933050268,230.75154906129,116.85242490685042,31.841488021809788,36.323329460657874,36.24905325640575,0.4047515197685049,,,,,No clipping
fd_step_small,5,5,0,smaller central-difference step: h=5e-6,two_way_mean,1,0.02,"(700, 2000, 4000)",5.0,5e-06,0.5,0.4952380952380952,0.013419970267528659,0.007375417826582156,0.00516318352563748,0.0021111831212588792,0.925092744917869,0.06447813193593738,0.8175872961666524,0.10880794479733064,25.855471954498814,3.3307940264173856,92.26943938579376,1.2403114076338326,36.12109605240985,0.11007311404846323,,,,,FD step $5\cdot 10^{-6}$
fd_step_large,5,5,0,larger central-difference step: h=1e-4,two_way_mean,1,0.02,"(700, 2000, 4000)",5.0,0.0001,0.5,0.4952380952380952,0.01338785311919912,0.007390180022127964,0.0050923880087441805,0.0020574214880898327,0.9252985275943603,0.06435938989268133,0.8282421241355757,0.10533900512498792,24.86501951358098,3.378546505938681,92.5784931781288,1.143878853022098,36.55121221679146,0.1883529926825024,,,,,FD step $10^{-4}$
