pct_missing,init_variant,n_runs,n_success,n_failed,variant_description,init_strategy,n_restarts,lr_init,lr_milestones,clip_grad_norm,h_central_diff,frac_missing_requested,missingness_actual,RMSE_miss_mean,RMSE_miss_std,MAE_miss_mean,MAE_miss_std,Pearson_miss_mean,Pearson_miss_std,Spearman_miss_mean,Spearman_miss_std,Delta_final_mean,Delta_final_std,Delta_reduction_percent_mean,Delta_reduction_percent_std,runtime_seconds_mean,runtime_seconds_std,RF_norm_mean,RF_norm_std,NJ_vs_ML_patristic_RMSE_mean,NJ_vs_ML_patristic_RMSE_std,Initialization
30,observed_mean,5,5,0,all missing entries initialized by the global observed mean,global_mean,1,0.02,"(700, 2000, 4000)",5.0,1e-05,0.3,0.3047619047619048,0.02011233697126702,0.014167078028469792,0.00907481895282748,0.0073303466826416495,0.7922250291829772,0.19003647304751406,0.8453812316715542,0.13077866856525752,48.31492430799774,10.21408188318622,84.16709080379835,2.957879937926169,23.02824564279872,0.0682140825650114,,,,,Observed mean
30,observed_median,5,5,0,all missing entries initialized by the global observed median,global_median,1,0.02,"(700, 2000, 4000)",5.0,1e-05,0.3,0.3047619047619048,0.018570002966642938,0.01491569235271994,0.0084134642254943,0.0077030690462369066,0.8085725165955375,0.19629256793284075,0.8608504398826978,0.10745960082937002,42.48905878511412,9.809251018695361,82.8179187925458,4.098227357152316,22.689318227604964,0.17052314325315182,,,,,Observed median
30,two_way_mean,5,5,0,missing entries initialized by shrunk row/column observed means,two_way_mean,1,0.02,"(700, 2000, 4000)",5.0,1e-05,0.3,0.3047619047619048,0.015434092764333041,0.009984259886454456,0.006111203714488679,0.0037472667753470947,0.8567219494223997,0.15735197766329484,0.8425953079178885,0.11866776226369363,41.81103398062591,11.976663926034432,87.95977682455529,1.0750790020581558,22.576690359803614,0.09223400497087293,,,,,Baseline: row/column mean
30,random_observed_range,5,5,0,missing entries initialized uniformly from the observed distance range,random_observed_range,1,0.02,"(700, 2000, 4000)",5.0,1e-05,0.3,0.3047619047619048,0.013965344217228759,0.00860510168250097,0.00529959555907508,0.0029135664730967543,0.888629701820425,0.11583027016004936,0.8363636363636363,0.14374096869773426,39.586565073681314,9.779614919086942,92.82760147278617,1.454595148105968,22.264813891606174,0.09887041748223009,,,,,Random observed range
50,observed_mean,5,5,0,all missing entries initialized by the global observed mean,global_mean,1,0.02,"(700, 2000, 4000)",5.0,1e-05,0.5,0.4952380952380952,0.021305817493701425,0.010386815052450406,0.00876861456059996,0.0047330270672342545,0.8112949155745479,0.1570320511103948,0.8108085033723214,0.10009590583473278,30.74458896015808,8.913709186314124,88.37266021128065,2.026148579976649,37.110935651196634,0.05495184535751593,,,,,Observed mean
50,observed_median,5,5,0,all missing entries initialized by the global observed median,global_median,1,0.02,"(700, 2000, 4000)",5.0,1e-05,0.5,0.4952380952380952,0.02243121611394598,0.010020941482537469,0.00935838138499788,0.004171167165443054,0.789497540488102,0.15171181023297622,0.8033979339195765,0.10947113726632321,32.36045361765589,8.613459853191449,84.86181626457316,3.959457031149416,36.94925641900045,0.08538461888414765,,,,,Observed median
50,two_way_mean,5,5,0,missing entries initialized by shrunk row/column observed means,two_way_mean,1,0.02,"(700, 2000, 4000)",5.0,1e-05,0.5,0.4952380952380952,0.013441006095811999,0.0073691555275677625,0.00512590949942152,0.0020771359982261466,0.9250196301776571,0.06440100043712106,0.8271834713566124,0.1063942706491861,25.735120289536304,3.4813700720433722,92.30800982030081,1.2591561667505469,36.37517302479828,0.1751666700969877,,,,,Baseline: row/column mean
50,random_observed_range,5,5,0,missing entries initialized uniformly from the observed distance range,random_observed_range,1,0.02,"(700, 2000, 4000)",5.0,1e-05,0.5,0.4952380952380952,0.019077120017677203,0.007540686405201045,0.00757141845560008,0.0028428257898336228,0.8564480732389249,0.10146505771188043,0.8196875266797574,0.10113928638532914,30.367645702379697,8.284840662028799,96.18167730869627,1.2505989687283976,36.14774246980669,0.4469675379776034,,,,,Random observed range
65,observed_mean,5,5,0,all missing entries initialized by the global observed mean,global_mean,1,0.02,"(700, 2000, 4000)",5.0,1e-05,0.65,0.6476190476190476,0.02258705304531888,0.01482766144878218,0.01082172380938732,0.006405786946870645,0.771397033305303,0.19766233173974504,0.8096499599190746,0.08640157332784139,18.52043339846805,2.4902049203981744,90.268395892759,2.1468362118269706,48.02620686099981,0.2684248888856015,,,,,Observed mean
65,observed_median,5,5,0,all missing entries initialized by the global observed median,global_median,1,0.02,"(700, 2000, 4000)",5.0,1e-05,0.65,0.6476190476190476,0.01562472767406756,0.010399946723812406,0.0069475082761988605,0.0045688558075071915,0.8897991528329573,0.1282245625893342,0.8263923350001908,0.07757312144978806,17.232725866621184,2.4057101768483324,87.67925580071449,1.7261227675477946,48.42196765320841,0.21888829403719098,,,,,Observed median
