new_label	accession	original_id	original_description
Allenopithecus_nigroviridis_KJ434962	KJ434962	KJ434962.1	KJ434962.1 Allenopithecus nigroviridis mitochondrion, complete genome
Cercocebus_atys_KT159932	KT159932	KT159932.1	KT159932.1 Cercocebus atys mitochondrion, complete genome
Cercocebus_chrysogaster_KC757390	KC757390	KC757390.1	KC757390.1 Cercocebus chrysogaster mitochondrion, complete genome
Cercocebus_torquatus_KJ434959	KJ434959	KJ434959.1	KJ434959.1 Cercocebus torquatus mitochondrion, complete genome
Cercopithecus_aethiops_AY863426	AY863426	AY863426.1	AY863426.1 Cercopithecus aethiops mitochondrion, complete genome
Cercopithecus_albogularis_KC757391	KC757391	KC757391.1	KC757391.1 Cercopithecus albogularis mitochondrion, complete genome
Cercopithecus_diana_KJ434958	KJ434958	KJ434958.1	KJ434958.1 Cercopithecus diana mitochondrion, complete genome
Cercopithecus_lhoesti_KJ434957	KJ434957	KJ434957.1	KJ434957.1 Cercopithecus lhoesti mitochondrion, complete genome
Cercopithecus_mitis_KJ434956	KJ434956	KJ434956.1	KJ434956.1 Cercopithecus mitis mitochondrion, complete genome
Cercopithecus_neglectus_MW160353	MW160353	MW160353.1	MW160353.1 Cercopithecus neglectus mitochondrion, complete genome
Chlorocebus_aethiops_C1_KU682691	KU682691	KU682691.1	KU682691.1 Chlorocebus aethiops isolate C1 mitochondrion, complete genome
Chlorocebus_aethiops_MN816163	MN816163	MN816163.1	MN816163.1 Chlorocebus aethiops mitochondrion, complete genome
Chlorocebus_cynosuros_C3_KU682693	KU682693	KU682693.1	KU682693.1 Chlorocebus cynosuros isolate C3 mitochondrion, complete genome
Chlorocebus_cynosuros_KM262190	KM262190	KM262190.1	KM262190.1 Chlorocebus cynosuros mitochondrion, complete genome
Chlorocebus_djamdjamensis_C5_KU682695	KU682695	KU682695.1	KU682695.1 Chlorocebus djamdjamensis isolate C5 mitochondrion, complete genome
