,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,0.1507675438596491,0.1533787068546427,0.1527297018278982,0.13787255534545234,0.1419554530557747,0.1435863158534362,0.13807588822048644,0.1402539651291078,0.1381240896242235,0.138080684596577,0.13814945057204192,0.13788217516155263,0.13798805365742794,0.1378219978633326
T2,0.1507675438596491,0.0,0.15292144077434686,0.0739301972685887,0.1516390750788537,0.15231372913655378,0.15191468521621487,0.1521608911400895,0.1559264222195151,0.15164705782024074,0.1513702409416958,0.1523797885990102,0.1515674077723717,0.15165915985226544,0.15214624125439385
T3,0.1533787068546427,0.15292144077434686,0.0,0.15247113685589792,0.15276007213929,0.1525804493017608,0.15241526495886434,0.1525962651918773,0.1527949882851718,0.15256525678899693,0.1526277250143917,0.1528959261151255,0.15273413269829708,0.15271571509126552,0.15260467144206763
T4,0.1527297018278982,0.0739301972685887,0.15247113685589792,0.0,0.15204417140825785,0.15190756583965473,0.15225355185987807,0.15216108810086534,0.15276531760278134,0.15210066577100528,0.1520410657540943,0.15225054781220937,0.1519989508283552,0.1518420879263443,0.1521024206389969
T5,0.13787255534545234,0.1516390750788537,0.15276007213929,0.15204417140825785,0.0,0.12029967205089595,0.1247154767592983,0.1198875099345845,0.1212499804994939,0.12400914239539254,0.0346280688897031,0.0357339197361187,0.038562447942525474,0.0539921049405468,0.0521170648255636
T6,0.1419554530557747,0.15231372913655378,0.1525804493017608,0.15190756583965473,0.12029967205089595,0.0,0.12396092391990181,0.12068822166384266,0.0536298630469034,0.12306051479981313,0.12117424433317361,0.1209962245767872,0.1211769604705696,0.1178777110648204,0.1225570776255707
T7,0.1435863158534362,0.15191468521621487,0.15241526495886434,0.15225355185987807,0.1247154767592983,0.12396092391990181,0.0,0.1260626669905271,0.1230955993930197,0.1197473888753947,0.12494227698749565,0.1247028707259096,0.12452042268734075,0.12448300099600915,0.12483078058446456
T8,0.13807588822048644,0.1521608911400895,0.1525962651918773,0.15216108810086534,0.1198875099345845,0.12068822166384266,0.1260626669905271,0.0,0.12087589843338055,0.1212047607481175,0.1175320708613317,0.11761999393626525,0.11769009558886676,0.11797759073638561,0.11751788383581831
T9,0.1402539651291078,0.1559264222195151,0.1527949882851718,0.15276531760278134,0.1212499804994939,0.0536298630469034,0.1230955993930197,0.12087589843338055,0.0,0.1221392581800522,0.12127136619785656,0.12074949770065337,0.12110699870570774,0.12124592295006205,0.12118506002942943
T10,0.1381240896242235,0.15164705782024074,0.15256525678899693,0.15210066577100528,0.12400914239539254,0.12306051479981313,0.1197473888753947,0.1212047607481175,0.1221392581800522,0.0,0.1240295861605232,0.12385458529218829,0.1233794162826421,0.12382798205015708,0.1254113345521023
T11,0.138080684596577,0.1513702409416958,0.1526277250143917,0.1520410657540943,0.0346280688897031,0.12117424433317361,0.12494227698749565,0.1175320708613317,0.12127136619785656,0.1240295861605232,0.0,0.0161723422433784,0.038272515050989,0.05342874903303293,0.05331069681018372
T12,0.13814945057204192,0.1523797885990102,0.1528959261151255,0.15225054781220937,0.0357339197361187,0.1209962245767872,0.1247028707259096,0.11761999393626525,0.12074949770065337,0.12385458529218829,0.0161723422433784,0.0,0.038749233599019,0.05328084634749528,0.0534765887308467
T13,0.13788217516155263,0.1515674077723717,0.15273413269829708,0.1519989508283552,0.038562447942525474,0.1211769604705696,0.12452042268734075,0.11769009558886676,0.12110699870570774,0.1233794162826421,0.038272515050989,0.038749233599019,0.0,0.05334017144498662,0.0508172545164065
T14,0.13798805365742794,0.15165915985226544,0.15271571509126552,0.1518420879263443,0.0539921049405468,0.1178777110648204,0.12448300099600915,0.11797759073638561,0.12124592295006205,0.12382798205015708,0.05342874903303293,0.05328084634749528,0.05334017144498662,0.0,0.0527992159745191
T15,0.1378219978633326,0.15214624125439385,0.15260467144206763,0.1521024206389969,0.0521170648255636,0.1225570776255707,0.12483078058446456,0.11751788383581831,0.12118506002942943,0.1254113345521023,0.05331069681018372,0.0534765887308467,0.0508172545164065,0.0527992159745191,0.0
