restart,epoch,full_delta,best_delta,objective_for_grad,best_objective_for_grad,best_epoch,learning_rate,optimized_variables,event
0,1,276.3051763088561,276.3051763088561,0.6072641237557277,0.6072641237557277,1,0.02,52,checkpoint
0,500,68.79748260034881,68.79748260034881,0.1512032584623051,0.1512032584623051,500,0.02,52,checkpoint
0,1000,43.178742527511375,43.178742527511375,0.09489833522529972,0.09489833522529972,1000,0.01,52,checkpoint
0,1500,43.77868788502248,43.178742527511375,0.09621689645059885,0.09489833522529972,1000,0.01,52,checkpoint
0,2000,44.339096177978476,43.178742527511375,0.09744856302852413,0.09489833522529972,1000,0.005,52,checkpoint
0,2500,34.28375224299343,34.28375224299343,0.07534890602855698,0.07534890602855698,2500,0.005,52,checkpoint
0,3000,31.934400338583593,31.934400338583593,0.07018549524963427,0.07018549524963427,3000,0.005,52,checkpoint
0,3500,34.51420680400754,31.934400338583593,0.07585539956924735,0.07018549524963427,3000,0.005,52,checkpoint
0,4000,35.69009799513362,31.934400338583593,0.07843977581348048,0.07018549524963427,3000,0.0025,52,checkpoint
0,4500,27.9392598023765,27.9392598023765,0.06140496659862967,0.06140496659862967,4500,0.0025,52,checkpoint
0,5000,28.20520243604856,27.9392598023765,0.06198945590340343,0.06140496659862967,4500,0.0025,52,checkpoint
