restart,epoch,full_delta,best_delta,objective_for_grad,best_objective_for_grad,best_epoch,learning_rate,optimized_variables,event
0,1,265.10491164036864,265.10491164036864,0.5826481574513597,0.5826481574513597,1,0.02,52,checkpoint
0,500,43.820552013318746,43.820552013318746,0.09630890552377747,0.09630890552377747,500,0.02,52,checkpoint
0,1000,34.42140425548358,34.42140425548358,0.07565143792413974,0.07565143792413974,1000,0.01,52,checkpoint
0,1500,33.81303471546824,33.81303471546824,0.07431436201201812,0.07431436201201812,1500,0.01,52,checkpoint
0,2000,33.57054646785664,33.57054646785664,0.07378142080847612,0.07378142080847612,2000,0.005,52,checkpoint
0,2500,30.485302451090043,30.485302451090043,0.06700066472767043,0.06700066472767043,2500,0.005,52,checkpoint
0,3000,30.132488007169947,30.132488007169947,0.06622524836740648,0.06622524836740648,3000,0.005,52,checkpoint
0,3500,30.58508943621322,30.132488007169947,0.0672199767828862,0.06622524836740648,3000,0.005,52,checkpoint
0,4000,29.352993399968533,29.352993399968533,0.06451207340652425,0.06451207340652425,4000,0.0025,52,checkpoint
0,4500,27.061209618546997,27.061209618546997,0.059475185974828565,0.059475185974828565,4500,0.0025,52,checkpoint
0,5000,26.989957455879125,26.989957455879125,0.05931858781511896,0.05931858781511896,5000,0.0025,52,checkpoint
