restart,epoch,full_delta,best_delta,objective_for_grad,best_objective_for_grad,best_epoch,learning_rate,optimized_variables,event
0,1,276.3049740316718,276.3049740316718,0.6072636791904875,0.6072636791904875,1,0.02,52,checkpoint
0,500,77.90732086564586,77.90732086564586,0.1712248810233975,0.1712248810233975,500,0.02,52,checkpoint
0,1000,41.14715481133091,41.14715481133091,0.09043330727765035,0.09043330727765035,1000,0.01,52,checkpoint
0,1500,41.87765043244714,41.14715481133091,0.09203879215922449,0.09043330727765035,1000,0.01,52,checkpoint
0,2000,45.685846798537945,41.14715481133091,0.1004084545022812,0.09043330727765035,1000,0.005,52,checkpoint
0,2500,34.13873142379711,34.13873142379711,0.07503017895340025,0.07503017895340025,2500,0.005,52,checkpoint
0,3000,32.7672918663211,32.7672918663211,0.0720160260798266,0.0720160260798266,3000,0.005,52,checkpoint
0,3500,32.63309344300665,32.63309344300665,0.0717210844901245,0.0717210844901245,3500,0.005,52,checkpoint
0,4000,32.005877680821754,32.005877680821754,0.07034258830949836,0.07034258830949836,4000,0.0025,52,checkpoint
0,4500,27.700943337263567,27.700943337263567,0.06088119414783202,0.06088119414783202,4500,0.0025,52,checkpoint
0,5000,25.771258275359834,25.771258275359834,0.056640128077713923,0.056640128077713923,5000,0.0025,52,checkpoint
