,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1423102631099228,-1.0,-1.0,-1.0,-1.0,-1.0
T2,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1510883482714468,-1.0,-1.0,-1.0,-1.0,-1.0
T3,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1521394611727416,-1.0,-1.0,-1.0
T4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.1529261777561923,0.1557187955318115,0.154056517775752,-1.0,-1.0,-1.0,-1.0,-1.0
T5,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.1241590214067278,-1.0,0.1206527718354623,-1.0,-1.0,0.0357339197361187,-1.0,-1.0,0.0521170648255636
T6,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1225570776255707
T7,-1.0,-1.0,-1.0,-1.0,0.1241590214067278,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1229081100962422,-1.0
T8,-1.0,-1.0,-1.0,0.1529261777561923,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
T9,-1.0,-1.0,-1.0,0.1557187955318115,0.1206527718354623,-1.0,-1.0,-1.0,0.0,0.1221392581800522,-1.0,-1.0,-1.0,-1.0,-1.0
T10,0.1423102631099228,0.1510883482714468,-1.0,0.154056517775752,-1.0,-1.0,-1.0,-1.0,0.1221392581800522,0.0,0.1240295861605232,-1.0,-1.0,0.1244787834191807,-1.0
T11,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1240295861605232,0.0,-1.0,-1.0,-1.0,-1.0
T12,-1.0,-1.0,0.1521394611727416,-1.0,0.0357339197361187,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0534765887308467
T13,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
T14,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1229081100962422,-1.0,-1.0,0.1244787834191807,-1.0,-1.0,-1.0,0.0,-1.0
T15,-1.0,-1.0,-1.0,-1.0,0.0521170648255636,0.1225570776255707,-1.0,-1.0,-1.0,-1.0,-1.0,0.0534765887308467,-1.0,-1.0,0.0
