,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,0.15076754385964913,0.1533787068546427,0.15272970182789822,0.13831284027650334,0.14195545305577473,0.14358631585343623,0.13731198447355653,0.1407330986770239,0.14231026310992284,0.13808068459657702,0.14039573820395737,0.13881385068762278,0.1376624969340201,0.1426830011580423
T2,0.15076754385964913,0.0,0.07502581860154305,0.07393019726858877,0.15311004784688995,0.15314821580806234,0.1528472137544202,0.15156868717636307,0.15592642221951517,0.15108834827144688,0.1513702409416958,0.1523797885990102,0.15156740777237174,0.1520963973933358,0.15429759139259078
T3,0.1533787068546427,0.07502581860154305,0.0,0.07871631849833485,0.15392618887324805,0.1525804493017608,0.1542759961127308,0.1501973883996356,0.15292117089760718,0.15506656130326424,0.15114074255306134,0.15213946117274169,0.15170506912442397,0.15116564417177913,0.15376639219274169
T4,0.15272970182789822,0.07393019726858877,0.07871631849833485,0.0,0.15300880626223093,0.15488256357346605,0.15485596207609093,0.15292617775619233,0.15571879553181156,0.15405651777575205,0.15204106575409435,0.15243605359317905,0.1509793086510714,0.15092257708575982,0.15475102090571097
T5,0.13831284027650334,0.15311004784688995,0.15392618887324805,0.15300880626223093,0.0,0.12069913829982278,0.12415902140672783,0.11988750993458458,0.12065277183546239,0.12499235240134597,0.03462806888970319,0.035733919736118745,0.04044004670886854,0.04013726331270298,0.052117064825563636
T6,0.14195545305577473,0.15314821580806234,0.1525804493017608,0.15488256357346605,0.12069913829982278,0.0,0.12448409808205875,0.11151537202110241,0.053629863046903405,0.12283044058744993,0.11804580152671755,0.12099622457678724,0.11900816301479163,0.11787771106482049,0.12255707762557078
T7,0.14358631585343623,0.1528472137544202,0.1542759961127308,0.15485596207609093,0.12415902140672783,0.12448409808205875,0.0,0.1260626669905271,0.12309559939301973,0.11974738887539471,0.12215839648007822,0.12470287072590967,0.1231648135634867,0.12290811009624227,0.12426107623864951
T8,0.13731198447355653,0.15156868717636307,0.1501973883996356,0.15292617775619233,0.11988750993458458,0.11151537202110241,0.1260626669905271,0.0,0.11096289109871453,0.12120476074811756,0.1175320708613317,0.11955198441684928,0.11853487944045647,0.11933071831331209,0.11992934583993178
T9,0.1407330986770239,0.15592642221951517,0.15292117089760718,0.15571879553181156,0.12065277183546239,0.053629863046903405,0.12309559939301973,0.11096289109871453,0.0,0.12213925818005221,0.11744945947596654,0.1194884287454324,0.11627478666584812,0.11776960784313725,0.12028014616321558
T10,0.14231026310992284,0.15108834827144688,0.15506656130326424,0.15405651777575205,0.12499235240134597,0.12283044058744993,0.11974738887539471,0.12120476074811756,0.12213925818005221,0.0,0.12402958616052326,0.12562477142508838,0.1233794162826421,0.12447878341918077,0.12541133455210238
T11,0.13808068459657702,0.1513702409416958,0.15114074255306134,0.15204106575409435,0.03462806888970319,0.11804580152671755,0.12215839648007822,0.1175320708613317,0.11744945947596654,0.12402958616052326,0.0,0.016172342243378494,0.03827251505098907,0.03827077337578838,0.05191156711860266
T12,0.14039573820395737,0.1523797885990102,0.15213946117274169,0.15243605359317905,0.035733919736118745,0.12099622457678724,0.12470287072590967,0.11955198441684928,0.1194884287454324,0.12562477142508838,0.016172342243378494,0.0,0.03874923359901901,0.04048756584588999,0.053476588730846715
T13,0.13881385068762278,0.15156740777237174,0.15170506912442397,0.1509793086510714,0.04044004670886854,0.11900816301479163,0.1231648135634867,0.11853487944045647,0.11627478666584812,0.1233794162826421,0.03827251505098907,0.03874923359901901,0.0,0.03849228309659964,0.050817254516406535
T14,0.1376624969340201,0.1520963973933358,0.15116564417177913,0.15092257708575982,0.04013726331270298,0.11787771106482049,0.12290811009624227,0.11933071831331209,0.11776960784313725,0.12447878341918077,0.03827077337578838,0.04048756584588999,0.03849228309659964,0.0,0.05279921597451917
T15,0.1426830011580423,0.15429759139259078,0.15376639219274169,0.15475102090571097,0.052117064825563636,0.12255707762557078,0.12426107623864951,0.11992934583993178,0.12028014616321558,0.12541133455210238,0.05191156711860266,0.053476588730846715,0.050817254516406535,0.05279921597451917,0.0
