,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,0.030962043293112126,0.05654485811084472,0.0735169178882904,0.1383128402765033,0.1419554530557747,0.1435863158534362,0.07431647149798845,0.12033777037902521,0.1423102631099228,0.1297915098502579,0.11966502735280932,0.1388138506876227,0.13948772344780452,0.13057879504854666
T2,0.030962043293112126,0.0,0.021853267491568813,0.015899777156969202,0.14719111595685216,0.1304313055461754,0.1528472137544202,0.0682519295969945,0.1009272418575124,0.1510883482714468,0.09697321823424927,0.135564527821877,0.1442002524980735,0.14944467371308148,0.15242737023209418
T3,0.05654485811084472,0.021853267491568813,0.0,0.15417785410740742,0.153926188873248,0.1525804493017608,0.14076209298514838,0.09562442532866822,0.11789226926370641,0.1550665613032642,0.1198267435035206,0.1218737863110798,0.1517050691244239,0.1511656441717791,0.1537663921927416
T4,0.0735169178882904,0.015899777156969202,0.15417785410740742,0.0,0.12340572052070585,0.1299641272080325,0.1548559620760909,0.11868225598505261,0.1557187955318115,0.14217349971741486,0.1520410657540943,0.0964101444986424,0.11426340024277608,0.1372856791599454,0.1026566081260163
T5,0.1383128402765033,0.14719111595685216,0.153926188873248,0.12340572052070585,0.0,0.1206991382998227,0.05906072063672048,0.1198875099345845,0.1206527718354623,0.050976424542465155,0.07337229015238757,0.0357339197361187,0.0404400467088685,0.021508367582076946,0.06903345186218386
T6,0.1419554530557747,0.1304313055461754,0.1525804493017608,0.1299641272080325,0.1206991382998227,0.0,0.1244840980820587,0.1115153720211024,0.016760449107648713,0.10655119011147776,0.059594924063780405,0.10352891993143909,0.0879812826511285,0.05485330830618878,0.009381317812078046
T7,0.1435863158534362,0.1528472137544202,0.14076209298514838,0.1548559620760909,0.05906072063672048,0.1244840980820587,0.0,0.1260626669905271,0.1230955993930197,0.03393288161542426,0.1221583964800782,0.029716477277780526,0.07781996683321103,0.058915593041944846,0.09613814425705491
T8,0.07431647149798845,0.0682519295969945,0.09562442532866822,0.11868225598505261,0.1198875099345845,0.1115153720211024,0.1260626669905271,0.0,0.1109628910987145,0.1212047607481175,0.05420023538042031,0.1195519844168492,0.08907672293841042,0.119330718313312,0.09897929549659663
T9,0.12033777037902521,0.1009272418575124,0.11789226926370641,0.1557187955318115,0.1206527718354623,0.016760449107648713,0.1230955993930197,0.1109628910987145,0.0,0.1221392581800522,0.08918130297146105,0.1194884287454324,0.1162747866658481,0.07867686823496321,0.10298773612594958
T10,0.1423102631099228,0.1510883482714468,0.1550665613032642,0.14217349971741486,0.050976424542465155,0.10655119011147776,0.03393288161542426,0.1212047607481175,0.1221392581800522,0.0,0.1240295861605232,0.023068205257942877,0.06876097745613025,0.021206539444338507,0.019071891366931746
T11,0.1297915098502579,0.09697321823424927,0.1198267435035206,0.1520410657540943,0.07337229015238757,0.059594924063780405,0.1221583964800782,0.05420023538042031,0.08918130297146105,0.1240295861605232,0.0,0.08398253210786871,0.038272515050989,0.08811903570982102,0.06864475380578418
T12,0.11966502735280932,0.135564527821877,0.1218737863110798,0.0964101444986424,0.0357339197361187,0.10352891993143909,0.029716477277780526,0.1195519844168492,0.1194884287454324,0.023068205257942877,0.08398253210786871,0.0,0.015362775274666625,0.005150765762176525,0.0534765887308467
T13,0.1388138506876227,0.1442002524980735,0.1517050691244239,0.11426340024277608,0.0404400467088685,0.0879812826511285,0.07781996683321103,0.08907672293841042,0.1162747866658481,0.06876097745613025,0.038272515050989,0.015362775274666625,0.0,0.01041801403094269,0.0508172545164065
T14,0.13948772344780452,0.14944467371308148,0.1511656441717791,0.1372856791599454,0.021508367582076946,0.05485330830618878,0.058915593041944846,0.119330718313312,0.07867686823496321,0.021206539444338507,0.08811903570982102,0.005150765762176525,0.01041801403094269,0.0,0.02846467437172105
T15,0.13057879504854666,0.15242737023209418,0.1537663921927416,0.1026566081260163,0.06903345186218386,0.009381317812078046,0.09613814425705491,0.09897929549659663,0.10298773612594958,0.019071891366931746,0.06864475380578418,0.0534765887308467,0.0508172545164065,0.02846467437172105,0.0
