,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,-1.0,-1.0,0.1527297018278982,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1376624969340201,-1.0
T2,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1559264222195151,-1.0,-1.0,0.1523797885990102,-1.0,-1.0,-1.0
T3,-1.0,-1.0,0.0,-1.0,-1.0,0.1525804493017608,-1.0,0.1501973883996356,-1.0,-1.0,-1.0,-1.0,0.1517050691244239,-1.0,-1.0
T4,0.1527297018278982,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1509793086510714,-1.0,-1.0
T5,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.1206527718354623,0.1249923524013459,-1.0,-1.0,-1.0,-1.0,-1.0
T6,-1.0,-1.0,0.1525804493017608,-1.0,-1.0,0.0,0.1244840980820587,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
T7,-1.0,-1.0,-1.0,-1.0,-1.0,0.1244840980820587,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1242610762386495
T8,-1.0,-1.0,0.1501973883996356,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.1212047607481175,-1.0,-1.0,-1.0,-1.0,-1.0
T9,-1.0,0.1559264222195151,-1.0,-1.0,0.1206527718354623,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.1177696078431372,-1.0
T10,-1.0,-1.0,-1.0,-1.0,0.1249923524013459,-1.0,-1.0,0.1212047607481175,-1.0,0.0,0.1240295861605232,-1.0,-1.0,-1.0,-1.0
T11,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1240295861605232,0.0,-1.0,-1.0,-1.0,-1.0
T12,-1.0,0.1523797885990102,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
T13,-1.0,-1.0,0.1517050691244239,0.1509793086510714,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0508172545164065
T14,0.1376624969340201,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1177696078431372,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
T15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1242610762386495,-1.0,-1.0,-1.0,-1.0,-1.0,0.0508172545164065,-1.0,0.0
