method,pct_missing,frac_missing_requested,missingness_actual,replicate,mask_seed,n_pairs_total,n_missing,n_observed,optimized_variables,imputed_variables,success,success_numerical,success_valid_matrix,error_message,masked_file,completed_file,n_neighbors_requested,n_neighbors_effective,knn_weights,knn_metric,epochs_used,convergence_epoch,optimizer_config_json,runtime_seconds,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,max_abs_error_observed,mean_abs_error_observed,n_success,n_failed
KNN-impute,30,0.3,0.3047619047619048,1,55,105,32,73,0,32,True,True,True,,missing_p30_rep01_seed55.csv,KNNimpute_completed_p30_rep01_seed55.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",3.9521467860031407,0.026315936981870302,0.021377576523477677,0.9319764355784891,0.8625366568914956,0.0,0.0,30,0
KNN-impute,30,0.3,0.3047619047619048,2,56,105,32,73,0,32,True,True,True,,missing_p30_rep02_seed56.csv,KNNimpute_completed_p30_rep02_seed56.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.002642417006427422,0.036006077040880526,0.02513839033047266,0.8673606201233284,0.8687683284457477,0.0,0.0,30,0
KNN-impute,30,0.3,0.3047619047619048,3,57,105,32,73,0,32,True,True,True,,missing_p30_rep03_seed57.csv,KNNimpute_completed_p30_rep03_seed57.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.002193678999901749,0.03718774868853523,0.029454320480229015,0.8192521261910133,0.7456011730205278,0.0,0.0,30,0
KNN-impute,30,0.3,0.3047619047619048,4,58,105,32,73,0,32,True,True,True,,missing_p30_rep04_seed58.csv,KNNimpute_completed_p30_rep04_seed58.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0025024260103236884,0.03179615035920246,0.023308898407829685,0.8620173928905029,0.7606304985337242,0.0,0.0,30,0
KNN-impute,30,0.3,0.3047619047619048,5,59,105,32,73,0,32,True,True,True,,missing_p30_rep05_seed59.csv,KNNimpute_completed_p30_rep05_seed59.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.002260667009977624,0.037001989513057686,0.0295963246284039,0.7179873297012657,0.25109970674486803,0.0,0.0,30,0
KNN-impute,30,0.3,0.3047619047619048,6,60,105,32,73,0,32,True,True,True,,missing_p30_rep06_seed60.csv,KNNimpute_completed_p30_rep06_seed60.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.005118387009133585,0.02862659029466601,0.024949595391416196,0.9012935396514902,0.8295454545454545,0.0,0.0,30,0
KNN-impute,30,0.3,0.3047619047619048,7,61,105,32,73,0,32,True,True,True,,missing_p30_rep07_seed61.csv,KNNimpute_completed_p30_rep07_seed61.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.00266597700829152,0.026064913849875068,0.02093949850355533,0.9284040447425809,0.7844574780058651,0.0,0.0,30,0
KNN-impute,30,0.3,0.3047619047619048,8,62,105,32,73,0,32,True,True,True,,missing_p30_rep08_seed62.csv,KNNimpute_completed_p30_rep08_seed62.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.002486843994120136,0.029820147265112028,0.02633399075773421,0.9365755053587105,0.875733137829912,0.0,0.0,30,0
KNN-impute,30,0.3,0.3047619047619048,9,63,105,32,73,0,32,True,True,True,,missing_p30_rep09_seed63.csv,KNNimpute_completed_p30_rep09_seed63.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.005683109993697144,0.02821943358850352,0.020855740720103627,0.907458711171812,0.8442082111436948,0.0,0.0,30,0
KNN-impute,30,0.3,0.3047619047619048,10,64,105,32,73,0,32,True,True,True,,missing_p30_rep10_seed64.csv,KNNimpute_completed_p30_rep10_seed64.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.002623022999614477,0.027556737492881667,0.02132722399909967,0.9245602404771109,0.7708944281524927,0.0,0.0,30,0
