method,pct_missing,replicate,mask_seed,file,path,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,runtime_seconds,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,max_abs_error_observed,mean_abs_error_observed,masked_file,__metadata_scope,__metadata_source
KNN-Impute,30,1,55,KNNimpute_completed_p30_rep01_seed55.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep01_seed55.csv,0.3047619047619048,105,32,73,0,3.9521467860031407,0.0263159369818703,0.0213775765234776,0.9319764355784892,0.8625366568914956,0.0,0.0,missing_p30_rep01_seed55.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,30,2,56,KNNimpute_completed_p30_rep02_seed56.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep02_seed56.csv,0.3047619047619048,105,32,73,0,0.0026424170064274,0.0360060770408805,0.0251383903304726,0.8673606201233284,0.8687683284457477,0.0,0.0,missing_p30_rep02_seed56.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,30,3,57,KNNimpute_completed_p30_rep03_seed57.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep03_seed57.csv,0.3047619047619048,105,32,73,0,0.0021936789999017,0.0371877486885352,0.029454320480229,0.8192521261910133,0.7456011730205278,0.0,0.0,missing_p30_rep03_seed57.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,30,4,58,KNNimpute_completed_p30_rep04_seed58.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep04_seed58.csv,0.3047619047619048,105,32,73,0,0.0025024260103236,0.0317961503592024,0.0233088984078296,0.8620173928905029,0.7606304985337242,0.0,0.0,missing_p30_rep04_seed58.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,30,5,59,KNNimpute_completed_p30_rep05_seed59.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep05_seed59.csv,0.3047619047619048,105,32,73,0,0.0022606670099776,0.0370019895130576,0.0295963246284039,0.7179873297012657,0.251099706744868,0.0,0.0,missing_p30_rep05_seed59.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,30,6,60,KNNimpute_completed_p30_rep06_seed60.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep06_seed60.csv,0.3047619047619048,105,32,73,0,0.0051183870091335,0.028626590294666,0.0249495953914161,0.9012935396514902,0.8295454545454545,0.0,0.0,missing_p30_rep06_seed60.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,30,7,61,KNNimpute_completed_p30_rep07_seed61.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep07_seed61.csv,0.3047619047619048,105,32,73,0,0.0026659770082915,0.026064913849875,0.0209394985035553,0.9284040447425808,0.7844574780058651,0.0,0.0,missing_p30_rep07_seed61.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,30,8,62,KNNimpute_completed_p30_rep08_seed62.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep08_seed62.csv,0.3047619047619048,105,32,73,0,0.0024868439941201,0.029820147265112,0.0263339907577342,0.9365755053587104,0.875733137829912,0.0,0.0,missing_p30_rep08_seed62.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,30,9,63,KNNimpute_completed_p30_rep09_seed63.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep09_seed63.csv,0.3047619047619048,105,32,73,0,0.0056831099936971,0.0282194335885035,0.0208557407201036,0.907458711171812,0.8442082111436948,0.0,0.0,missing_p30_rep09_seed63.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,30,10,64,KNNimpute_completed_p30_rep10_seed64.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep10_seed64.csv,0.3047619047619048,105,32,73,0,0.0026230229996144,0.0275567374928816,0.0213272239990996,0.9245602404771108,0.7708944281524927,0.0,0.0,missing_p30_rep10_seed64.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
