method,pct_missing,replicate,mask_seed,file,path,success,error_message,n_taxa,n_pairs,n_edges,n_terminal_edges,n_internal_edges,nnls_rnorm,branch_fit_solver,tree_length_ref,tree_length_hat,tree_length_abs_error,tree_length_rel_error,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,masked_file,runtime_seconds,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,max_abs_error_observed,mean_abs_error_observed,__metadata_scope,__metadata_source,edge_BL_MAE,edge_BL_RMSE,edge_BL_Bias,edge_BL_MaxAE,edge_BL_Pearson,edge_BL_Spearman,edge_BL_rel_RMSE,edge_BL_rel_MAE,terminal_BL_MAE,terminal_BL_RMSE,terminal_BL_Bias,terminal_BL_MaxAE,terminal_BL_Pearson,terminal_BL_Spearman,terminal_BL_rel_RMSE,terminal_BL_rel_MAE,internal_BL_MAE,internal_BL_RMSE,internal_BL_Bias,internal_BL_MaxAE,internal_BL_Pearson,internal_BL_Spearman,internal_BL_rel_RMSE,internal_BL_rel_MAE,fit_pat_MAE,fit_pat_RMSE,fit_pat_Bias,fit_pat_MaxAE,fit_pat_Pearson,fit_pat_Spearman,fit_pat_rel_RMSE,fit_pat_rel_MAE,input_vs_ML_pat_MAE,input_vs_ML_pat_RMSE,input_vs_ML_pat_Bias,input_vs_ML_pat_MaxAE,input_vs_ML_pat_Pearson,input_vs_ML_pat_Spearman,input_vs_ML_pat_rel_RMSE,input_vs_ML_pat_rel_MAE
KNN-Impute,30,1,55,KNNimpute_completed_p30_rep01_seed55.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep01_seed55.csv,True,,15,105,27,15,12,0.10731095323807298,scipy.optimize.nnls,1.2142374164,0.5785598574249343,0.6356775589750657,0.5235199890806673,0.3047619047619048,105,32,73,0,missing_p30_rep01_seed55.csv,3.9521467860031407,0.0263159369818703,0.0213775765234776,0.9319764355784892,0.8625366568914956,0.0,0.0,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv,0.024620569547029018,0.03430430050425732,-0.023543613295372804,0.09231002275648553,0.9264963569267632,0.7960877536595354,0.553750999454034,0.5474673805890993,0.026734629805447448,0.03505504477596521,-0.026599567805332028,0.08416216308114952,0.9242893365743108,0.8285714285714284,0.5243271900393178,0.4981551810485785,0.021977994224005978,0.03334210729900282,-0.019723670157923767,0.09231002275648553,0.9297638186338167,0.5125366600656184,0.6039868962490602,0.6444713408750989,0.14288949152850494,0.1590888609423678,-0.14288949152850494,0.23265514441889718,0.9710412659240177,0.9270682148040638,0.5714430150884258,0.5559414905957186,0.14288949152850494,0.15944653971236597,-0.14288949152850494,0.24616064366325743,0.9369633759443502,0.8613311217084803,0.5727277878471856,0.5559414905957186
KNN-Impute,30,2,56,KNNimpute_completed_p30_rep02_seed56.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep02_seed56.csv,True,,15,105,27,15,12,0.07769793323764973,scipy.optimize.nnls,1.2142374164,0.48387299057743716,0.7303644258225629,0.6015005104915682,0.3047619047619048,105,32,73,0,missing_p30_rep02_seed56.csv,0.0026424170064274,0.0360060770408805,0.0251383903304726,0.8673606201233284,0.8687683284457477,0.0,0.0,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv,0.03138654524097824,0.04442476325080683,-0.027050534289724548,0.09515178739709206,0.5844166575347203,0.48578473139977024,0.7171187486417373,0.6979168242228221,0.0363207765918183,0.05001684468285456,-0.0363207765918183,0.09515178739709206,0.558806359298056,0.07142857142857141,0.7481146235812229,0.6767770180694819,0.025218756052428164,0.03624090419977183,-0.015462731412107368,0.08469264652089145,0.6707376013159229,0.6727043663361241,0.6564981345835441,0.7395017653866672,0.14406878127952027,0.15979548779945013,-0.14406878127952027,0.23110514839354246,0.9332253013372496,0.9106365332780426,0.5739812002219523,0.5605297643379689,0.14406878127952027,0.16010625188843466,-0.14406878127952027,0.24689111903909203,0.9140877930406197,0.8692204022392701,0.5750974566772353,0.5605297643379689
KNN-Impute,30,3,57,KNNimpute_completed_p30_rep03_seed57.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep03_seed57.csv,True,,15,105,27,15,12,0.12618807216923822,scipy.optimize.nnls,1.2142374164,0.5302511779518904,0.6839862384481097,0.5633051899158308,0.3047619047619048,105,32,73,0,missing_p30_rep03_seed57.csv,0.0021936789999017,0.0371877486885352,0.029454320480229,0.8192521261910133,0.7456011730205278,0.0,0.0,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv,0.02833758727486462,0.04398783818173331,-0.025332823646226285,0.12135332244117687,0.6142184496224791,0.673992673992674,0.7100657643182132,0.6301196504797023,0.030237955794769247,0.045553691691332596,-0.030237955794769247,0.10062524653532987,0.5574929276675583,0.6607142857142856,0.6813581130214428,0.5634338104959624,0.025962126624983834,0.04194840592196641,-0.01920140846054757,0.12135332244117687,0.655688528279125,0.6013986013986015,0.7598886077654107,0.7612999797632437,0.14538411237277937,0.162723491592969,-0.14538411237277937,0.24981562616502917,0.9307451549762573,0.8769230769230769,0.5844985130372405,0.5656473354118885,0.14538411237277937,0.16323358263501594,-0.14538411237277937,0.2651937615030912,0.8833189039272383,0.8358905245697698,0.5863307466789315,0.5656473354118885
KNN-Impute,30,4,58,KNNimpute_completed_p30_rep04_seed58.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep04_seed58.csv,True,,15,105,27,15,12,0.11379563301715544,scipy.optimize.nnls,1.2142374164,0.5498865328847078,0.6643508835152923,0.5471342544236328,0.3047619047619048,105,32,73,0,missing_p30_rep04_seed58.csv,0.0025024260103236,0.0317961503592024,0.0233088984078296,0.8620173928905029,0.7606304985337242,0.0,0.0,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv,0.028983777890019453,0.04283807383973922,-0.024605588278344154,0.10317960350367979,0.5992973673039734,0.5721263995828276,0.6915059002732716,0.644488460379259,0.031216905923622616,0.04624302742655711,-0.030953733777030833,0.09951648665463887,0.5220808350027708,0.23928571428571427,0.6916686823376106,0.5816749113537387,0.0261923678480155,0.038156969235068915,-0.016670406404985804,0.10317960350367979,0.651222421216036,0.6584948802380455,0.6912073436716885,0.7680514543618613,0.14346573413058863,0.15990990592929383,-0.14344476666854047,0.23306545139547002,0.9511649921422519,0.9144308521667013,0.5743921871427924,0.5581834831153943,0.1434657341305887,0.16030052195122152,-0.1434447666685405,0.24638523950792152,0.915076336066233,0.8813601492846775,0.5757952696464321,0.5581834831153945
KNN-Impute,30,5,59,KNNimpute_completed_p30_rep05_seed59.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep05_seed59.csv,True,,15,105,27,15,12,0.13652540395583979,scipy.optimize.nnls,1.2142374164,0.5951225750448519,0.6191148413551482,0.5098795614375932,0.3047619047619048,105,32,73,0,missing_p30_rep05_seed59.csv,0.0022606670099776,0.0370019895130576,0.0295963246284039,0.7179873297012657,0.251099706744868,0.0,0.0,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv,0.02293017930944993,0.036036348134117054,-0.02293017930944993,0.11597027028163595,0.8626467588593302,0.8597713296026677,0.5817102667190169,0.509879561437593,0.02242962810964642,0.03359357279696551,-0.02242962810964642,0.0862297914919841,0.941614116152654,0.9714285714285713,0.5024675832133267,0.41793866356572845,0.02355586830920432,0.038874557281287546,-0.02355586830920432,0.11597027028163595,0.855363324582745,0.5510864756971484,0.7042063353951054,0.6907401048512546,0.14527756631406719,0.16380460178074474,-0.14527756631406719,0.2624435100356901,0.9254990810201599,0.8562512958739374,0.5883818324707061,0.5652327956576775,0.14527756631406716,0.16445309340903205,-0.14527756631406716,0.2749860901903818,0.860862003588709,0.7301264772962887,0.5907111973874763,0.5652327956576774
KNN-Impute,30,6,60,KNNimpute_completed_p30_rep06_seed60.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep06_seed60.csv,True,,15,105,27,15,12,0.11587445791021356,scipy.optimize.nnls,1.2142374164,0.5928164415134716,0.6214209748865285,0.5117788057700711,0.3047619047619048,105,32,73,0,missing_p30_rep06_seed60.csv,0.0051183870091335,0.028626590294666,0.0249495953914161,0.9012935396514902,0.8295454545454545,0.0,0.0,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv,0.024337325341526623,0.03646285534377163,-0.023015591662464013,0.11047683235002531,0.8491999021375981,0.7775912165087845,0.5885950826210716,0.5411691118606998,0.02484109564221245,0.03482422832994006,-0.024744076766655305,0.08395829966672069,0.8799862240760293,0.7928571428571427,0.5208748099515821,0.46287233401563405,0.02370761246566935,0.03841296651037362,-0.020854985282224906,0.11047683235002531,0.846947979017737,0.6339764538462033,0.6958446930261526,0.6951897720497363,0.14401124377428406,0.16168572544763804,-0.14401124377428406,0.2475690602066723,0.9513860306621844,0.9069769852788722,0.5807708842671819,0.5603059026243886,0.14401124377428404,0.1620867950896045,-0.14401124377428404,0.2768366809524868,0.9075846211231792,0.7927016379846569,0.5822115158997686,0.5603059026243885
KNN-Impute,30,7,61,KNNimpute_completed_p30_rep07_seed61.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep07_seed61.csv,True,,15,105,27,15,12,0.11146875524457407,scipy.optimize.nnls,1.2142374164,0.5736667583139977,0.6405706580860023,0.527549760396267,0.3047619047619048,105,32,73,0,missing_p30_rep07_seed61.csv,0.0026659770082915,0.026064913849875,0.0209394985035553,0.9284040447425808,0.7844574780058651,0.0,0.0,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv,0.024382322742439313,0.03537694471157193,-0.023724839188370452,0.10809764081531698,0.9138771098409895,0.8934518304061911,0.5710659655990318,0.5421696821019338,0.025854166153499628,0.034824583393523394,-0.025854166153499628,0.0928923362427585,0.9417748430845835,0.9178571428571428,0.5208801207275952,0.4817492112208837,0.0225425184786139,0.036055498580203495,-0.021063180481958984,0.10809764081531698,0.8981054211258646,0.6671046811070743,0.6531395416876007,0.661025158280615,0.14278911900845975,0.15918792337578036,-0.14278911900845975,0.23749392977552247,0.9696027455533529,0.9597242380261248,0.5717988447505149,0.5555509702865492,0.14278911900845978,0.15962160225044134,-0.14278911900845978,0.2559876530450519,0.9305752535903559,0.8562098279079412,0.5733566078914943,0.5555509702865493
KNN-Impute,30,8,62,KNNimpute_completed_p30_rep08_seed62.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep08_seed62.csv,True,,15,105,27,15,12,0.1229903779725932,scipy.optimize.nnls,1.2142374164,0.5852928669192144,0.6289445494807856,0.5179749371794977,0.3047619047619048,105,32,73,0,missing_p30_rep08_seed62.csv,0.0024868439941201,0.029820147265112,0.0263339907577342,0.9365755053587104,0.875733137829912,0.0,0.0,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv,0.02403467770841829,0.03519713365856716,-0.023294242573362427,0.10822093133291055,0.9064590599404371,0.8709884831705131,0.5681633980243944,0.5344393850514635,0.024918101038984803,0.033660921001251384,-0.024731643056073442,0.07997339940279029,0.9530339230102438,0.932142857142857,0.503474927375432,0.4643072009896676,0.022930398545210146,0.03702788120710169,-0.021497491969973664,0.10822093133291055,0.8842055183646595,0.5801630249353875,0.67075409614632,0.6723991528349025,0.14443315474306667,0.16041195874006733,-0.14443315474306667,0.23995990328484312,0.9748240594325908,0.9165560854240099,0.576195547668618,0.5619474356046981,0.14443315474306667,0.1609570690979655,-0.14443315474306667,0.25190988999851466,0.9274796316280915,0.8728592162554426,0.5781535697741764,0.5619474356046981
KNN-Impute,30,9,63,KNNimpute_completed_p30_rep09_seed63.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep09_seed63.csv,True,,15,105,27,15,12,0.10507592021881133,scipy.optimize.nnls,1.2142374164,0.5517665177395773,0.6624708986604227,0.5455859700193824,0.3047619047619048,105,32,73,0,missing_p30_rep09_seed63.csv,0.0056831099936971,0.0282194335885035,0.0208557407201036,0.907458711171812,0.8442082111436948,0.0,0.0,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv,0.026187505324780203,0.03884802377034764,-0.024535959209645283,0.09977144656123049,0.803904922934654,0.8006735126091871,0.6270972348488588,0.5823100443283832,0.029810064893237127,0.04238410187614972,-0.02976939624012304,0.09254970643900477,0.7532863976263,0.6714285714285713,0.6339497547667836,0.555460778100416,0.02165930586420904,0.03391334581884494,-0.017994162921548085,0.09977144656123049,0.8363541355066435,0.7474492959290268,0.6143347899056699,0.6351262881616315,0.1427635928268364,0.15890112497380462,-0.1427635928268364,0.2394705573317733,0.9621764849235418,0.9305618909392495,0.57076867241427,0.5554516553312708,0.14276359282683637,0.1592943104633444,-0.14276359282683637,0.25825539402591235,0.9290850916677521,0.8550590918515446,0.5721809843781669,0.5554516553312707
KNN-Impute,30,10,64,KNNimpute_completed_p30_rep10_seed64.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep10_seed64.csv,True,,15,105,27,15,12,0.09001314697618361,scipy.optimize.nnls,1.2142374164,0.5570605771288604,0.6571768392711397,0.5412259829873742,0.3047619047619048,105,32,73,0,missing_p30_rep10_seed64.csv,0.0026230229996144,0.0275567374928816,0.0213272239990996,0.9245602404771108,0.7708944281524927,0.0,0.0,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv,0.025137670152724247,0.036606953913462026,-0.024339882935968133,0.10136468235518734,0.8784483397234147,0.804029304029304,0.5909211678585785,0.558965721988564,0.02811652054238802,0.037686853623896975,-0.02798337511132693,0.09526981602219284,0.849696249190334,0.6642857142857141,0.5636918220566416,0.5239044072491865,0.021414107165644538,0.03521053462053584,-0.01978551771676964,0.10136468235518734,0.9257092283401694,0.6573426573426573,0.637833155835461,0.6279362082829095,0.14287031430919955,0.15916326140274245,-0.14287031430919955,0.2499705139380186,0.9518236594084029,0.9249015135807588,0.5717102595903263,0.555866877607933,0.14287031430919958,0.1594133345711592,-0.14287031430919958,0.2665747615068969,0.9291903694360049,0.8777835372174995,0.5726085158510493,0.5558668776079331
