,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,0.06099312062610672,0.1533787068546427,0.1527297018278982,0.1383128402765033,0.1419554530557747,0.1435863158534362,0.1373119844735565,0.1407330986770239,0.03727891608488414,0.1329065163072468,0.1403957382039573,0.1388138506876227,0.1376624969340201,0.1426830011580423
T2,0.06099312062610672,0.0,0.06265148729555284,0.0739301972685887,0.1531100478468899,0.060289959407192506,0.1528472137544202,0.151568687176363,0.1559264222195151,0.08609304716018037,0.1513702409416958,0.1523797885990102,0.1515674077723717,0.1520963973933358,0.14655206626052442
T3,0.1533787068546427,0.06265148729555284,0.0,0.0787163184983348,0.153926188873248,0.012666808344607598,0.1542759961127308,0.1501973883996356,0.08298251775185886,0.1550665613032642,0.1511407425530613,0.1414610184952131,0.1449243001507325,0.1305147861704571,0.1537663921927416
T4,0.1527297018278982,0.0739301972685887,0.0787163184983348,0.0,0.1530088062622309,0.061110472585944445,0.07494599595805466,0.1529261777561923,0.1557187955318115,0.154056517775752,0.11181715645405424,0.11227387818794896,0.1509793086510714,0.1509225770857598,0.07631508999119566
T5,0.1383128402765033,0.1531100478468899,0.153926188873248,0.1530088062622309,0.0,0.122750496256849,0.1241590214067278,0.1198875099345845,0.1206527718354623,0.09930087874966023,0.0346280688897031,0.029029658460301505,0.013900906142383231,0.028177550012708632,0.0521170648255636
T6,0.1419554530557747,0.060289959407192506,0.012666808344607598,0.061110472585944445,0.122750496256849,0.0,0.1244840980820587,0.1115153720211024,0.066986897779187,0.1228304405874499,0.1180458015267175,0.1209962245767872,0.1190081630147916,0.1178777110648204,0.1225570776255707
T7,0.1435863158534362,0.1528472137544202,0.1542759961127308,0.07494599595805466,0.1241590214067278,0.1244840980820587,0.0,0.1260626669905271,0.1230955993930197,0.1197473888753947,0.1221583964800782,0.1247028707259096,0.1231648135634867,0.1229081100962422,0.04954371621175556
T8,0.1373119844735565,0.151568687176363,0.1501973883996356,0.1529261777561923,0.1198875099345845,0.1115153720211024,0.1260626669905271,0.0,0.1109628910987145,0.06466003768472225,0.1175320708613317,0.1195519844168492,0.1185348794404564,0.119330718313312,0.1199293458399317
T9,0.1407330986770239,0.1559264222195151,0.08298251775185886,0.1557187955318115,0.1206527718354623,0.066986897779187,0.1230955993930197,0.1109628910987145,0.0,0.10187615124232478,0.1174494594759665,0.1194884287454324,0.1162747866658481,0.1177696078431372,0.1202801461632155
T10,0.03727891608488414,0.08609304716018037,0.1550665613032642,0.154056517775752,0.09930087874966023,0.1228304405874499,0.1197473888753947,0.06466003768472225,0.10187615124232478,0.0,0.1240295861605232,0.1256247714250883,0.09632923450474648,0.1244787834191807,0.11639020113330133
T11,0.1329065163072468,0.1513702409416958,0.1511407425530613,0.11181715645405424,0.0346280688897031,0.1180458015267175,0.1221583964800782,0.1175320708613317,0.1174494594759665,0.1240295861605232,0.0,0.0118732987442181,0.038272515050989,0.0382707733757883,0.03197590801222766
T12,0.1403957382039573,0.1523797885990102,0.1414610184952131,0.11227387818794896,0.029029658460301505,0.1209962245767872,0.1247028707259096,0.1195519844168492,0.1194884287454324,0.1256247714250883,0.0118732987442181,0.0,0.03148136031940889,0.0404875658458899,0.03262199679907611
T13,0.1388138506876227,0.1515674077723717,0.1449243001507325,0.1509793086510714,0.013900906142383231,0.1190081630147916,0.1231648135634867,0.1185348794404564,0.1162747866658481,0.09632923450474648,0.038272515050989,0.03148136031940889,0.0,0.0384922830965996,0.0508172545164065
T14,0.1376624969340201,0.1520963973933358,0.1305147861704571,0.1509225770857598,0.028177550012708632,0.1178777110648204,0.1229081100962422,0.119330718313312,0.1177696078431372,0.1244787834191807,0.0382707733757883,0.0404875658458899,0.0384922830965996,0.0,0.0527992159745191
T15,0.1426830011580423,0.14655206626052442,0.1537663921927416,0.07631508999119566,0.0521170648255636,0.1225570776255707,0.04954371621175556,0.1199293458399317,0.1202801461632155,0.11639020113330133,0.03197590801222766,0.03262199679907611,0.0508172545164065,0.0527992159745191,0.0
