,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,-1.0,0.1533787068546427,0.1527297018278982,-1.0,0.1419554530557747,0.1435863158534362,-1.0,-1.0,-1.0,-1.0,0.1403957382039573,-1.0,0.1376624969340201,0.1426830011580423
T2,-1.0,0.0,-1.0,0.0739301972685887,0.1531100478468899,-1.0,0.1528472137544202,-1.0,-1.0,-1.0,0.1513702409416958,0.1523797885990102,0.1515674077723717,0.1520963973933358,-1.0
T3,0.1533787068546427,-1.0,0.0,0.0787163184983348,0.153926188873248,-1.0,0.1542759961127308,0.1501973883996356,-1.0,0.1550665613032642,0.1511407425530613,-1.0,-1.0,-1.0,0.1537663921927416
T4,0.1527297018278982,0.0739301972685887,0.0787163184983348,0.0,0.1530088062622309,-1.0,-1.0,0.1529261777561923,0.1557187955318115,0.154056517775752,-1.0,-1.0,0.1509793086510714,0.1509225770857598,-1.0
T5,-1.0,0.1531100478468899,0.153926188873248,0.1530088062622309,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0521170648255636
T6,0.1419554530557747,-1.0,-1.0,-1.0,-1.0,0.0,0.1244840980820587,0.1115153720211024,-1.0,0.1228304405874499,0.1180458015267175,0.1209962245767872,0.1190081630147916,0.1178777110648204,-1.0
T7,0.1435863158534362,0.1528472137544202,0.1542759961127308,-1.0,-1.0,0.1244840980820587,0.0,0.1260626669905271,-1.0,0.1197473888753947,0.1221583964800782,-1.0,0.1231648135634867,0.1229081100962422,-1.0
T8,-1.0,-1.0,0.1501973883996356,0.1529261777561923,-1.0,0.1115153720211024,0.1260626669905271,0.0,0.1109628910987145,-1.0,-1.0,0.1195519844168492,-1.0,0.119330718313312,0.1199293458399317
T9,-1.0,-1.0,-1.0,0.1557187955318115,-1.0,-1.0,-1.0,0.1109628910987145,0.0,-1.0,-1.0,-1.0,0.1162747866658481,0.1177696078431372,0.1202801461632155
T10,-1.0,-1.0,0.1550665613032642,0.154056517775752,-1.0,0.1228304405874499,0.1197473888753947,-1.0,-1.0,0.0,0.1240295861605232,0.1256247714250883,-1.0,0.1244787834191807,-1.0
T11,-1.0,0.1513702409416958,0.1511407425530613,-1.0,-1.0,0.1180458015267175,0.1221583964800782,-1.0,-1.0,0.1240295861605232,0.0,-1.0,0.038272515050989,0.0382707733757883,-1.0
T12,0.1403957382039573,0.1523797885990102,-1.0,-1.0,-1.0,0.1209962245767872,-1.0,0.1195519844168492,-1.0,0.1256247714250883,-1.0,0.0,-1.0,-1.0,-1.0
T13,-1.0,0.1515674077723717,-1.0,0.1509793086510714,-1.0,0.1190081630147916,0.1231648135634867,-1.0,0.1162747866658481,-1.0,0.038272515050989,-1.0,0.0,-1.0,0.0508172545164065
T14,0.1376624969340201,0.1520963973933358,-1.0,0.1509225770857598,-1.0,0.1178777110648204,0.1229081100962422,0.119330718313312,0.1177696078431372,0.1244787834191807,0.0382707733757883,-1.0,-1.0,0.0,-1.0
T15,0.1426830011580423,-1.0,0.1537663921927416,-1.0,0.0521170648255636,-1.0,-1.0,0.1199293458399317,0.1202801461632155,-1.0,-1.0,-1.0,0.0508172545164065,-1.0,0.0
