method,pct_missing,frac_missing_requested,missingness_actual,replicate,mask_seed,n_pairs_total,n_missing,n_observed,optimized_variables,success,success_numerical,success_valid_matrix,error_message,masked_file,completed_file,runtime_seconds,Delta_total_completed,Delta_normalized_completed,Delta_per_triangle_completed,Delta_relative_to_original,Delta_original,Delta_normalized_original,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,max_abs_error_observed,mean_abs_error_observed,iters_used,epochs_used,convergence_epoch,final_rank,last_rel_change,last_singular_values_json,lrmc_config_json
LRMC-SoftImpute,30,0.3,0.3047619047619048,1,55,105,32,73,32,True,True,True,,missing_p30_rep01_seed55.csv,LRMC_SoftImpute_completed_p30_rep01_seed55.csv,0.040368800997384824,597.700559334113,0.11860867255313431,1.3136276029321166,10.212921165298596,58.523957020737264,0.022445654481427994,0.04460902869417363,0.03743023518932305,0.7803654032894177,0.7166422287390029,0.0,0.0,1066,1066,1066,9,9.955031040912537e-08,"[1.5605931534033783, 0.45007552600969464, 0.2856426336697309, 0.225932927643779, 0.19773939052776845, 0.138728625575707, 0.12440374248465084, 0.05879796729147728, 0.04685457107461681, 0.017833363991253667]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300001}"
LRMC-SoftImpute,30,0.3,0.3047619047619048,2,56,105,32,73,32,True,True,True,,missing_p30_rep02_seed56.csv,LRMC_SoftImpute_completed_p30_rep02_seed56.csv,0.029020924994256347,855.8052308494734,0.12446638480169017,1.88089061725159,14.62316074332139,58.523957020737264,0.022445654481427994,0.04925749350096069,0.04261564005985741,0.61495589250026,0.6132697947214075,0.0,0.0,768,768,768,10,9.994607131902787e-08,"[1.5387891374682043, 0.42894140510633655, 0.35205850767886276, 0.25891871943237843, 0.20391695779555746, 0.10614866231808122, 0.06949421890963998, 0.05228081401340676, 0.037104894664955604, 0.023623467122898752]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300002}"
LRMC-SoftImpute,30,0.3,0.3047619047619048,3,57,105,32,73,32,True,True,True,,missing_p30_rep03_seed57.csv,LRMC_SoftImpute_completed_p30_rep03_seed57.csv,0.023771460007992573,845.7462009496621,0.12769959864426073,1.8587828592300266,14.451281902383704,58.523957020737264,0.022445654481427994,0.05188999741607572,0.04458497877520157,0.716644650964273,0.4175219941348973,0.0,0.0,585,585,585,9,9.853128751090262e-08,"[1.520797283571019, 0.4514931075046408, 0.36816584322757906, 0.23557318980920872, 0.17582635314368414, 0.1041623131553014, 0.06138385787875918, 0.05954687297416079, 0.03521711206938591, 0.019575990254892327]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300003}"
LRMC-SoftImpute,30,0.3,0.3047619047619048,4,58,105,32,73,32,True,True,True,,missing_p30_rep04_seed58.csv,LRMC_SoftImpute_completed_p30_rep04_seed58.csv,0.025622922999900766,722.4674800387378,0.11838889562747282,1.5878406154697533,12.344815983354305,58.523957020737264,0.022445654481427994,0.04897185509681144,0.040748092396238014,0.5830151050605148,0.4787390029325513,0.0,0.0,623,623,623,9,9.89127702431889e-08,"[1.56202742432386, 0.45916534742712817, 0.27050887149965086, 0.22683999726476903, 0.1752900419434914, 0.15533706419272425, 0.10420415630165324, 0.07954033198642604, 0.05694627643620784, 0.01952243067559307]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300004}"
LRMC-SoftImpute,30,0.3,0.3047619047619048,5,59,105,32,73,32,True,True,True,,missing_p30_rep05_seed59.csv,LRMC_SoftImpute_completed_p30_rep05_seed59.csv,0.01674166799057275,824.706613654155,0.14193241390777492,1.8125420080311099,14.091778062134967,58.523957020737264,0.022445654481427994,0.05662429334890438,0.046511183867201,0.42126317087221915,0.08247800586510264,0.0,0.0,396,396,396,9,9.923006473990607e-08,"[1.5064209199294047, 0.5038587575461863, 0.3196143866934362, 0.1841811081877442, 0.16042298970217275, 0.13123229776399767, 0.07542834062324158, 0.055273701471508195, 0.04271060587205016, 0.017507955319344657]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300005}"
LRMC-SoftImpute,30,0.3,0.3047619047619048,6,60,105,32,73,32,True,True,True,,missing_p30_rep06_seed60.csv,LRMC_SoftImpute_completed_p30_rep06_seed60.csv,0.0916128170065349,763.7442730410521,0.13194631145865973,1.6785588418484663,13.05011335392835,58.523957020737264,0.022445654481427994,0.05226017418305724,0.043021714530874375,0.5213970063408129,0.5168621700879765,0.0,0.0,2385,2385,2385,10,9.983155189742406e-08,"[1.5424502210528723, 0.4314984862372442, 0.3158044765091362, 0.2370470295540529, 0.1866840883765618, 0.1309077190817143, 0.10430628345390566, 0.06858685385484611, 0.030132771225221237, 0.02191769472733829]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300006}"
LRMC-SoftImpute,30,0.3,0.3047619047619048,7,61,105,32,73,32,True,True,True,,missing_p30_rep07_seed61.csv,LRMC_SoftImpute_completed_p30_rep07_seed61.csv,0.025905653994414024,680.0907675027504,0.11329724737077823,1.4947049835225283,11.620724266162801,58.523957020737264,0.022445654481427994,0.043011488622524026,0.03479804649626869,0.7661092383346751,0.6370967741935483,0.0,0.0,688,688,688,9,9.926902085594615e-08,"[1.5627749319284725, 0.4981645287691055, 0.27893334303907064, 0.21608854362943414, 0.19827628786008591, 0.14339752818678453, 0.12144261251736124, 0.03822036286391049, 0.025789960668801397, 0.018748526011777334]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300007}"
LRMC-SoftImpute,30,0.3,0.3047619047619048,8,62,105,32,73,32,True,True,True,,missing_p30_rep08_seed62.csv,LRMC_SoftImpute_completed_p30_rep08_seed62.csv,0.024708869008463807,650.6400364324983,0.12199700952089278,1.4299781020494469,11.117499047474725,58.523957020737264,0.022445654481427994,0.04707371970312856,0.039788418150537706,0.7054368060769621,0.7353372434017594,0.0,0.0,567,567,567,9,9.924595471850695e-08,"[1.564213822241048, 0.4441115950180179, 0.2964858971670609, 0.23685463531714307, 0.187203826168842, 0.1561107728655174, 0.10955643890516184, 0.07170665108986238, 0.030090469718987437, 0.019124621248196454]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300008}"
LRMC-SoftImpute,30,0.3,0.3047619047619048,9,63,105,32,73,32,True,True,True,,missing_p30_rep09_seed63.csv,LRMC_SoftImpute_completed_p30_rep09_seed63.csv,0.018111874000169337,651.8993936510276,0.11946767519727787,1.4327459201121486,11.139017708936443,58.523957020737264,0.022445654481427994,0.042235609830604856,0.03315314441066032,0.8067356406796458,0.7928885630498532,0.0,0.0,481,481,481,9,9.928610638153137e-08,"[1.5711842321516443, 0.49044876650191993, 0.35914865773619503, 0.23016745517464432, 0.169352740996255, 0.1238739030701618, 0.06690272683136332, 0.05088763946145339, 0.03907319461821134, 0.0188051014460186]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300009}"
LRMC-SoftImpute,30,0.3,0.3047619047619048,10,64,105,32,73,32,True,True,True,,missing_p30_rep10_seed64.csv,LRMC_SoftImpute_completed_p30_rep10_seed64.csv,0.018517566000809893,911.5133181341265,0.13235661298694082,2.0033259739211573,15.575045921982731,58.523957020737264,0.022445654481427994,0.05500952040964499,0.04527784624803771,0.4684117733640692,0.374266862170088,0.0,0.0,516,516,516,9,9.85898035127588e-08,"[1.544675791618473, 0.4720854168902809, 0.30980199687746507, 0.21353452531333525, 0.1852559373023528, 0.13485974209322896, 0.10418456409632863, 0.06129244414323697, 0.03328717362138427, 0.018005975862569013]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300010}"
