method,pct_missing,replicate,mask_seed,file,path,success,error_message,n_taxa,n_pairs,n_edges,n_terminal_edges,n_internal_edges,nnls_rnorm,branch_fit_solver,tree_length_ref,tree_length_hat,tree_length_abs_error,tree_length_rel_error,edge_BL_MAE,edge_BL_RMSE,edge_BL_Bias,edge_BL_MaxAE,edge_BL_Pearson,edge_BL_Spearman,edge_BL_rel_RMSE,edge_BL_rel_MAE,terminal_BL_MAE,terminal_BL_RMSE,terminal_BL_Bias,terminal_BL_MaxAE,terminal_BL_Pearson,terminal_BL_Spearman,terminal_BL_rel_RMSE,terminal_BL_rel_MAE,internal_BL_MAE,internal_BL_RMSE,internal_BL_Bias,internal_BL_MaxAE,internal_BL_Pearson,internal_BL_Spearman,internal_BL_rel_RMSE,internal_BL_rel_MAE,fit_pat_MAE,fit_pat_RMSE,fit_pat_Bias,fit_pat_MaxAE,fit_pat_Pearson,fit_pat_Spearman,fit_pat_rel_RMSE,fit_pat_rel_MAE,input_vs_ML_pat_MAE,input_vs_ML_pat_RMSE,input_vs_ML_pat_Bias,input_vs_ML_pat_MaxAE,input_vs_ML_pat_Pearson,input_vs_ML_pat_Spearman,input_vs_ML_pat_rel_RMSE,input_vs_ML_pat_rel_MAE
LRMC-SoftImpute,30,1,55,LRMC_SoftImpute_completed_p30_rep01_seed55.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep01_seed55.csv,True,,15,105,27,15,12,0.19536707419083946,scipy.optimize.nnls,1.2142374164,0.5890388037405168,0.6251986126594833,0.5148899253270312,0.023886413782284094,0.03497323884290028,-0.023155504172573452,0.10282946716837262,0.9031682597832652,0.8249313382998134,0.5645492162417715,0.5311425619165845,0.024290142023785967,0.033844639643994125,-0.0241453174757286,0.08670866274998693,0.9325647348884993,0.9035714285714285,0.506222853681696,0.452606233398797,0.023381753480406758,0.03633472427755523,-0.021918237543629523,0.10282946716837262,0.9056741099411916,0.42548570530695334,0.658197670161127,0.6856344516220424,0.14752550550012714,0.16541105907001422,-0.14751347098084344,0.24807863173098835,0.9455205468265102,0.8723512336719884,0.5941521849111795,0.5739788738226865,0.1475255055001271,0.1666491540934601,-0.1475134709808434,0.3233745112488746,0.8242625468476671,0.7444536595479991,0.5985993897561509,0.5739788738226864
LRMC-SoftImpute,30,2,56,LRMC_SoftImpute_completed_p30_rep02_seed56.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep02_seed56.csv,True,,15,105,27,15,12,0.19133403888966158,scipy.optimize.nnls,1.2142374164,0.5184209439875027,0.6958164724124973,0.5730481230560911,0.029588167832204856,0.0450349228281288,-0.025770980459722124,0.12080494270507744,0.5348965892189643,0.5976772497712718,0.7269681398493079,0.6579277830509219,0.03113702391363631,0.04541190749321586,-0.031117234678007127,0.09049930826643653,0.6541460390260633,0.6749999999999999,0.6792374108324815,0.5801864434962506,0.027652097730415538,0.04455920711917368,-0.019088162686865865,0.12080494270507744,0.3739339559354766,0.6015187191047882,0.8071828503783157,0.8108558188110175,0.14879522904777742,0.16697203926820267,-0.14879522904777742,0.25240509240398745,0.9083799290437691,0.8259900476881609,0.5997591848335013,0.578918999189319,0.14879522904777745,0.168132196572112,-0.14879522904777745,0.29990156560089476,0.8019218917884838,0.7066970765083972,0.6039264394344566,0.5789189991893191
LRMC-SoftImpute,30,3,57,LRMC_SoftImpute_completed_p30_rep03_seed57.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep03_seed57.csv,True,,15,105,27,15,12,0.20222838508991747,scipy.optimize.nnls,1.2142374164,0.5294410335471736,0.6847963828528264,0.5639723941987614,0.0277520079508541,0.042829072935097204,-0.02536282899454913,0.12446131769240852,0.7000790695596495,0.7489311110269543,0.6913606047893749,0.6170986040725179,0.02757356288597838,0.04184035357893644,-0.02757356288597838,0.10766738545030671,0.7660521298350791,0.8714285714285712,0.6258167736626778,0.5137872980317122,0.027975064281948736,0.04403376391550803,-0.02259941163026256,0.12446131769240852,0.6303282256635642,0.37324869205811934,0.7976645314882954,0.8203263230073039,0.14998812391002406,0.1680947009707194,-0.14998812391002406,0.2644927372193864,0.9075309739937946,0.8335579514824797,0.6037917562178856,0.5835602064659862,0.14998812391002406,0.16935864106015402,-0.14998812391002406,0.285263970761845,0.7912080600250258,0.724466099937798,0.6083317958618887,0.5835602064659862
LRMC-SoftImpute,30,4,58,LRMC_SoftImpute_completed_p30_rep04_seed58.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep04_seed58.csv,True,,15,105,27,15,12,0.2305175820055674,scipy.optimize.nnls,1.2142374164,0.6282118820165483,0.5860255343834517,0.4826284600263054,0.022305922705402367,0.03520102463736554,-0.021704649421609323,0.11011060045043979,0.8464521802353911,0.8419453431560524,0.5682262074496498,0.49599848012545883,0.020478743784043484,0.032051052573195474,-0.01939645187321602,0.08681376058381039,0.9090525632727791,0.9428571428571427,0.47939571724718505,0.3815871920287056,0.024589896357100946,0.03878034091016685,-0.024589896357100946,0.11011060045043979,0.9406959937948178,0.46270670700368327,0.7024996210276322,0.7210614087763647,0.14760969986356068,0.16607773388563166,-0.14760549983743582,0.25202474902950817,0.9513376753393261,0.84722164627825,0.5965468633598356,0.5743064496255416,0.14760549983743582,0.1677376906671489,-0.14760549983743582,0.3106371582632167,0.7816910641195333,0.7269956458635704,0.6025093845729979,0.5742901085443366
LRMC-SoftImpute,30,5,59,LRMC_SoftImpute_completed_p30_rep05_seed59.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep05_seed59.csv,True,,15,105,27,15,12,0.22117015880270097,scipy.optimize.nnls,1.2142374164,0.5658992509187264,0.6483381654812737,0.5339467856323206,0.02401252464745458,0.03877761746258938,-0.02401252464745458,0.12538006641490784,0.7947744484624923,0.8352195633632299,0.6259607136921552,0.5339467856323207,0.023761263549261846,0.03599756108936761,-0.023761263549261846,0.09347935380943445,0.8713276059981873,0.9178571428571428,0.5384246454364173,0.44275146622429223,0.024326601020195498,0.04199467383716799,-0.024326601020195498,0.12538006641490784,0.7892531335502462,0.6121965661894887,0.7607267435871184,0.7133406724301757,0.15050143824858417,0.1703127266578391,-0.15050143824858417,0.2781922094501608,0.8700320243771763,0.7561061579929503,0.6117588463000152,0.5855573633980362,0.15050143824858417,0.17184567225049208,-0.15050143824858417,0.3127235627105991,0.7231379966973328,0.6684739788513374,0.6172651466546923,0.5855573633980362
LRMC-SoftImpute,30,6,60,LRMC_SoftImpute_completed_p30_rep06_seed60.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep06_seed60.csv,True,,15,105,27,15,12,0.22979973649672802,scipy.optimize.nnls,1.2142374164,0.5979359519412593,0.6163014644587408,0.5075625706593411,0.023526563389497785,0.03719931212226704,-0.022825980165138548,0.11778425315523534,0.8049553921521148,0.8144557467033818,0.6004832036773783,0.5231408643292736,0.02262548308044776,0.033949866580230324,-0.021862302019444693,0.08991677181541535,0.8529124234393057,0.9107142857142855,0.5077967596386213,0.42158809387947555,0.024652913775810307,0.04089967052816989,-0.024030577847255864,0.11778425315523534,0.8781444503000285,0.7118564723133589,0.7408909352486337,0.7229092989850967,0.14895206212075324,0.16830315875259477,-0.14882771723494992,0.2694146401913562,0.9027121031543204,0.7917478747667427,0.6045405311018585,0.5795291911035892,0.1489565034326491,0.16990999055772021,-0.1489565034326491,0.32123013975829934,0.7422372105602141,0.6501866058469831,0.6103122287934618,0.5795464709576161
LRMC-SoftImpute,30,7,61,LRMC_SoftImpute_completed_p30_rep07_seed61.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep07_seed61.csv,True,,15,105,27,15,12,0.19388291058073617,scipy.optimize.nnls,1.2142374164,0.5584357977115163,0.6558016186884837,0.540093403341844,0.024656479787051218,0.03774521179252292,-0.0242889488403142,0.1175975522268642,0.865539322453881,0.9223489834066122,0.6092952908956647,0.5482658870982086,0.02661540740813088,0.0369603642931258,-0.02661540740813088,0.10397166030581706,0.8917871103571713,0.9249999999999998,0.552825536994642,0.49593367076949546,0.022207820260701644,0.03870389668999385,-0.02138087563054336,0.1175975522268642,0.861389006046393,0.7759235548215613,0.7011148463082536,0.6512106407642345,0.1468510097831809,0.16438287824260228,-0.1468510097831809,0.26208162567722604,0.9498742900363476,0.9031204644412192,0.5904589863516321,0.5713546069835488,0.14685100978318089,0.1655549413408938,-0.14685100978318089,0.3141457986322204,0.8362590010378724,0.7709620568111134,0.5946690062536805,0.5713546069835487
LRMC-SoftImpute,30,8,62,LRMC_SoftImpute_completed_p30_rep08_seed62.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep08_seed62.csv,True,,15,105,27,15,12,0.20879049754522966,scipy.optimize.nnls,1.2142374164,0.6000856183174863,0.6141517980825137,0.5057921867564957,0.023940112044278945,0.03627483258652366,-0.022746362891944955,0.10671250245978361,0.8567625982628391,0.8472817707947681,0.5855599590879962,0.532336606058429,0.022585516098342386,0.033605572237759375,-0.021954614177832475,0.08129969138811013,0.9088309443303253,0.9714285714285713,0.5026470618907525,0.4208433759106256,0.025633356976699644,0.03935765137011656,-0.02373604878458554,0.10671250245978361,0.9330615844942203,0.4929699706427992,0.712957506899998,0.7516593085578016,0.14785124901731425,0.1646133209340975,-0.1477992835860031,0.24973978248933731,0.9704350809012423,0.9147625958946713,0.5912867304542241,0.5752462471932522,0.14796314809629452,0.1659836805707503,-0.14779928358600314,0.29207708479050976,0.8408282585313057,0.8184014099108439,0.5962090263201052,0.5756816139938413
LRMC-SoftImpute,30,9,63,LRMC_SoftImpute_completed_p30_rep09_seed63.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep09_seed63.csv,True,,15,105,27,15,12,0.19022208455860018,scipy.optimize.nnls,1.2142374164,0.5615229514364827,0.6527144649635174,0.5375509403249167,0.024275548913839526,0.03520828455838643,-0.024174609813463605,0.09724849010479517,0.9345585490940245,0.8902997814016957,0.5683433994186501,0.5397954401841205,0.02694145920504472,0.03674519098158571,-0.026759768824368067,0.09278827868199767,0.9494048168114956,0.8964285714285712,0.5496071352344303,0.5020091015162392,0.020943161049833032,0.03318721294615129,-0.020943161049833032,0.09724849010479517,0.9318753351669241,0.6904811884367226,0.6011810100287823,0.6141264278432803,0.14644932187250304,0.1627723464154337,-0.14644932187250304,0.24493841065396915,0.9631148097760028,0.8875388762181214,0.5846739982779133,0.5697917560458926,0.14644932187250306,0.16398269948552335,-0.14644932187250306,0.2809835648222097,0.8601301245402798,0.7744349989633008,0.5890215547541906,0.5697917560458927
LRMC-SoftImpute,30,10,64,LRMC_SoftImpute_completed_p30_rep10_seed64.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep10_seed64.csv,True,,15,105,27,15,12,0.23266272855909378,scipy.optimize.nnls,1.2142374164,0.5894277383890061,0.624809678010994,0.5145696134644282,0.025686226445077787,0.043231422162332035,-0.023141099185592373,0.1544494817,0.5228023670967448,0.6650395126844105,0.6978554548063048,0.571163517653153,0.024513210643693155,0.03740122061359516,-0.022748823617259842,0.1133323243218824,0.7405310162021407,0.825,0.5594195367227855,0.45676274461831945,0.02715249619680857,0.04956396433565893,-0.023631443646008027,0.1544494817,0.1455210149046402,0.3695007440823542,0.8978432201790997,0.7962057617136665,0.14855977734573003,0.16817622843538102,-0.14834073770501055,0.288526433713159,0.883641576197384,0.8371760315156541,0.6040846007322204,0.5780029250343948,0.14913826200146785,0.1700472801158814,-0.14834073770501055,0.3504794512720553,0.7152796197870498,0.6655504872486003,0.6108053692848266,0.5802536407333408
