method,pct_missing,replicate,mask_seed,file,path,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,runtime_seconds,success,success_numerical,success_valid_matrix,iters_used,epochs_used,convergence_epoch,final_rank,Delta_normalized_completed,Delta_relative_to_original,max_abs_error_observed,mean_abs_error_observed,masked_file,completed_file,error_message
LRMC-SoftImpute,30,1,55,LRMC_SoftImpute_completed_p30_rep01_seed55.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep01_seed55.csv,0.3047619047619048,105,32,73,32,0.0446090286941736,0.037430235189323,0.7803654032894177,0.7166422287390029,0.0403688009973848,True,True,True,1066,1066,1066,9,0.1186086725531343,10.212921165298596,0.0,0.0,missing_p30_rep01_seed55.csv,LRMC_SoftImpute_completed_p30_rep01_seed55.csv,
LRMC-SoftImpute,30,2,56,LRMC_SoftImpute_completed_p30_rep02_seed56.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep02_seed56.csv,0.3047619047619048,105,32,73,32,0.0492574935009606,0.0426156400598574,0.61495589250026,0.6132697947214075,0.0290209249942563,True,True,True,768,768,768,10,0.1244663848016901,14.62316074332139,0.0,0.0,missing_p30_rep02_seed56.csv,LRMC_SoftImpute_completed_p30_rep02_seed56.csv,
LRMC-SoftImpute,30,3,57,LRMC_SoftImpute_completed_p30_rep03_seed57.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep03_seed57.csv,0.3047619047619048,105,32,73,32,0.0518899974160757,0.0445849787752015,0.716644650964273,0.4175219941348973,0.0237714600079925,True,True,True,585,585,585,9,0.1276995986442607,14.451281902383704,0.0,0.0,missing_p30_rep03_seed57.csv,LRMC_SoftImpute_completed_p30_rep03_seed57.csv,
LRMC-SoftImpute,30,4,58,LRMC_SoftImpute_completed_p30_rep04_seed58.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep04_seed58.csv,0.3047619047619048,105,32,73,32,0.0489718550968114,0.040748092396238,0.5830151050605148,0.4787390029325513,0.0256229229999007,True,True,True,623,623,623,9,0.1183888956274728,12.344815983354303,0.0,0.0,missing_p30_rep04_seed58.csv,LRMC_SoftImpute_completed_p30_rep04_seed58.csv,
LRMC-SoftImpute,30,5,59,LRMC_SoftImpute_completed_p30_rep05_seed59.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep05_seed59.csv,0.3047619047619048,105,32,73,32,0.0566242933489043,0.046511183867201,0.4212631708722191,0.0824780058651026,0.0167416679905727,True,True,True,396,396,396,9,0.1419324139077749,14.091778062134969,0.0,0.0,missing_p30_rep05_seed59.csv,LRMC_SoftImpute_completed_p30_rep05_seed59.csv,
LRMC-SoftImpute,30,6,60,LRMC_SoftImpute_completed_p30_rep06_seed60.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep06_seed60.csv,0.3047619047619048,105,32,73,32,0.0522601741830572,0.0430217145308743,0.5213970063408129,0.5168621700879765,0.0916128170065349,True,True,True,2385,2385,2385,10,0.1319463114586597,13.05011335392835,0.0,0.0,missing_p30_rep06_seed60.csv,LRMC_SoftImpute_completed_p30_rep06_seed60.csv,
LRMC-SoftImpute,30,7,61,LRMC_SoftImpute_completed_p30_rep07_seed61.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep07_seed61.csv,0.3047619047619048,105,32,73,32,0.043011488622524,0.0347980464962686,0.7661092383346751,0.6370967741935483,0.025905653994414,True,True,True,688,688,688,9,0.1132972473707782,11.6207242661628,0.0,0.0,missing_p30_rep07_seed61.csv,LRMC_SoftImpute_completed_p30_rep07_seed61.csv,
LRMC-SoftImpute,30,8,62,LRMC_SoftImpute_completed_p30_rep08_seed62.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep08_seed62.csv,0.3047619047619048,105,32,73,32,0.0470737197031285,0.0397884181505377,0.7054368060769621,0.7353372434017594,0.0247088690084638,True,True,True,567,567,567,9,0.1219970095208927,11.117499047474723,0.0,0.0,missing_p30_rep08_seed62.csv,LRMC_SoftImpute_completed_p30_rep08_seed62.csv,
LRMC-SoftImpute,30,9,63,LRMC_SoftImpute_completed_p30_rep09_seed63.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep09_seed63.csv,0.3047619047619048,105,32,73,32,0.0422356098306048,0.0331531444106603,0.8067356406796458,0.7928885630498532,0.0181118740001693,True,True,True,481,481,481,9,0.1194676751972778,11.139017708936445,0.0,0.0,missing_p30_rep09_seed63.csv,LRMC_SoftImpute_completed_p30_rep09_seed63.csv,
LRMC-SoftImpute,30,10,64,LRMC_SoftImpute_completed_p30_rep10_seed64.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep10_seed64.csv,0.3047619047619048,105,32,73,32,0.0550095204096449,0.0452778462480377,0.4684117733640692,0.374266862170088,0.0185175660008098,True,True,True,516,516,516,9,0.1323566129869408,15.575045921982731,0.0,0.0,missing_p30_rep10_seed64.csv,LRMC_SoftImpute_completed_p30_rep10_seed64.csv,
LRMC-SoftImpute,30,11,65,LRMC_SoftImpute_completed_p30_rep11_seed65.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep11_seed65.csv,0.3047619047619048,105,32,73,32,0.0459300737465555,0.0363386018068682,0.6647299125042846,0.470307917888563,0.0280209379998268,True,True,True,703,703,703,10,0.1363422187428912,17.57016963990956,0.0,0.0,missing_p30_rep11_seed65.csv,LRMC_SoftImpute_completed_p30_rep11_seed65.csv,
LRMC-SoftImpute,30,12,66,LRMC_SoftImpute_completed_p30_rep12_seed66.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep12_seed66.csv,0.3047619047619048,105,32,73,32,0.0515002808818053,0.0395192341017417,0.5236240162405371,0.4171554252199413,0.0144046930072363,True,True,True,368,368,368,9,0.1255590828752736,14.02220795082482,0.0,0.0,missing_p30_rep12_seed66.csv,LRMC_SoftImpute_completed_p30_rep12_seed66.csv,
LRMC-SoftImpute,30,13,67,LRMC_SoftImpute_completed_p30_rep13_seed67.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep13_seed67.csv,0.3047619047619048,105,32,73,32,0.0485470241562716,0.0434828011462931,0.7150720147548817,0.7305718475073313,0.0219451239972841,True,True,True,531,531,531,9,0.130771126441568,17.279922493650282,0.0,0.0,missing_p30_rep13_seed67.csv,LRMC_SoftImpute_completed_p30_rep13_seed67.csv,
LRMC-SoftImpute,30,14,68,LRMC_SoftImpute_completed_p30_rep14_seed68.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep14_seed68.csv,0.3047619047619048,105,32,73,32,0.0529767713181393,0.039703386757881,0.5830281041887408,0.4505131964809383,0.0122991419921163,True,True,True,340,340,340,9,0.1442742257637208,18.56161148014628,0.0,0.0,missing_p30_rep14_seed68.csv,LRMC_SoftImpute_completed_p30_rep14_seed68.csv,
LRMC-SoftImpute,30,15,69,LRMC_SoftImpute_completed_p30_rep15_seed69.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep15_seed69.csv,0.3047619047619048,105,32,73,32,0.0543739096236084,0.0458566146355872,0.5069947946701282,0.3962609970674486,0.0228219620039453,True,True,True,513,513,513,10,0.1282100965292589,12.75672974819588,0.0,0.0,missing_p30_rep15_seed69.csv,LRMC_SoftImpute_completed_p30_rep15_seed69.csv,
LRMC-SoftImpute,30,16,70,LRMC_SoftImpute_completed_p30_rep16_seed70.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep16_seed70.csv,0.3047619047619048,105,32,73,32,0.0498313173577765,0.041882499000346,0.7190835505081777,0.7236070381231671,0.0232311520085204,True,True,True,500,500,500,9,0.120673983707098,10.399249735830972,0.0,0.0,missing_p30_rep16_seed70.csv,LRMC_SoftImpute_completed_p30_rep16_seed70.csv,
LRMC-SoftImpute,30,17,71,LRMC_SoftImpute_completed_p30_rep17_seed71.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep17_seed71.csv,0.3047619047619048,105,32,73,32,0.0470851503151109,0.0384462168045059,0.6833430829215963,0.721407624633431,0.0245630060089752,True,True,True,492,492,492,9,0.1092884825427631,10.014442885881245,0.0,0.0,missing_p30_rep17_seed71.csv,LRMC_SoftImpute_completed_p30_rep17_seed71.csv,
LRMC-SoftImpute,30,18,72,LRMC_SoftImpute_completed_p30_rep18_seed72.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep18_seed72.csv,0.3047619047619048,105,32,73,32,0.0573381704710828,0.0447346495181694,0.4511550950507341,0.3343108504398827,0.0354542890127049,True,True,True,835,835,835,9,0.1303505499418993,12.81819838137024,0.0,0.0,missing_p30_rep18_seed72.csv,LRMC_SoftImpute_completed_p30_rep18_seed72.csv,
LRMC-SoftImpute,30,19,73,LRMC_SoftImpute_completed_p30_rep19_seed73.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep19_seed73.csv,0.3047619047619048,105,32,73,32,0.0543163617283044,0.0471115220452933,0.6190239574078624,0.6110703812316716,0.0221463060006499,True,True,True,594,594,594,9,0.1250547426059904,10.628912485379702,0.0,0.0,missing_p30_rep19_seed73.csv,LRMC_SoftImpute_completed_p30_rep19_seed73.csv,
LRMC-SoftImpute,30,20,74,LRMC_SoftImpute_completed_p30_rep20_seed74.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep20_seed74.csv,0.3047619047619048,105,32,73,32,0.0477953792865204,0.0402072519133678,0.6649349506228428,0.4981671554252198,0.0351109999901382,True,True,True,771,771,771,9,0.1316737796313419,13.039159299513974,0.0,0.0,missing_p30_rep20_seed74.csv,LRMC_SoftImpute_completed_p30_rep20_seed74.csv,
