T_label,full_label
T1,Allenopithecus_nigroviridis_KJ434962
T2,Cercocebus_atys_KT159932
T3,Cercocebus_chrysogaster_KC757390
T4,Cercocebus_torquatus_KJ434959
T5,Cercopithecus_aethiops_AY863426
T6,Cercopithecus_albogularis_KC757391
T7,Cercopithecus_diana_KJ434958
T8,Cercopithecus_lhoesti_KJ434957
T9,Cercopithecus_mitis_KJ434956
T10,Cercopithecus_neglectus_MW160353
T11,Chlorocebus_aethiops_C1_KU682691
T12,Chlorocebus_aethiops_MN816163
T13,Chlorocebus_cynosuros_C3_KU682693
T14,Chlorocebus_cynosuros_KM262190
T15,Chlorocebus_djamdjamensis_C5_KU682695
