,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,0.1507675438596491,0.12755168414554893,0.1527297018278982,0.1265025166581359,0.1419554530557747,0.11976360991010103,0.1373119844735565,0.1407330986770239,0.11859867443862578,0.1233896540415907,0.12148876142897663,0.1388138506876227,0.11529697445647853,0.1426830011580423
T2,0.1507675438596491,0.0,0.075025818601543,0.0739301972685887,0.14621879725654924,0.1531482158080623,0.1259397062019013,0.13434363314649184,0.1559264222195151,0.1510883482714468,0.1513702409416958,0.1468355501842776,0.13517343833425458,0.1520963973933358,0.1542975913925907
T3,0.12755168414554893,0.075025818601543,0.0,0.1047906941178886,0.12451077781294236,0.13082917523573384,0.11789880467802367,0.1501973883996356,0.1529211708976071,0.12732567296152683,0.12744681771433178,0.12305772920635358,0.11919304397635401,0.1258036692543852,0.13159831827530105
T4,0.1527297018278982,0.0739301972685887,0.1047906941178886,0.0,0.1530088062622309,0.1324496351585886,0.12116673973487699,0.12808764880523113,0.1557187955318115,0.154056517775752,0.14778269705207317,0.14184337322209015,0.14276255547224115,0.1509225770857598,0.1547510209057109
T5,0.1265025166581359,0.14621879725654924,0.12451077781294236,0.1530088062622309,0.0,0.12288617719948758,0.1241590214067278,0.1198875099345845,0.1206527718354623,0.1249923524013459,0.0346280688897031,0.047564851430734835,0.0404400467088685,0.0401372633127029,0.0624552551169489
T6,0.1419554530557747,0.1531482158080623,0.13082917523573384,0.1324496351585886,0.12288617719948758,0.0,0.12248333733200653,0.12469925675257568,0.12005548085058233,0.1228304405874499,0.1180458015267175,0.11911462122970684,0.1190081630147916,0.1178777110648204,0.1225570776255707
T7,0.11976360991010103,0.1259397062019013,0.11789880467802367,0.12116673973487699,0.1241590214067278,0.12248333733200653,0.0,0.1260626669905271,0.1230955993930197,0.1197473888753947,0.12038016485216355,0.1183009395275776,0.1203031824881837,0.11594657100925455,0.1242610762386495
T8,0.1373119844735565,0.13434363314649184,0.1501973883996356,0.12808764880523113,0.1198875099345845,0.12469925675257568,0.1260626669905271,0.0,0.1109628910987145,0.12210837086902956,0.11793080466812517,0.1195519844168492,0.1185348794404564,0.1129188782785413,0.1199293458399317
T9,0.1407330986770239,0.1559264222195151,0.1529211708976071,0.1557187955318115,0.1206527718354623,0.12005548085058233,0.1230955993930197,0.1109628910987145,0.0,0.11885321613779044,0.1174494594759665,0.1194884287454324,0.1162747866658481,0.11420070534519539,0.11658022719996106
T10,0.11859867443862578,0.1510883482714468,0.12732567296152683,0.154056517775752,0.1249923524013459,0.1228304405874499,0.1197473888753947,0.12210837086902956,0.11885321613779044,0.0,0.1240295861605232,0.12341122573830866,0.1233794162826421,0.11708480702833136,0.1254113345521023
T11,0.1233896540415907,0.1513702409416958,0.12744681771433178,0.14778269705207317,0.0346280688897031,0.1180458015267175,0.12038016485216355,0.11793080466812517,0.1174494594759665,0.1240295861605232,0.0,0.0161723422433784,0.05802887332746121,0.0382707733757883,0.0519115671186026
T12,0.12148876142897663,0.1468355501842776,0.12305772920635358,0.14184337322209015,0.047564851430734835,0.11911462122970684,0.1183009395275776,0.1195519844168492,0.1194884287454324,0.12341122573830866,0.0161723422433784,0.0,0.06628672488396166,0.04847876974016402,0.0534765887308467
T13,0.1388138506876227,0.13517343833425458,0.11919304397635401,0.14276255547224115,0.0404400467088685,0.1190081630147916,0.1203031824881837,0.1185348794404564,0.1162747866658481,0.1233794162826421,0.05802887332746121,0.06628672488396166,0.0,0.07170232425307252,0.0508172545164065
T14,0.11529697445647853,0.1520963973933358,0.1258036692543852,0.1509225770857598,0.0401372633127029,0.1178777110648204,0.11594657100925455,0.1129188782785413,0.11420070534519539,0.11708480702833136,0.0382707733757883,0.04847876974016402,0.07170232425307252,0.0,0.07906650632564245
T15,0.1426830011580423,0.1542975913925907,0.13159831827530105,0.1547510209057109,0.0624552551169489,0.1225570776255707,0.1242610762386495,0.1199293458399317,0.11658022719996106,0.1254113345521023,0.0519115671186026,0.0534765887308467,0.0508172545164065,0.07906650632564245,0.0
