,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,-1.0,0.1533787068546427,0.1527297018278982,0.1383128402765033,0.1419554530557747,0.1435863158534362,-1.0,-1.0,0.1423102631099228,-1.0,-1.0,0.1388138506876227,0.1376624969340201,-1.0
T2,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.151568687176363,0.1559264222195151,-1.0,0.1513702409416958,0.1523797885990102,-1.0,0.1520963973933358,-1.0
T3,0.1533787068546427,-1.0,0.0,-1.0,0.153926188873248,-1.0,-1.0,-1.0,0.1529211708976071,0.1550665613032642,-1.0,-1.0,0.1517050691244239,-1.0,0.1537663921927416
T4,0.1527297018278982,-1.0,-1.0,0.0,0.1530088062622309,-1.0,-1.0,0.1529261777561923,-1.0,-1.0,0.1520410657540943,-1.0,-1.0,-1.0,-1.0
T5,0.1383128402765033,-1.0,0.153926188873248,0.1530088062622309,0.0,-1.0,0.1241590214067278,-1.0,-1.0,0.1249923524013459,-1.0,-1.0,-1.0,-1.0,-1.0
T6,0.1419554530557747,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.1115153720211024,0.0536298630469034,-1.0,-1.0,-1.0,0.1190081630147916,-1.0,-1.0
T7,0.1435863158534362,-1.0,-1.0,-1.0,0.1241590214067278,-1.0,0.0,-1.0,-1.0,0.1197473888753947,-1.0,-1.0,-1.0,-1.0,0.1242610762386495
T8,-1.0,0.151568687176363,-1.0,0.1529261777561923,-1.0,0.1115153720211024,-1.0,0.0,-1.0,-1.0,-1.0,0.1195519844168492,-1.0,0.119330718313312,0.1199293458399317
T9,-1.0,0.1559264222195151,0.1529211708976071,-1.0,-1.0,0.0536298630469034,-1.0,-1.0,0.0,0.1221392581800522,0.1174494594759665,0.1194884287454324,-1.0,-1.0,-1.0
T10,0.1423102631099228,-1.0,0.1550665613032642,-1.0,0.1249923524013459,-1.0,0.1197473888753947,-1.0,0.1221392581800522,0.0,-1.0,0.1256247714250883,0.1233794162826421,-1.0,-1.0
T11,-1.0,0.1513702409416958,-1.0,0.1520410657540943,-1.0,-1.0,-1.0,-1.0,0.1174494594759665,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
T12,-1.0,0.1523797885990102,-1.0,-1.0,-1.0,-1.0,-1.0,0.1195519844168492,0.1194884287454324,0.1256247714250883,-1.0,0.0,-1.0,-1.0,-1.0
T13,0.1388138506876227,-1.0,0.1517050691244239,-1.0,-1.0,0.1190081630147916,-1.0,-1.0,-1.0,0.1233794162826421,-1.0,-1.0,0.0,0.0384922830965996,-1.0
T14,0.1376624969340201,0.1520963973933358,-1.0,-1.0,-1.0,-1.0,-1.0,0.119330718313312,-1.0,-1.0,-1.0,-1.0,0.0384922830965996,0.0,-1.0
T15,-1.0,-1.0,0.1537663921927416,-1.0,-1.0,-1.0,0.1242610762386495,0.1199293458399317,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
