method,pct_missing,frac_missing_requested,missingness_actual,replicate,mask_seed,n_pairs_total,n_missing,n_observed,optimized_variables,imputed_variables,success,success_numerical,success_valid_matrix,error_message,masked_file,completed_file,embedding_dim,full_dim,max_iter,tol,init_method,optimizer_config_json,runtime_seconds,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,max_abs_error_observed,mean_abs_error_observed,stress_init,stress_final,stress_reduction_percent,best_epoch,epochs_used,convergence_epoch,last_rel_change,n_success,n_failed
MDS-SMACOF,30,0.3,0.3047619047619048,1,55,105,32,73,210,32,True,True,True,,missing_p30_rep01_seed55.csv,MDS_SMACOF_completed_p30_rep01_seed55.csv,14,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.09904269099934027,0.021204365636635133,0.014651159335853413,0.9148433323378544,0.8346774193548386,0.0,0.0,0.016483167212037755,6.797094034084034e-15,99.99999999995876,1000,1000,1000,0.00011526990741407453,30,0
MDS-SMACOF,30,0.3,0.3047619047619048,2,56,105,32,73,210,32,True,True,True,,missing_p30_rep02_seed56.csv,MDS_SMACOF_completed_p30_rep02_seed56.csv,14,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.048463655009982176,0.022406189900076187,0.01614963157526046,0.7084023683809616,0.595674486803519,0.0,0.0,0.018748104730482353,2.420596807006997e-13,99.99999999870889,1000,1000,1000,0.0037526429990509375,30,0
MDS-SMACOF,30,0.3,0.3047619047619048,3,57,105,32,73,210,32,True,True,True,,missing_p30_rep03_seed57.csv,MDS_SMACOF_completed_p30_rep03_seed57.csv,14,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.049327606000588275,0.015578438477247904,0.011948000519823096,0.9706701036697143,0.874266862170088,0.0,0.0,0.01713669446613877,4.571328675294539e-09,99.99997332432642,1000,1000,1000,0.003988805275179183,30,0
MDS-SMACOF,30,0.3,0.3047619047619048,4,58,105,32,73,210,32,True,True,True,,missing_p30_rep04_seed58.csv,MDS_SMACOF_completed_p30_rep04_seed58.csv,14,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.05010214100184385,0.014945813517221462,0.01093015620781365,0.9643725339695443,0.9596774193548386,0.0,0.0,0.021209800448776444,1.804163560528162e-11,99.99999991493728,1000,1000,1000,0.012493783465005478,30,0
MDS-SMACOF,30,0.3,0.3047619047619048,5,59,105,32,73,210,32,True,True,True,,missing_p30_rep05_seed59.csv,MDS_SMACOF_completed_p30_rep05_seed59.csv,14,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.050396056001773104,0.014817275644619465,0.012350396385324404,0.9611453268981531,0.7987536656891494,0.0,0.0,0.018407730227395034,1.5379799292461354e-08,99.99991644923571,1000,1000,1000,0.0018909318738564338,30,0
MDS-SMACOF,30,0.3,0.3047619047619048,6,60,105,32,73,210,32,True,True,True,,missing_p30_rep06_seed60.csv,MDS_SMACOF_completed_p30_rep06_seed60.csv,14,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.04535715100064408,0.013494899367223326,0.010751474923199798,0.9318412385554908,0.8999266862170088,0.0,0.0,0.02235642332191586,7.785791300387557e-12,99.99999996517425,1000,1000,1000,0.012377855196065159,30,0
MDS-SMACOF,30,0.3,0.3047619047619048,7,61,105,32,73,210,32,True,True,True,,missing_p30_rep07_seed61.csv,MDS_SMACOF_completed_p30_rep07_seed61.csv,14,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.05179986699658912,0.019946571356245106,0.014692844328848549,0.8947134526653904,0.8093841642228737,0.0,0.0,0.018380885101344873,2.2703788174331991e-10,99.99999876481529,1000,1000,1000,0.006773895105458838,30,0
MDS-SMACOF,30,0.3,0.3047619047619048,8,62,105,32,73,210,32,True,True,True,,missing_p30_rep08_seed62.csv,MDS_SMACOF_completed_p30_rep08_seed62.csv,14,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.051265686997794546,0.017393129219842308,0.010529646726876552,0.9257208345398119,0.9259530791788856,0.0,0.0,0.023496767241699038,4.589344259199162e-16,99.99999999999805,1000,1000,1000,9.964025736116712e-06,30,0
MDS-SMACOF,30,0.3,0.3047619047619048,9,63,105,32,73,210,32,True,True,True,,missing_p30_rep09_seed63.csv,MDS_SMACOF_completed_p30_rep09_seed63.csv,14,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.0472385160101112,0.020865726638697714,0.013983635549490106,0.9028668172476483,0.9098240469208211,0.0,0.0,0.015547819346033958,3.750619266447156e-18,99.99999999999997,928,928,928,9.894477352648114e-08,30,0
MDS-SMACOF,30,0.3,0.3047619047619048,10,64,105,32,73,210,32,True,True,True,,missing_p30_rep10_seed64.csv,MDS_SMACOF_completed_p30_rep10_seed64.csv,14,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.05300603799696546,0.02594299325697446,0.018725202389101296,0.8143633811801281,0.6458944281524925,0.0,0.0,0.01308263135676017,7.596402220522485e-14,99.99999999941934,1000,1000,1000,0.0010624425464057048,30,0
MDS-SMACOF,30,0.3,0.3047619047619048,11,65,105,32,73,210,32,True,True,True,,missing_p30_rep11_seed65.csv,MDS_SMACOF_completed_p30_rep11_seed65.csv,14,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.053659899000194855,0.012484025999479856,0.008767788066409016,0.9624172306952073,0.8629032258064515,0.0,0.0,0.0212555567488823,4.215553180599722e-11,99.99999980167287,1000,1000,1000,0.011883744781100752,30,0
MDS-SMACOF,30,0.3,0.3047619047619048,12,66,105,32,73,210,32,True,True,True,,missing_p30_rep12_seed66.csv,MDS_SMACOF_completed_p30_rep12_seed66.csv,14,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.048179022007388994,0.021836013805169967,0.015011725404702433,0.8458370425364067,0.810483870967742,0.0,0.0,0.029774174232023328,1.0368744777310694e-11,99.99999996517538,1000,1000,1000,0.01003347180806737,30,0
MDS-SMACOF,30,0.3,0.3047619047619048,13,67,105,32,73,210,32,True,True,True,,missing_p30_rep13_seed67.csv,MDS_SMACOF_completed_p30_rep13_seed67.csv,14,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.0449230819940567,0.023297385393215467,0.01659732390548682,0.829854757293206,0.6019061583577713,0.0,0.0,0.01649830687629326,8.131548858937759e-11,99.99999950712828,1000,1000,1000,0.010877960567806844,30,0
MDS-SMACOF,30,0.3,0.3047619047619048,14,68,105,32,73,210,32,True,True,True,,missing_p30_rep14_seed68.csv,MDS_SMACOF_completed_p30_rep14_seed68.csv,14,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.04714547100593336,0.020552300465338447,0.014243486251598825,0.8718215907906947,0.752932551319648,0.0,0.0,0.021728782704365412,2.2455866825193215e-10,99.99999896653821,1000,1000,1000,0.010177748609155964,30,0
