method,pct_missing,replicate,mask_seed,file,path,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,runtime_seconds,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,max_abs_error_observed,mean_abs_error_observed,masked_file,__metadata_scope,__metadata_source
MDS-SMACOF,30,1,55,MDS_SMACOF_completed_p30_rep01_seed55.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep01_seed55.csv,0.3047619047619048,105,32,73,210,0.0990426909993402,0.0212043656366351,0.0146511593358534,0.9148433323378544,0.8346774193548386,0.0,0.0,missing_p30_rep01_seed55.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,30,2,56,MDS_SMACOF_completed_p30_rep02_seed56.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep02_seed56.csv,0.3047619047619048,105,32,73,210,0.0484636550099821,0.0224061899000761,0.0161496315752604,0.7084023683809616,0.595674486803519,0.0,0.0,missing_p30_rep02_seed56.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,30,3,57,MDS_SMACOF_completed_p30_rep03_seed57.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep03_seed57.csv,0.3047619047619048,105,32,73,210,0.0493276060005882,0.0155784384772479,0.011948000519823,0.9706701036697144,0.874266862170088,0.0,0.0,missing_p30_rep03_seed57.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,30,4,58,MDS_SMACOF_completed_p30_rep04_seed58.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep04_seed58.csv,0.3047619047619048,105,32,73,210,0.0501021410018438,0.0149458135172214,0.0109301562078136,0.9643725339695444,0.9596774193548386,0.0,0.0,missing_p30_rep04_seed58.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,30,5,59,MDS_SMACOF_completed_p30_rep05_seed59.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep05_seed59.csv,0.3047619047619048,105,32,73,210,0.0503960560017731,0.0148172756446194,0.0123503963853244,0.9611453268981532,0.7987536656891494,0.0,0.0,missing_p30_rep05_seed59.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,30,6,60,MDS_SMACOF_completed_p30_rep06_seed60.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep06_seed60.csv,0.3047619047619048,105,32,73,210,0.045357151000644,0.0134948993672233,0.0107514749231997,0.9318412385554908,0.8999266862170088,0.0,0.0,missing_p30_rep06_seed60.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,30,7,61,MDS_SMACOF_completed_p30_rep07_seed61.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep07_seed61.csv,0.3047619047619048,105,32,73,210,0.0517998669965891,0.0199465713562451,0.0146928443288485,0.8947134526653904,0.8093841642228737,0.0,0.0,missing_p30_rep07_seed61.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,30,8,62,MDS_SMACOF_completed_p30_rep08_seed62.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep08_seed62.csv,0.3047619047619048,105,32,73,210,0.0512656869977945,0.0173931292198423,0.0105296467268765,0.925720834539812,0.9259530791788856,0.0,0.0,missing_p30_rep08_seed62.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,30,9,63,MDS_SMACOF_completed_p30_rep09_seed63.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep09_seed63.csv,0.3047619047619048,105,32,73,210,0.0472385160101112,0.0208657266386977,0.0139836355494901,0.9028668172476484,0.9098240469208212,0.0,0.0,missing_p30_rep09_seed63.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
MDS-SMACOF,30,10,64,MDS_SMACOF_completed_p30_rep10_seed64.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep10_seed64.csv,0.3047619047619048,105,32,73,210,0.0530060379969654,0.0259429932569744,0.0187252023891012,0.8143633811801281,0.6458944281524925,0.0,0.0,missing_p30_rep10_seed64.csv,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv
