method,pct_missing,replicate,mask_seed,file,path,success,error_message,n_taxa,n_pairs,n_edges,n_terminal_edges,n_internal_edges,nnls_rnorm,branch_fit_solver,tree_length_ref,tree_length_hat,tree_length_abs_error,tree_length_rel_error,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,masked_file,runtime_seconds,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,max_abs_error_observed,mean_abs_error_observed,__metadata_scope,__metadata_source,edge_BL_MAE,edge_BL_RMSE,edge_BL_Bias,edge_BL_MaxAE,edge_BL_Pearson,edge_BL_Spearman,edge_BL_rel_RMSE,edge_BL_rel_MAE,terminal_BL_MAE,terminal_BL_RMSE,terminal_BL_Bias,terminal_BL_MaxAE,terminal_BL_Pearson,terminal_BL_Spearman,terminal_BL_rel_RMSE,terminal_BL_rel_MAE,internal_BL_MAE,internal_BL_RMSE,internal_BL_Bias,internal_BL_MaxAE,internal_BL_Pearson,internal_BL_Spearman,internal_BL_rel_RMSE,internal_BL_rel_MAE,fit_pat_MAE,fit_pat_RMSE,fit_pat_Bias,fit_pat_MaxAE,fit_pat_Pearson,fit_pat_Spearman,fit_pat_rel_RMSE,fit_pat_rel_MAE,input_vs_ML_pat_MAE,input_vs_ML_pat_RMSE,input_vs_ML_pat_Bias,input_vs_ML_pat_MaxAE,input_vs_ML_pat_Pearson,input_vs_ML_pat_Spearman,input_vs_ML_pat_rel_RMSE,input_vs_ML_pat_rel_MAE
MDS-SMACOF,30,1,55,MDS_SMACOF_completed_p30_rep01_seed55.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep01_seed55.csv,True,,15,105,27,15,12,0.07944200634596212,scipy.optimize.nnls,1.2142374164,0.7175207126659072,0.4967167037340928,0.4090770857702362,0.3047619047619048,105,32,73,210,missing_p30_rep01_seed55.csv,0.0990426909993402,0.0212043656366351,0.0146511593358534,0.9148433323378544,0.8346774193548386,0.0,0.0,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv,0.021013392743723623,0.035337579575167366,-0.01839691495311455,0.12602492092684967,0.7434540915090049,0.86242839979783,0.5704305209665151,0.46725755310906575,0.017824081632513217,0.029048199816091913,-0.013114421609416881,0.07791129177560098,0.8890955733034458,0.9392857142857142,0.4344812874326941,0.3321219959761719,0.025000031632736633,0.04189185842530611,-0.025000031632736633,0.12602492092684967,0.8463455258123452,0.8043978137140955,0.7588642589834868,0.733088003575466,0.13612170753107852,0.1555748870707505,-0.13533988623118934,0.22921870181068318,0.9649545351735088,0.953866887829152,0.5588209131245028,0.5296100096497701,0.13791941498046065,0.15581255734100968,-0.13533988623118928,0.24141982747664642,0.9355597601414776,0.9045822102425874,0.5596746185004121,0.5366043669560606
MDS-SMACOF,30,2,56,MDS_SMACOF_completed_p30_rep02_seed56.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep02_seed56.csv,True,,15,105,27,15,12,0.06964379580806355,scipy.optimize.nnls,1.2142374164,0.6959310199250905,0.5183063964749095,0.4268575399460154,0.3047619047619048,105,32,73,210,missing_p30_rep02_seed56.csv,0.0484636550099821,0.0224061899000761,0.0161496315752604,0.7084023683809616,0.595674486803519,0.0,0.0,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv,0.021811170782496933,0.0376894511213796,-0.019196533202774427,0.14292256575513818,0.6575251130759738,0.833943833943834,0.6083951842932284,0.4849970880269912,0.019529912906789577,0.029905948251436994,-0.014823565263289065,0.0817333417796512,0.793862322362682,0.9107142857142855,0.4473108481917625,0.36390731312697533,0.02466274312713113,0.045586795863466936,-0.02466274312713113,0.14292256575513818,0.5559086782348224,0.7552447552447553,0.8257974547499091,0.7231975298018445,0.13879667782536528,0.1574956214900219,-0.1378081797580023,0.23401796632795654,0.9245017365041313,0.8921625544267053,0.5657201407714351,0.5400175417698518,0.13879667782536528,0.1576446616547018,-0.13780817975800233,0.2545845462639726,0.9069430259566589,0.8308936346672195,0.5662554891331587,0.5400175417698518
MDS-SMACOF,30,3,57,MDS_SMACOF_completed_p30_rep03_seed57.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep03_seed57.csv,True,,15,105,27,15,12,0.060902784159617904,scipy.optimize.nnls,1.2142374164,0.6682478886516001,0.5459895277483999,0.4496563195747687,0.3047619047619048,105,32,73,210,missing_p30_rep03_seed57.csv,0.0493276060005882,0.0155784384772479,0.011948000519823,0.9706701036697144,0.874266862170088,0.0,0.0,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv,0.022281324531095544,0.03498796434073137,-0.02022183436105185,0.11856282190523615,0.8314098844953597,0.886377685236632,0.5647869199413532,0.4954515107294298,0.02114735466184627,0.0309914181408871,-0.017440272355767623,0.08627178549943443,0.9609993508948699,0.95,0.4635464964599365,0.39404563919280394,0.023698786867657126,0.03941788568168667,-0.023698786867657126,0.11856282190523615,0.8995663695975578,0.7464973841162387,0.7140486417393972,0.6949309747761093,0.13828581876609294,0.1566816541832213,-0.1377854333363433,0.2348689849654041,0.9751156055699209,0.916576819407008,0.5627963915584087,0.5380299376160534,0.1390867369927332,0.15682051331557645,-0.13778543333634327,0.24703050239433108,0.9590813603675858,0.9100456147625959,0.5632951699191031,0.5411460777044577
MDS-SMACOF,30,4,58,MDS_SMACOF_completed_p30_rep04_seed58.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep04_seed58.csv,True,,15,105,27,15,12,0.0647879528306644,scipy.optimize.nnls,1.2142374164,0.6824692015527186,0.5317682148472814,0.4379441842797766,0.3047619047619048,105,32,73,210,missing_p30_rep04_seed58.csv,0.0501021410018438,0.0149458135172214,0.0109301562078136,0.9643725339695444,0.9596774193548386,0.0,0.0,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv,0.021475193984800665,0.033673129760348905,-0.019695119068417827,0.11477191253656543,0.8465884271031238,0.8615112480078996,0.5435624392698072,0.47752624796286747,0.01916113071939334,0.028831151537660634,-0.016517103157461074,0.07826434790551424,0.9640544592491057,0.9428571428571427,0.43123484131744705,0.35703567291101723,0.024367773066559826,0.03888682461894356,-0.023667638957113765,0.11477191253656543,0.9129173806910226,0.6015187191047882,0.7044285562382469,0.7145479802334513,0.13748044790633823,0.1560294826479311,-0.13707010859238472,0.23270052905996516,0.9742370711083284,0.913943603566245,0.5604538085122198,0.5348964736260506,0.13817337506872057,0.15620054446044773,-0.13707010859238472,0.2522940904700778,0.9556920644394085,0.909610201119635,0.5610682580552736,0.5375924518635563
MDS-SMACOF,30,5,59,MDS_SMACOF_completed_p30_rep05_seed59.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep05_seed59.csv,True,,15,105,27,15,12,0.054355331356377004,scipy.optimize.nnls,1.2142374164,0.6413272122077983,0.5729102041922017,0.47182717025042725,0.3047619047619048,105,32,73,210,missing_p30_rep05_seed59.csv,0.0503960560017731,0.0148172756446194,0.0123503963853244,0.9611453268981532,0.7987536656891494,0.0,0.0,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv,0.021218896451563028,0.03397527790924199,-0.021218896451563028,0.11337897358229422,0.8847952073486811,0.9033735412836645,0.548439811406049,0.47182717025042725,0.01991835341123788,0.030115206937100736,-0.01991835341123788,0.08187108044185375,0.9670454533685153,0.9678571428571429,0.4504407833935745,0.3711452532528796,0.02284457525196945,0.038256526034031256,-0.02284457525196945,0.11337897358229422,0.9232701539320164,0.704029100680038,0.6930107990281996,0.6698825149511446,0.1395880228281141,0.1578868137003384,-0.1395880228281141,0.24172243737128588,0.9673411546767151,0.951088534107402,0.5671252929286522,0.5430964352258895,0.13958802282811408,0.15799394803005515,-0.13958802282811408,0.24813261075605494,0.9555848110487873,0.9068940493468796,0.567510116630514,0.5430964352258894
MDS-SMACOF,30,6,60,MDS_SMACOF_completed_p30_rep06_seed60.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep06_seed60.csv,True,,15,105,27,15,12,0.05862370780414759,scipy.optimize.nnls,1.2142374164,0.6609110915403191,0.5533263248596809,0.45569862811524614,0.3047619047619048,105,32,73,210,missing_p30_rep06_seed60.csv,0.045357151000644,0.0134948993672233,0.0107514749231997,0.9318412385554908,0.8999266862170088,0.0,0.0,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv,0.020514113484126448,0.03426028942275126,-0.020493567587395584,0.11972808570169785,0.8472814594950583,0.9047038951312556,0.5530405584885344,0.4561554903435391,0.018397878093582294,0.029091788697904467,-0.018397878093582294,0.07909802823078305,0.9502535475332458,0.9749999999999999,0.4351332573863426,0.3428137348193504,0.02315940772230664,0.0397877054935269,-0.023113179454662208,0.11972808570169785,0.8923583440299487,0.8239640937886785,0.720747867985708,0.679114499555436,0.13828137645236604,0.15679864143625627,-0.13828137645236604,0.23455705271303445,0.9630478088086004,0.9383682355380468,0.5632166067023553,0.5380126538641932,0.13837519747984547,0.15693191139288518,-0.13828137645236604,0.24923299972258792,0.9492050966681814,0.9090711175616835,0.5636953088904634,0.538377684219527
MDS-SMACOF,30,7,61,MDS_SMACOF_completed_p30_rep07_seed61.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep07_seed61.csv,True,,15,105,27,15,12,0.06816208682008813,scipy.optimize.nnls,1.2142374164,0.6965717212789516,0.5176656951210484,0.42632988254952314,0.3047619047619048,105,32,73,210,missing_p30_rep07_seed61.csv,0.0517998669965891,0.0199465713562451,0.0146928443288485,0.8947134526653904,0.8093841642228737,0.0,0.0,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv,0.023177632641784057,0.03681904144539844,-0.01917280352300179,0.12125559534779892,0.6990156937379679,0.7452658690480296,0.5943447526877446,0.515381977919561,0.021116642993690298,0.031146472224710255,-0.014702985392740793,0.08318896833478907,0.7824015699853686,0.8392857142857142,0.4658656796928975,0.39347337854353087,0.025753869701901255,0.0428668364134749,-0.02476007618582804,0.12125559534779892,0.7932497625502352,0.47184268618667913,0.7765258279930387,0.7551931614113236,0.13764082699835686,0.1562719352199869,-0.13658810491307383,0.23399032260977742,0.9565799251998637,0.9346879535558781,0.5613246917907272,0.5355204620700115,0.13839355789366983,0.15648853668288734,-0.13658810491307383,0.23997154849231403,0.9345891455312815,0.8944329255650009,0.5621027185633071,0.5384491192545341
MDS-SMACOF,30,8,62,MDS_SMACOF_completed_p30_rep08_seed62.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep08_seed62.csv,True,,15,105,27,15,12,0.050855035758456374,scipy.optimize.nnls,1.2142374164,0.6955433740043679,0.5186940423956321,0.4271767904611839,0.3047619047619048,105,32,73,210,missing_p30_rep08_seed62.csv,0.0512656869977945,0.0173931292198423,0.0105296467268765,0.925720834539812,0.9259530791788856,0.0,0.0,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv,0.023147802132040714,0.035513415718965664,-0.01921089045909748,0.11130051622673547,0.7465815245434311,0.7423687423687424,0.5732689242843838,0.5147186613785024,0.021616141115139428,0.03013105525198818,-0.015013286688459384,0.07708472605482097,0.8156109910733768,0.8928571428571428,0.45067783065638356,0.40278069190207283,0.02506237840316733,0.04126566917929744,-0.024457895172395105,0.11130051622673547,0.8797308162471783,0.3636363636363637,0.7475209417849178,0.7349162280407731,0.13663966380051182,0.15512426993055764,-0.13576015206340364,0.22908682682533615,0.9624256094362948,0.942121086460709,0.5572023081780785,0.5316252269859918,0.13763572812808417,0.15525526176487248,-0.13576015206340367,0.22892619222390906,0.9499973136301918,0.924631971801783,0.5576728274105969,0.5355006238474141
MDS-SMACOF,30,9,63,MDS_SMACOF_completed_p30_rep09_seed63.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep09_seed63.csv,True,,15,105,27,15,12,0.05521096762684447,scipy.optimize.nnls,1.2142374164,0.7114268977982304,0.5028105186017696,0.41409572115848164,0.3047619047619048,105,32,73,210,missing_p30_rep09_seed63.csv,0.0472385160101112,0.0208657266386977,0.0139836355494901,0.9028668172476484,0.9098240469208212,0.0,0.0,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv,0.023389957795423882,0.03721999654580433,-0.01862261180006554,0.12230361722001039,0.6695009832554815,0.7177765542060941,0.6008170982631456,0.5201032779477481,0.021145130364011576,0.0305278368108836,-0.01353561468441472,0.08267441467097524,0.7788135010216647,0.8571428571428571,0.4566125930041326,0.3940041931171107,0.02619599208468927,0.04418203589714796,-0.024981358194629058,0.12230361722001039,0.7513421325632682,0.3873335483621993,0.8003504545221428,0.7681577296044966,0.13669647960274586,0.1552427231416046,-0.13507540609918972,0.2317659241625212,0.950308646937579,0.9295355587808417,0.5576277890047473,0.5318462807629036,0.1374306956206877,0.1554030269586033,-0.13507540609918972,0.24305690691574305,0.9348009330018651,0.9097138710346258,0.5582035961101179,0.5347029019396429
MDS-SMACOF,30,10,64,MDS_SMACOF_completed_p30_rep10_seed64.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep10_seed64.csv,True,,15,105,27,15,12,0.07542398910535444,scipy.optimize.nnls,1.2142374164,0.7338305352350942,0.4804068811649058,0.39564493292360203,0.3047619047619048,105,32,73,210,missing_p30_rep10_seed64.csv,0.0530060379969654,0.0259429932569744,0.0187252023891012,0.8143633811801281,0.6458944281524925,0.0,0.0,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv,0.023542110329741878,0.039176634197448636,-0.01779284745055207,0.14955129580142393,0.5739024327729648,0.7457526607397866,0.6324017695504368,0.5234865688685351,0.021222352930343077,0.03130331845078257,-0.010873679747801419,0.08590373822509612,0.7303550224479782,0.7178571428571427,0.4682116684517295,0.39544310668321764,0.02644180707899038,0.0472064330182095,-0.02644180707899038,0.14955129580142393,0.47779546662377104,0.8920270488452793,0.8551369205902064,0.7753658814207985,0.1380731337257364,0.15691525461955094,-0.13586046904111596,0.23314356152951857,0.9273767686410164,0.9105846983205473,0.563635478197608,0.5372024419262138,0.13927493909594818,0.15712657479627,-0.13586046904111598,0.24570501332646832,0.9015454212146684,0.8700290275761973,0.5643945347287695,0.5418783174001508
