method,pct_missing,replicate,mask_seed,file,path,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,runtime_seconds,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,Delta_init,Delta_final,Delta_reduction_percent,Delta_total_completed,Delta_normalized_completed,Delta_per_triangle_completed,Delta_relative_to_original,max_abs_error_observed,mean_abs_error_observed,MW_Qw_final,weighted_fit_pairs,final_tree_edges,n_start_pairs,n_weighted_lsq_fits,n_graft_evaluations,stepA_method,stepA_loops,stepA_estimated_pairs,stepA_unfilled_pairs,masked_file,__metadata_scope,__metadata_source
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep01_seed55.csv,0.3047619047619048,105,32,73,27,14.302520691999234,0.0191705845501367,0.0062315570445926,0.8943907011282652,0.844941348973607,235.94201448624835,42.40040375176456,82.02931180184704,42.40040375176456,0.0180555907155419,0.0931877005533287,0.7244965294595593,0.0,0.0,0.0001324790862565,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep01_seed55.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,2,56,MWproj_completed_p30_rep02_seed56.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep02_seed56.csv,0.3047619047619048,105,32,73,27,15.30055290600285,0.0233764171861566,0.0089070651709754,0.713968830786802,0.6763196480938416,371.7282660802371,51.39061793093609,86.17521920707438,51.39061793093609,0.0199704296313256,0.1129464130350243,0.8781124952423576,0.0,0.0,0.0001186565717636,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep02_seed56.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,3,57,MWproj_completed_p30_rep03_seed57.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep03_seed57.csv,0.3047619047619048,105,32,73,27,14.581148211000254,0.003687937519055,0.0017971344429137,0.9968044309487482,0.9582111436950146,292.8120965127204,37.84842633249785,87.07415889464333,37.84842633249785,0.0164454454909267,0.0831833545769183,0.6467168021309071,0.0,0.0,0.0001404670767852,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep03_seed57.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,4,58,MWproj_completed_p30_rep04_seed58.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep04_seed58.csv,0.3047619047619048,105,32,73,27,16.792250762009644,0.0036385573156039,0.0016840784581077,0.9962076537588432,0.9794721407624633,273.6673429290945,39.63962043969364,85.51539982249032,39.63962043969364,0.0171172982742888,0.0871200449224035,0.6773229709270652,0.0,0.0,0.0001348007197031,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep04_seed58.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,5,59,MWproj_completed_p30_rep05_seed59.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep05_seed59.csv,0.3047619047619048,105,32,73,27,15.857157418999122,0.0021002294238822,0.0016045714101548,0.9986269254885296,0.9252199413489736,368.00930841971433,52.392234033672295,85.76333999304197,52.392234033672295,0.0198769693850078,0.115147767106972,0.8952271292097992,0.0,0.0,0.0001223696814729,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep05_seed59.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,6,60,MWproj_completed_p30_rep06_seed60.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep06_seed60.csv,0.3047619047619048,105,32,73,27,12.880800872007969,0.0015845747832405,0.0011245668469293,0.9987387151718192,0.9167888563049852,481.8021774201917,52.25725830808239,89.15379366114664,52.25725830808239,0.0201517712920665,0.1148511171606206,0.8929207963426953,0.0,0.0,0.0001185865301608,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep06_seed60.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,7,61,MWproj_completed_p30_rep07_seed61.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep07_seed61.csv,0.3047619047619048,105,32,73,27,17.25263317799545,0.010439107320548,0.0032792646731388,0.9666512400831472,0.9552785923753664,175.13062221926822,52.20046097544389,70.19341317129135,52.20046097544389,0.019736449817458,0.1147262878581184,0.8919502992073363,0.0,0.0,0.000115402796637,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep07_seed61.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,8,62,MWproj_completed_p30_rep08_seed62.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep08_seed62.csv,0.3047619047619048,105,32,73,27,16.02023956499761,0.0103608640893549,0.003123304054852,0.9641563248405444,0.9743401759530792,319.5083426135769,50.860037126368766,84.08178117969194,50.860037126368766,0.0200191299733758,0.1117803013766346,0.8690464506415231,0.0,0.0,0.0001044438200134,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep08_seed62.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,9,63,MWproj_completed_p30_rep09_seed63.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep09_seed63.csv,0.3047619047619048,105,32,73,27,17.002583426001365,0.0103692092057573,0.0031370877203354,0.9700298471876724,0.9780058651026392,216.8306161916749,55.20234379468258,74.54125954893539,55.20234379468258,0.0210542555817774,0.1213238325157858,0.943243529741543,0.0,0.0,0.0001126833255238,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep09_seed63.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,10,64,MWproj_completed_p30_rep10_seed64.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep10_seed64.csv,0.3047619047619048,105,32,73,27,16.024569824003265,0.0234385375367062,0.0086909979944369,0.8371675868946931,0.8229472140762463,272.1248620774025,37.02802593135242,86.39300148884585,37.02802593135242,0.0159822023836483,0.0813802767722031,0.6326986044062601,0.0,0.0,0.0001414215489075,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep10_seed64.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
