,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,0.1507675438596491,0.1533787068546427,0.15357453592325648,0.13726754434040614,0.1372825129744934,0.13842115356827472,0.1374401219500016,0.1378416146256282,0.0,0.13748678604577302,0.1372675443404061,0.13835792745172715,0.1376624969340201,0.13750348342760896
T2,0.1507675438596491,0.0,0.15239811781526869,0.15390676679556636,0.15071268364656487,0.15072765228065213,0.1528472137544202,0.15088526125616034,0.15128675393178692,0.151756184687801,0.15093192535193176,0.15071268364656484,0.1518030667578859,0.1520963973933358,0.1509486227337677
T3,0.1533787068546427,0.15239811781526869,0.0,0.1529261777561923,0.15102238590172273,0.15103735453580996,0.1521759951295913,0.1501973883996356,0.15159645618694478,0.15206588694295883,0.1512416276070896,0.1510223859017227,0.15211276901304377,0.15146423033626752,0.15125832498892555
T4,0.15357453592325648,0.15390676679556636,0.1529261777561923,0.0,0.15253103488202038,0.15254600351610764,0.15368464410988897,0.1529261777561923,0.15310510516724243,0.15357453592325648,0.15275027658738727,0.15253103488202036,0.1536214179933414,0.15297287931656517,0.1527669739692232
T5,0.13726754434040614,0.15071268364656487,0.15102238590172273,0.15253103488202038,0.0,0.12099622457678721,0.1232951241571891,0.12231409253891598,0.12271558521454257,0.1372675443404061,0.1223607566346874,0.0357339197361187,0.12323189804064155,0.1225833593638653,0.12237745401652333
T6,0.1372825129744934,0.15072765228065213,0.15103735453580996,0.15254600351610764,0.12099622457678721,0.0,0.12331009279127636,0.12232906117300324,0.12273055384862983,0.1372825129744934,0.12237572526877466,0.1209962245767872,0.12324686667472881,0.12259832799795256,0.1225570776255707
T7,0.13842115356827472,0.1528472137544202,0.1521759951295913,0.15368464410988897,0.1232951241571891,0.12331009279127636,0.0,0.12288709290952418,0.12328858558515077,0.13842115356827472,0.12293375700529559,0.12329512415718909,0.1231648135634867,0.1229081100962422,0.12295045438713154
T8,0.1374401219500016,0.15088526125616034,0.1501973883996356,0.1529261777561923,0.12231409253891598,0.12232906117300324,0.12288709290952418,0.0,0.11939138818540981,0.1374401219500016,0.1175320708613317,0.12231409253891597,0.1228238667929766,0.119330718313312,0.1199293458399317
T9,0.1378416146256282,0.15128675393178692,0.15159645618694478,0.15310510516724243,0.12271558521454257,0.12273055384862983,0.12328858558515077,0.11939138818540981,0.0,0.1378416146256282,0.11943805228118122,0.12271558521454257,0.1232253594686032,0.1177696078431372,0.12018735379628882
T10,0.0,0.151756184687801,0.15206588694295883,0.15357453592325648,0.1372675443404061,0.1372825129744934,0.13842115356827472,0.1374401219500016,0.1378416146256282,0.0,0.13748678604577302,0.1372675443404061,0.13835792745172715,0.13770938877495092,0.13750348342760896
T11,0.13748678604577302,0.15093192535193176,0.1512416276070896,0.15275027658738727,0.1223607566346874,0.12237572526877466,0.12293375700529559,0.1175320708613317,0.11943805228118122,0.13748678604577302,0.0,0.12236075663468739,0.12287053088874803,0.11930582643050396,0.11983252521643364
T12,0.1372675443404061,0.15071268364656484,0.1510223859017227,0.15253103488202036,0.0357339197361187,0.1209962245767872,0.12329512415718909,0.12231409253891597,0.12271558521454257,0.1372675443404061,0.12236075663468739,0.0,0.12323189804064155,0.1225833593638653,0.12237745401652333
T13,0.13835792745172715,0.1518030667578859,0.15211276901304377,0.1536214179933414,0.12323189804064155,0.12324686667472881,0.1231648135634867,0.1228238667929766,0.1232253594686032,0.13835792745172715,0.12287053088874803,0.12323189804064155,0.0,0.12309313361792595,0.12288722827058399
T14,0.1376624969340201,0.1520963973933358,0.15146423033626752,0.15297287931656517,0.1225833593638653,0.12259832799795256,0.1229081100962422,0.119330718313312,0.1177696078431372,0.13770938877495092,0.11930582643050396,0.1225833593638653,0.12309313361792595,0.0,0.12005512794561156
T15,0.13750348342760896,0.1509486227337677,0.15125832498892555,0.1527669739692232,0.12237745401652333,0.1225570776255707,0.12295045438713154,0.1199293458399317,0.12018735379628882,0.13750348342760896,0.11983252521643364,0.12237745401652333,0.12288722827058399,0.12005512794561156,0.0
