,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,0.1507675438596491,-1.0,0.1527297018278982,-1.0,-1.0,0.1435863158534362,0.1373119844735565,0.1407330986770239,0.1423102631099228,-1.0,-1.0,-1.0,0.1376624969340201,-1.0
T2,0.1507675438596491,0.0,0.075025818601543,0.0739301972685887,0.1531100478468899,-1.0,0.1528472137544202,0.151568687176363,0.1559264222195151,0.1510883482714468,-1.0,-1.0,-1.0,0.1520963973933358,-1.0
T3,-1.0,0.075025818601543,0.0,-1.0,0.153926188873248,-1.0,-1.0,0.1501973883996356,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
T4,0.1527297018278982,0.0739301972685887,-1.0,0.0,-1.0,0.154882563573466,0.1548559620760909,0.1529261777561923,-1.0,0.154056517775752,0.1520410657540943,-1.0,-1.0,0.1509225770857598,0.1547510209057109
T5,-1.0,0.1531100478468899,0.153926188873248,-1.0,0.0,0.1206991382998227,0.1241590214067278,0.1198875099345845,0.1206527718354623,0.1249923524013459,-1.0,0.0357339197361187,0.0404400467088685,0.0401372633127029,0.0521170648255636
T6,-1.0,-1.0,-1.0,0.154882563573466,0.1206991382998227,0.0,0.1244840980820587,-1.0,-1.0,0.1228304405874499,-1.0,0.1209962245767872,0.1190081630147916,-1.0,0.1225570776255707
T7,0.1435863158534362,0.1528472137544202,-1.0,0.1548559620760909,0.1241590214067278,0.1244840980820587,0.0,0.1260626669905271,-1.0,0.1197473888753947,-1.0,-1.0,0.1231648135634867,-1.0,-1.0
T8,0.1373119844735565,0.151568687176363,0.1501973883996356,0.1529261777561923,0.1198875099345845,-1.0,0.1260626669905271,0.0,-1.0,-1.0,-1.0,0.1195519844168492,0.1185348794404564,-1.0,0.1199293458399317
T9,0.1407330986770239,0.1559264222195151,-1.0,-1.0,0.1206527718354623,-1.0,-1.0,-1.0,0.0,-1.0,0.1174494594759665,-1.0,-1.0,0.1177696078431372,-1.0
T10,0.1423102631099228,0.1510883482714468,-1.0,0.154056517775752,0.1249923524013459,0.1228304405874499,0.1197473888753947,-1.0,-1.0,0.0,0.1240295861605232,0.1256247714250883,-1.0,-1.0,-1.0
T11,-1.0,-1.0,-1.0,0.1520410657540943,-1.0,-1.0,-1.0,-1.0,0.1174494594759665,0.1240295861605232,0.0,-1.0,-1.0,0.0382707733757883,0.0519115671186026
T12,-1.0,-1.0,-1.0,-1.0,0.0357339197361187,0.1209962245767872,-1.0,0.1195519844168492,-1.0,0.1256247714250883,-1.0,0.0,0.038749233599019,-1.0,-1.0
T13,-1.0,-1.0,-1.0,-1.0,0.0404400467088685,0.1190081630147916,0.1231648135634867,0.1185348794404564,-1.0,-1.0,-1.0,0.038749233599019,0.0,-1.0,0.0508172545164065
T14,0.1376624969340201,0.1520963973933358,-1.0,0.1509225770857598,0.0401372633127029,-1.0,-1.0,-1.0,0.1177696078431372,-1.0,0.0382707733757883,-1.0,-1.0,0.0,0.0527992159745191
T15,-1.0,-1.0,-1.0,0.1547510209057109,0.0521170648255636,0.1225570776255707,-1.0,0.1199293458399317,-1.0,-1.0,0.0519115671186026,-1.0,0.0508172545164065,0.0527992159745191,0.0
