method,pct_missing,frac_missing_requested,missingness_actual,replicate,mask_seed,n_pairs_total,n_missing,n_observed,optimized_variables,success,success_numerical,success_valid_matrix,objective_improved,error_message,masked_file,completed_file,run_log_file,runtime_seconds,Delta_total_completed,Delta_normalized_completed,Delta_per_triangle_completed,Delta_relative_to_original,Delta_original,Delta_normalized_original,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,max_abs_error_observed,mean_abs_error_observed,Delta_init,Delta_final,Delta_reduction_percent,best_epoch,epochs_used,convergence_epoch,final_learning_rate,stepA_method,stepA_loops,stepA_estimated_pairs,stepA_unfilled_pairs,MW_Qw_final,weighted_fit_pairs,final_tree_edges,n_start_pairs,best_start_pair,n_weighted_lsq_fits,n_graft_evaluations,nnls_backend
MW-proj,30,0.3,0.3047619047619048,1,55,105,32,73,27,True,True,True,True,,missing_p30_rep01_seed55.csv,MWproj_completed_p30_rep01_seed55.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep01_seed55.log,14.302520691999234,42.40040375176456,0.018055590715541952,0.0931877005533287,0.7244965294595593,58.523957020737264,0.022445654481427994,0.019170584550136715,0.006231557044592636,0.8943907011282652,0.844941348973607,0.0,0.0,235.94201448624833,42.40040375176456,82.02931180184704,0,0,0,,ultrametric,2,32,0,0.00013247908625651722,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,2,56,105,32,73,27,True,True,True,True,,missing_p30_rep02_seed56.csv,MWproj_completed_p30_rep02_seed56.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep02_seed56.log,15.30055290600285,51.39061793093609,0.019970429631325653,0.11294641303502437,0.8781124952423576,58.523957020737264,0.022445654481427994,0.023376417186156698,0.008907065170975491,0.713968830786802,0.6763196480938416,0.0,0.0,371.7282660802371,51.39061793093609,86.17521920707438,0,0,0,,ultrametric,2,32,0,0.00011865657176363215,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,3,57,105,32,73,27,True,True,True,True,,missing_p30_rep03_seed57.csv,MWproj_completed_p30_rep03_seed57.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep03_seed57.log,14.581148211000254,37.84842633249785,0.016445445490926747,0.08318335457691836,0.6467168021309071,58.523957020737264,0.022445654481427994,0.003687937519055033,0.0017971344429137447,0.9968044309487482,0.9582111436950146,0.0,0.0,292.81209651272036,37.84842633249785,87.07415889464333,0,0,0,,ultrametric,2,32,0,0.00014046707678520097,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,4,58,105,32,73,27,True,True,True,True,,missing_p30_rep04_seed58.csv,MWproj_completed_p30_rep04_seed58.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep04_seed58.log,16.792250762009644,39.63962043969364,0.017117298274288813,0.08712004492240359,0.6773229709270652,58.523957020737264,0.022445654481427994,0.003638557315603963,0.0016840784581077782,0.9962076537588431,0.9794721407624633,0.0,0.0,273.6673429290945,39.63962043969364,85.51539982249032,0,0,0,,ultrametric,2,32,0,0.0001348007197031058,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,5,59,105,32,73,27,True,True,True,True,,missing_p30_rep05_seed59.csv,MWproj_completed_p30_rep05_seed59.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep05_seed59.log,15.857157418999122,52.392234033672295,0.01987696938500786,0.11514776710697208,0.8952271292097992,58.523957020737264,0.022445654481427994,0.0021002294238822617,0.0016045714101548232,0.9986269254885296,0.9252199413489736,0.0,0.0,368.00930841971433,52.392234033672295,85.76333999304197,0,0,0,,ultrametric,2,32,0,0.00012236968147296345,105,27,105,"(0, 2)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,6,60,105,32,73,27,True,True,True,True,,missing_p30_rep06_seed60.csv,MWproj_completed_p30_rep06_seed60.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep06_seed60.log,12.880800872007967,52.25725830808239,0.020151771292066543,0.11485111716062064,0.8929207963426953,58.523957020737264,0.022445654481427994,0.0015845747832405198,0.001124566846929388,0.9987387151718192,0.9167888563049852,0.0,0.0,481.80217742019164,52.25725830808239,89.15379366114664,0,0,0,,ultrametric,2,32,0,0.00011858653016080194,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,7,61,105,32,73,27,True,True,True,True,,missing_p30_rep07_seed61.csv,MWproj_completed_p30_rep07_seed61.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep07_seed61.log,17.25263317799545,52.20046097544389,0.019736449817458014,0.11472628785811843,0.8919502992073363,58.523957020737264,0.022445654481427994,0.010439107320548011,0.003279264673138898,0.9666512400831472,0.9552785923753665,0.0,0.0,175.13062221926822,52.20046097544389,70.19341317129135,0,0,0,,ultrametric,2,32,0,0.00011540279663700811,105,27,105,"(0, 2)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,8,62,105,32,73,27,True,True,True,True,,missing_p30_rep08_seed62.csv,MWproj_completed_p30_rep08_seed62.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep08_seed62.log,16.02023956499761,50.860037126368766,0.02001912997337585,0.11178030137663465,0.8690464506415231,58.523957020737264,0.022445654481427994,0.010360864089354988,0.003123304054852051,0.9641563248405445,0.9743401759530791,0.0,0.0,319.5083426135769,50.860037126368766,84.08178117969194,0,0,0,,ultrametric,2,32,0,0.00010444382001347135,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,9,63,105,32,73,27,True,True,True,True,,missing_p30_rep09_seed63.csv,MWproj_completed_p30_rep09_seed63.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep09_seed63.log,17.002583426001365,55.20234379468258,0.021054255581777426,0.12132383251578588,0.943243529741543,58.523957020737264,0.022445654481427994,0.010369209205757377,0.0031370877203354946,0.9700298471876723,0.9780058651026392,0.0,0.0,216.83061619167486,55.20234379468258,74.54125954893539,0,0,0,,ultrametric,2,32,0,0.00011268332552382344,105,27,105,"(0, 12)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,10,64,105,32,73,27,True,True,True,True,,missing_p30_rep10_seed64.csv,MWproj_completed_p30_rep10_seed64.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep10_seed64.log,16.024569824003265,37.02802593135242,0.01598220238364835,0.08138027677220311,0.6326986044062601,58.523957020737264,0.022445654481427994,0.02343853753670627,0.008690997994436973,0.8371675868946931,0.8229472140762463,0.0,0.0,272.1248620774025,37.02802593135242,86.39300148884585,0,0,0,,ultrametric,2,32,0,0.00014142154890759285,105,27,105,"(1, 4)",20580,17745,scipy.optimize.nnls
