method,pct_missing,replicate,mask_seed,file,path,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,runtime_seconds,success,success_numerical,success_valid_matrix,epochs_used,convergence_epoch,Delta_normalized_completed,Delta_relative_to_original,max_abs_error_observed,mean_abs_error_observed,masked_file,completed_file,error_message
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep01_seed55.csv,0.3047619047619048,105,32,73,27,0.0191705845501367,0.0062315570445926,0.8943907011282652,0.844941348973607,14.302520691999234,True,True,True,0,0,0.0180555907155419,0.7244965294595593,0.0,0.0,missing_p30_rep01_seed55.csv,MWproj_completed_p30_rep01_seed55.csv,
MW-proj,30,2,56,MWproj_completed_p30_rep02_seed56.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep02_seed56.csv,0.3047619047619048,105,32,73,27,0.0233764171861566,0.0089070651709754,0.713968830786802,0.6763196480938416,15.30055290600285,True,True,True,0,0,0.0199704296313256,0.8781124952423576,0.0,0.0,missing_p30_rep02_seed56.csv,MWproj_completed_p30_rep02_seed56.csv,
MW-proj,30,3,57,MWproj_completed_p30_rep03_seed57.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep03_seed57.csv,0.3047619047619048,105,32,73,27,0.003687937519055,0.0017971344429137,0.9968044309487482,0.9582111436950146,14.581148211000254,True,True,True,0,0,0.0164454454909267,0.6467168021309071,0.0,0.0,missing_p30_rep03_seed57.csv,MWproj_completed_p30_rep03_seed57.csv,
MW-proj,30,4,58,MWproj_completed_p30_rep04_seed58.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep04_seed58.csv,0.3047619047619048,105,32,73,27,0.0036385573156039,0.0016840784581077,0.9962076537588432,0.9794721407624633,16.792250762009644,True,True,True,0,0,0.0171172982742888,0.6773229709270652,0.0,0.0,missing_p30_rep04_seed58.csv,MWproj_completed_p30_rep04_seed58.csv,
MW-proj,30,5,59,MWproj_completed_p30_rep05_seed59.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep05_seed59.csv,0.3047619047619048,105,32,73,27,0.0021002294238822,0.0016045714101548,0.9986269254885296,0.9252199413489736,15.857157418999122,True,True,True,0,0,0.0198769693850078,0.8952271292097992,0.0,0.0,missing_p30_rep05_seed59.csv,MWproj_completed_p30_rep05_seed59.csv,
MW-proj,30,6,60,MWproj_completed_p30_rep06_seed60.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep06_seed60.csv,0.3047619047619048,105,32,73,27,0.0015845747832405,0.0011245668469293,0.9987387151718192,0.9167888563049852,12.880800872007969,True,True,True,0,0,0.0201517712920665,0.8929207963426953,0.0,0.0,missing_p30_rep06_seed60.csv,MWproj_completed_p30_rep06_seed60.csv,
MW-proj,30,7,61,MWproj_completed_p30_rep07_seed61.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep07_seed61.csv,0.3047619047619048,105,32,73,27,0.010439107320548,0.0032792646731388,0.9666512400831472,0.9552785923753664,17.25263317799545,True,True,True,0,0,0.019736449817458,0.8919502992073363,0.0,0.0,missing_p30_rep07_seed61.csv,MWproj_completed_p30_rep07_seed61.csv,
MW-proj,30,8,62,MWproj_completed_p30_rep08_seed62.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep08_seed62.csv,0.3047619047619048,105,32,73,27,0.0103608640893549,0.003123304054852,0.9641563248405444,0.9743401759530792,16.02023956499761,True,True,True,0,0,0.0200191299733758,0.8690464506415231,0.0,0.0,missing_p30_rep08_seed62.csv,MWproj_completed_p30_rep08_seed62.csv,
MW-proj,30,9,63,MWproj_completed_p30_rep09_seed63.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep09_seed63.csv,0.3047619047619048,105,32,73,27,0.0103692092057573,0.0031370877203354,0.9700298471876724,0.9780058651026392,17.002583426001365,True,True,True,0,0,0.0210542555817774,0.943243529741543,0.0,0.0,missing_p30_rep09_seed63.csv,MWproj_completed_p30_rep09_seed63.csv,
MW-proj,30,10,64,MWproj_completed_p30_rep10_seed64.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep10_seed64.csv,0.3047619047619048,105,32,73,27,0.0234385375367062,0.0086909979944369,0.8371675868946931,0.8229472140762463,16.024569824003265,True,True,True,0,0,0.0159822023836483,0.6326986044062601,0.0,0.0,missing_p30_rep10_seed64.csv,MWproj_completed_p30_rep10_seed64.csv,
