method,pct_missing,replicate,mask_seed,file,path,success_tree,error_message_tree,nj_tree_file,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,runtime_seconds,success,success_numerical,success_valid_matrix,epochs_used,convergence_epoch,Delta_normalized_completed,Delta_relative_to_original,max_abs_error_observed,mean_abs_error_observed,RF,nRF,shared_splits,ref_splits,est_splits,split_precision,split_recall,split_F1,false_positive_splits,false_negative_splits,nj_vs_ML_pat_MAE,nj_vs_ML_pat_RMSE,nj_vs_ML_pat_Pearson,nj_vs_ML_pat_Spearman,input_vs_ML_pat_MAE,input_vs_ML_pat_RMSE,input_vs_ML_pat_Pearson,input_vs_ML_pat_Spearman,n_taxa,matched_matrix_labels_json
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep01_seed55.csv,True,,MW-proj_NJ_p30_rep01_seed55.treefile,0.3047619047619048,105,32,73,27,0.0191705845501367,0.0062315570445926,0.8943907011282652,0.844941348973607,14.302520691999234,True,True,True,0,0,0.0180555907155419,0.7244965294595593,0.0,0.0,8.0,0.3333333333333333,8.0,12.0,12.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,Cercocebus_atys_KT159932|Cercocebus_chrysogaster_KC757390;Cercopithecus_aethiops_AY863426|Chlorocebus_aethiops_C1_KU682691;Cercopithecus_aethiops_AY863426|Chlorocebus_aethiops_C1_KU682691|Chlorocebus_aethiops_MN816163|Chlorocebus_cynosuros_KM262190;Allenopithecus_nigroviridis_KJ434962|Cercocebus_atys_KT159932|Cercocebus_chrysogaster_KC757390|Cercocebus_torquatus_KJ434959|Cercopithecus_diana_KJ434958|Cercopithecus_neglectus_MW160353,Cercocebus_atys_KT159932|Cercocebus_torquatus_KJ434959;Chlorocebus_aethiops_C1_KU682691|Chlorocebus_aethiops_MN816163;Chlorocebus_cynosuros_C3_KU682693|Chlorocebus_cynosuros_KM262190;Cercopithecus_albogularis_KC757391|Cercopithecus_diana_KJ434958|Cercopithecus_lhoesti_KJ434957|Cercopithecus_mitis_KJ434956|Cercopithecus_neglectus_MW160353,0.13679258688493418,0.15384900556874814,0.9343867955429426,0.9083454281567489,0.1367548489646001,0.15378608678765487,0.9344258097254013,0.894132282811528,15,"{""0"":""Allenopithecus_nigroviridis_KJ434962"",""1"":""Cercocebus_atys_KT159932"",""2"":""Cercocebus_torquatus_KJ434959"",""3"":""Cercocebus_chrysogaster_KC757390"",""4"":""Cercopithecus_aethiops_AY863426"",""5"":""Chlorocebus_aethiops_C1_KU682691"",""6"":""Chlorocebus_aethiops_MN816163"",""7"":""Chlorocebus_cynosuros_C3_KU682693"",""8"":""Chlorocebus_cynosuros_KM262190"",""9"":""Chlorocebus_djamdjamensis_C5_KU682695"",""10"":""Cercopithecus_albogularis_KC757391"",""11"":""Cercopithecus_mitis_KJ434956"",""12"":""Cercopithecus_lhoesti_KJ434957"",""13"":""Cercopithecus_diana_KJ434958"",""14"":""Cercopithecus_neglectus_MW160353""}"
MW-proj,30,2,56,MWproj_completed_p30_rep02_seed56.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep02_seed56.csv,True,,MW-proj_NJ_p30_rep02_seed56.treefile,0.3047619047619048,105,32,73,27,0.0233764171861566,0.0089070651709754,0.713968830786802,0.6763196480938416,15.30055290600285,True,True,True,0,0,0.0199704296313256,0.8781124952423576,0.0,0.0,10.0,0.4166666666666667,7.0,12.0,12.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,Cercocebus_chrysogaster_KC757390|Cercocebus_torquatus_KJ434959;Cercopithecus_aethiops_AY863426|Chlorocebus_aethiops_C1_KU682691|Chlorocebus_aethiops_MN816163|Chlorocebus_cynosuros_KM262190;Allenopithecus_nigroviridis_KJ434962|Cercocebus_atys_KT159932|Cercocebus_chrysogaster_KC757390|Cercocebus_torquatus_KJ434959|Cercopithecus_neglectus_MW160353;Allenopithecus_nigroviridis_KJ434962|Cercocebus_atys_KT159932|Cercocebus_chrysogaster_KC757390|Cercocebus_torquatus_KJ434959|Cercopithecus_diana_KJ434958|Cercopithecus_neglectus_MW160353;Allenopithecus_nigroviridis_KJ434962|Cercocebus_atys_KT159932|Cercocebus_chrysogaster_KC757390|Cercocebus_torquatus_KJ434959|Cercopithecus_diana_KJ434958|Cercopithecus_lhoesti_KJ434957|Cercopithecus_neglectus_MW160353,Cercocebus_atys_KT159932|Cercocebus_torquatus_KJ434959;Cercopithecus_diana_KJ434958|Cercopithecus_neglectus_MW160353;Chlorocebus_cynosuros_C3_KU682693|Chlorocebus_cynosuros_KM262190;Cercopithecus_albogularis_KC757391|Cercopithecus_lhoesti_KJ434957|Cercopithecus_mitis_KJ434956;Cercopithecus_albogularis_KC757391|Cercopithecus_diana_KJ434958|Cercopithecus_lhoesti_KJ434957|Cercopithecus_mitis_KJ434956|Cercopithecus_neglectus_MW160353,0.13661309602335006,0.1538341869303585,0.9092663568463702,0.873056189093925,0.1364829069539545,0.15370754967755137,0.9089506567725587,0.8662369537582322,15,"{""0"":""Allenopithecus_nigroviridis_KJ434962"",""1"":""Cercocebus_atys_KT159932"",""2"":""Cercocebus_torquatus_KJ434959"",""3"":""Cercocebus_chrysogaster_KC757390"",""4"":""Cercopithecus_aethiops_AY863426"",""5"":""Chlorocebus_aethiops_C1_KU682691"",""6"":""Chlorocebus_aethiops_MN816163"",""7"":""Chlorocebus_cynosuros_C3_KU682693"",""8"":""Chlorocebus_cynosuros_KM262190"",""9"":""Chlorocebus_djamdjamensis_C5_KU682695"",""10"":""Cercopithecus_albogularis_KC757391"",""11"":""Cercopithecus_mitis_KJ434956"",""12"":""Cercopithecus_lhoesti_KJ434957"",""13"":""Cercopithecus_diana_KJ434958"",""14"":""Cercopithecus_neglectus_MW160353""}"
MW-proj,30,3,57,MWproj_completed_p30_rep03_seed57.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep03_seed57.csv,True,,MW-proj_NJ_p30_rep03_seed57.treefile,0.3047619047619048,105,32,73,27,0.003687937519055,0.0017971344429137,0.9968044309487482,0.9582111436950146,14.581148211000254,True,True,True,0,0,0.0164454454909267,0.6467168021309071,0.0,0.0,6.0,0.25,9.0,12.0,12.0,0.75,0.75,0.75,Cercopithecus_aethiops_AY863426|Chlorocebus_aethiops_MN816163;Cercopithecus_aethiops_AY863426|Chlorocebus_aethiops_C1_KU682691|Chlorocebus_aethiops_MN816163|Chlorocebus_cynosuros_KM262190;Allenopithecus_nigroviridis_KJ434962|Cercocebus_atys_KT159932|Cercocebus_chrysogaster_KC757390|Cercocebus_torquatus_KJ434959|Cercopithecus_diana_KJ434958|Cercopithecus_neglectus_MW160353,Chlorocebus_aethiops_C1_KU682691|Chlorocebus_aethiops_MN816163;Chlorocebus_cynosuros_C3_KU682693|Chlorocebus_cynosuros_KM262190;Cercopithecus_albogularis_KC757391|Cercopithecus_diana_KJ434958|Cercopithecus_lhoesti_KJ434957|Cercopithecus_mitis_KJ434956|Cercopithecus_neglectus_MW160353,0.1365836006012113,0.15378485762143632,0.9795337097897119,0.9377565830396019,0.1365463562998029,0.153735831580916,0.9793560251056491,0.9311344887406576,15,"{""0"":""Allenopithecus_nigroviridis_KJ434962"",""1"":""Cercocebus_atys_KT159932"",""2"":""Cercocebus_torquatus_KJ434959"",""3"":""Cercocebus_chrysogaster_KC757390"",""4"":""Cercopithecus_aethiops_AY863426"",""5"":""Chlorocebus_aethiops_C1_KU682691"",""6"":""Chlorocebus_aethiops_MN816163"",""7"":""Chlorocebus_cynosuros_C3_KU682693"",""8"":""Chlorocebus_cynosuros_KM262190"",""9"":""Chlorocebus_djamdjamensis_C5_KU682695"",""10"":""Cercopithecus_albogularis_KC757391"",""11"":""Cercopithecus_mitis_KJ434956"",""12"":""Cercopithecus_lhoesti_KJ434957"",""13"":""Cercopithecus_diana_KJ434958"",""14"":""Cercopithecus_neglectus_MW160353""}"
MW-proj,30,4,58,MWproj_completed_p30_rep04_seed58.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep04_seed58.csv,True,,MW-proj_NJ_p30_rep04_seed58.treefile,0.3047619047619048,105,32,73,27,0.0036385573156039,0.0016840784581077,0.9962076537588432,0.9794721407624633,16.792250762009644,True,True,True,0,0,0.0171172982742888,0.6773229709270652,0.0,0.0,8.0,0.3333333333333333,8.0,12.0,12.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,Cercocebus_atys_KT159932|Cercocebus_chrysogaster_KC757390;Cercopithecus_aethiops_AY863426|Chlorocebus_aethiops_MN816163;Cercopithecus_aethiops_AY863426|Chlorocebus_aethiops_C1_KU682691|Chlorocebus_aethiops_MN816163|Chlorocebus_cynosuros_C3_KU682693;Allenopithecus_nigroviridis_KJ434962|Cercocebus_atys_KT159932|Cercocebus_chrysogaster_KC757390|Cercocebus_torquatus_KJ434959|Cercopithecus_diana_KJ434958|Cercopithecus_neglectus_MW160353,Cercocebus_atys_KT159932|Cercocebus_torquatus_KJ434959;Chlorocebus_aethiops_C1_KU682691|Chlorocebus_aethiops_MN816163;Chlorocebus_cynosuros_C3_KU682693|Chlorocebus_cynosuros_KM262190;Cercopithecus_albogularis_KC757391|Cercopithecus_diana_KJ434958|Cercopithecus_lhoesti_KJ434957|Cercopithecus_mitis_KJ434956|Cercopithecus_neglectus_MW160353,0.1365514934316402,0.15370408721555298,0.9790212160206169,0.9422973253161933,0.1364987843798856,0.15363556365646758,0.9789395945043953,0.9374480029266475,15,"{""0"":""Allenopithecus_nigroviridis_KJ434962"",""1"":""Cercocebus_atys_KT159932"",""2"":""Cercocebus_torquatus_KJ434959"",""3"":""Cercocebus_chrysogaster_KC757390"",""4"":""Cercopithecus_aethiops_AY863426"",""5"":""Chlorocebus_aethiops_C1_KU682691"",""6"":""Chlorocebus_aethiops_MN816163"",""7"":""Chlorocebus_cynosuros_C3_KU682693"",""8"":""Chlorocebus_cynosuros_KM262190"",""9"":""Chlorocebus_djamdjamensis_C5_KU682695"",""10"":""Cercopithecus_albogularis_KC757391"",""11"":""Cercopithecus_mitis_KJ434956"",""12"":""Cercopithecus_lhoesti_KJ434957"",""13"":""Cercopithecus_diana_KJ434958"",""14"":""Cercopithecus_neglectus_MW160353""}"
MW-proj,30,5,59,MWproj_completed_p30_rep05_seed59.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep05_seed59.csv,True,,MW-proj_NJ_p30_rep05_seed59.treefile,0.3047619047619048,105,32,73,27,0.0021002294238822,0.0016045714101548,0.9986269254885296,0.9252199413489736,15.857157418999122,True,True,True,0,0,0.0198769693850078,0.8952271292097992,0.0,0.0,2.0,0.08333333333333333,11.0,12.0,12.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,Allenopithecus_nigroviridis_KJ434962|Cercocebus_atys_KT159932|Cercocebus_chrysogaster_KC757390|Cercocebus_torquatus_KJ434959|Cercopithecus_diana_KJ434958|Cercopithecus_neglectus_MW160353,Cercopithecus_albogularis_KC757391|Cercopithecus_diana_KJ434958|Cercopithecus_lhoesti_KJ434957|Cercopithecus_mitis_KJ434956|Cercopithecus_neglectus_MW160353,0.1368154013947833,0.15406766316695147,0.9790445724895409,0.9601285506945885,0.13681702696867037,0.15407302241282636,0.9787328971592361,0.9515239477503629,15,"{""0"":""Allenopithecus_nigroviridis_KJ434962"",""1"":""Cercocebus_atys_KT159932"",""2"":""Cercocebus_torquatus_KJ434959"",""3"":""Cercocebus_chrysogaster_KC757390"",""4"":""Cercopithecus_aethiops_AY863426"",""5"":""Chlorocebus_aethiops_C1_KU682691"",""6"":""Chlorocebus_aethiops_MN816163"",""7"":""Chlorocebus_cynosuros_C3_KU682693"",""8"":""Chlorocebus_cynosuros_KM262190"",""9"":""Chlorocebus_djamdjamensis_C5_KU682695"",""10"":""Cercopithecus_albogularis_KC757391"",""11"":""Cercopithecus_mitis_KJ434956"",""12"":""Cercopithecus_lhoesti_KJ434957"",""13"":""Cercopithecus_diana_KJ434958"",""14"":""Cercopithecus_neglectus_MW160353""}"
MW-proj,30,6,60,MWproj_completed_p30_rep06_seed60.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep06_seed60.csv,True,,MW-proj_NJ_p30_rep06_seed60.treefile,0.3047619047619048,105,32,73,27,0.0015845747832405,0.0011245668469293,0.9987387151718192,0.9167888563049852,12.880800872007969,True,True,True,0,0,0.0201517712920665,0.8929207963426953,0.0,0.0,4.0,0.16666666666666666,10.0,12.0,12.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,Cercocebus_atys_KT159932|Cercocebus_chrysogaster_KC757390;Allenopithecus_nigroviridis_KJ434962|Cercocebus_atys_KT159932|Cercocebus_chrysogaster_KC757390|Cercocebus_torquatus_KJ434959|Cercopithecus_diana_KJ434958|Cercopithecus_neglectus_MW160353,Cercocebus_atys_KT159932|Cercocebus_torquatus_KJ434959;Cercopithecus_albogularis_KC757391|Cercopithecus_diana_KJ434958|Cercopithecus_lhoesti_KJ434957|Cercopithecus_mitis_KJ434956|Cercopithecus_neglectus_MW160353,0.13650412435627793,0.15381712739153394,0.9782249048543146,0.9501347708894878,0.13647462590211978,0.15377651541986118,0.9780742444465724,0.9462678830603358,15,"{""0"":""Allenopithecus_nigroviridis_KJ434962"",""1"":""Cercocebus_atys_KT159932"",""2"":""Cercocebus_torquatus_KJ434959"",""3"":""Cercocebus_chrysogaster_KC757390"",""4"":""Cercopithecus_aethiops_AY863426"",""5"":""Chlorocebus_aethiops_C1_KU682691"",""6"":""Chlorocebus_aethiops_MN816163"",""7"":""Chlorocebus_cynosuros_C3_KU682693"",""8"":""Chlorocebus_cynosuros_KM262190"",""9"":""Chlorocebus_djamdjamensis_C5_KU682695"",""10"":""Cercopithecus_albogularis_KC757391"",""11"":""Cercopithecus_mitis_KJ434956"",""12"":""Cercopithecus_lhoesti_KJ434957"",""13"":""Cercopithecus_diana_KJ434958"",""14"":""Cercopithecus_neglectus_MW160353""}"
MW-proj,30,7,61,MWproj_completed_p30_rep07_seed61.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep07_seed61.csv,True,,MW-proj_NJ_p30_rep07_seed61.treefile,0.3047619047619048,105,32,73,27,0.010439107320548,0.0032792646731388,0.9666512400831472,0.9552785923753664,17.25263317799545,True,True,True,0,0,0.019736449817458,0.8919502992073363,0.0,0.0,6.0,0.25,9.0,12.0,12.0,0.75,0.75,0.75,Chlorocebus_aethiops_C1_KU682691|Chlorocebus_aethiops_MN816163|Chlorocebus_cynosuros_C3_KU682693;Chlorocebus_aethiops_C1_KU682691|Chlorocebus_aethiops_MN816163|Chlorocebus_cynosuros_C3_KU682693|Chlorocebus_cynosuros_KM262190;Allenopithecus_nigroviridis_KJ434962|Cercocebus_atys_KT159932|Cercocebus_chrysogaster_KC757390|Cercocebus_torquatus_KJ434959|Cercopithecus_diana_KJ434958|Cercopithecus_neglectus_MW160353,Chlorocebus_cynosuros_C3_KU682693|Chlorocebus_cynosuros_KM262190;Cercopithecus_aethiops_AY863426|Chlorocebus_aethiops_C1_KU682691|Chlorocebus_aethiops_MN816163;Cercopithecus_albogularis_KC757391|Cercopithecus_diana_KJ434958|Cercopithecus_lhoesti_KJ434957|Cercopithecus_mitis_KJ434956|Cercopithecus_neglectus_MW160353,0.13654992424735746,0.1537230607092728,0.9679621019753706,0.9439353099730456,0.13654295332157776,0.15373838332474962,0.967647475277143,0.9374559402861289,15,"{""0"":""Allenopithecus_nigroviridis_KJ434962"",""1"":""Cercocebus_atys_KT159932"",""2"":""Cercocebus_torquatus_KJ434959"",""3"":""Cercocebus_chrysogaster_KC757390"",""4"":""Cercopithecus_aethiops_AY863426"",""5"":""Chlorocebus_aethiops_C1_KU682691"",""6"":""Chlorocebus_aethiops_MN816163"",""7"":""Chlorocebus_cynosuros_C3_KU682693"",""8"":""Chlorocebus_cynosuros_KM262190"",""9"":""Chlorocebus_djamdjamensis_C5_KU682695"",""10"":""Cercopithecus_albogularis_KC757391"",""11"":""Cercopithecus_mitis_KJ434956"",""12"":""Cercopithecus_lhoesti_KJ434957"",""13"":""Cercopithecus_diana_KJ434958"",""14"":""Cercopithecus_neglectus_MW160353""}"
MW-proj,30,8,62,MWproj_completed_p30_rep08_seed62.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep08_seed62.csv,True,,MW-proj_NJ_p30_rep08_seed62.treefile,0.3047619047619048,105,32,73,27,0.0103608640893549,0.003123304054852,0.9641563248405444,0.9743401759530792,16.02023956499761,True,True,True,0,0,0.0200191299733758,0.8690464506415231,0.0,0.0,2.0,0.08333333333333333,11.0,12.0,12.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,Allenopithecus_nigroviridis_KJ434962|Cercocebus_atys_KT159932|Cercocebus_chrysogaster_KC757390|Cercocebus_torquatus_KJ434959|Cercopithecus_diana_KJ434958|Cercopithecus_neglectus_MW160353,Cercopithecus_albogularis_KC757391|Cercopithecus_diana_KJ434958|Cercopithecus_lhoesti_KJ434957|Cercopithecus_mitis_KJ434956|Cercopithecus_neglectus_MW160353,0.13694842466352283,0.15394337678228448,0.9678533565582671,0.9411362222682976,0.13694023170417516,0.15394281428588547,0.9675593899046978,0.9347059265683645,15,"{""0"":""Allenopithecus_nigroviridis_KJ434962"",""1"":""Cercocebus_atys_KT159932"",""2"":""Cercocebus_torquatus_KJ434959"",""3"":""Cercocebus_chrysogaster_KC757390"",""4"":""Cercopithecus_aethiops_AY863426"",""5"":""Chlorocebus_aethiops_C1_KU682691"",""6"":""Chlorocebus_aethiops_MN816163"",""7"":""Chlorocebus_cynosuros_C3_KU682693"",""8"":""Chlorocebus_cynosuros_KM262190"",""9"":""Chlorocebus_djamdjamensis_C5_KU682695"",""10"":""Cercopithecus_albogularis_KC757391"",""11"":""Cercopithecus_mitis_KJ434956"",""12"":""Cercopithecus_lhoesti_KJ434957"",""13"":""Cercopithecus_diana_KJ434958"",""14"":""Cercopithecus_neglectus_MW160353""}"
MW-proj,30,9,63,MWproj_completed_p30_rep09_seed63.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep09_seed63.csv,True,,MW-proj_NJ_p30_rep09_seed63.treefile,0.3047619047619048,105,32,73,27,0.0103692092057573,0.0031370877203354,0.9700298471876724,0.9780058651026392,17.002583426001365,True,True,True,0,0,0.0210542555817774,0.943243529741543,0.0,0.0,4.0,0.16666666666666666,10.0,12.0,12.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,Cercopithecus_aethiops_AY863426|Chlorocebus_aethiops_C1_KU682691|Chlorocebus_aethiops_MN816163|Chlorocebus_cynosuros_KM262190;Allenopithecus_nigroviridis_KJ434962|Cercocebus_atys_KT159932|Cercocebus_chrysogaster_KC757390|Cercocebus_torquatus_KJ434959|Cercopithecus_diana_KJ434958|Cercopithecus_neglectus_MW160353,Chlorocebus_cynosuros_C3_KU682693|Chlorocebus_cynosuros_KM262190;Cercopithecus_albogularis_KC757391|Cercopithecus_diana_KJ434958|Cercopithecus_lhoesti_KJ434957|Cercopithecus_mitis_KJ434956|Cercopithecus_neglectus_MW160353,0.13671538325186622,0.15376640972763958,0.9687407425014924,0.9460709102218535,0.1367524167047446,0.15384063955669958,0.9679146922227425,0.9375800206430158,15,"{""0"":""Allenopithecus_nigroviridis_KJ434962"",""1"":""Cercocebus_atys_KT159932"",""2"":""Cercocebus_torquatus_KJ434959"",""3"":""Cercocebus_chrysogaster_KC757390"",""4"":""Cercopithecus_aethiops_AY863426"",""5"":""Chlorocebus_aethiops_C1_KU682691"",""6"":""Chlorocebus_aethiops_MN816163"",""7"":""Chlorocebus_cynosuros_C3_KU682693"",""8"":""Chlorocebus_cynosuros_KM262190"",""9"":""Chlorocebus_djamdjamensis_C5_KU682695"",""10"":""Cercopithecus_albogularis_KC757391"",""11"":""Cercopithecus_mitis_KJ434956"",""12"":""Cercopithecus_lhoesti_KJ434957"",""13"":""Cercopithecus_diana_KJ434958"",""14"":""Cercopithecus_neglectus_MW160353""}"
MW-proj,30,10,64,MWproj_completed_p30_rep10_seed64.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep10_seed64.csv,True,,MW-proj_NJ_p30_rep10_seed64.treefile,0.3047619047619048,105,32,73,27,0.0234385375367062,0.0086909979944369,0.8371675868946931,0.8229472140762463,16.024569824003265,True,True,True,0,0,0.0159822023836483,0.6326986044062601,0.0,0.0,8.0,0.3333333333333333,8.0,12.0,12.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,Cercocebus_chrysogaster_KC757390|Cercocebus_torquatus_KJ434959;Cercopithecus_aethiops_AY863426|Chlorocebus_aethiops_MN816163;Cercopithecus_aethiops_AY863426|Chlorocebus_aethiops_C1_KU682691|Chlorocebus_aethiops_MN816163|Chlorocebus_cynosuros_C3_KU682693;Allenopithecus_nigroviridis_KJ434962|Cercocebus_atys_KT159932|Cercocebus_chrysogaster_KC757390|Cercocebus_torquatus_KJ434959|Cercopithecus_diana_KJ434958|Cercopithecus_neglectus_MW160353,Cercocebus_atys_KT159932|Cercocebus_torquatus_KJ434959;Chlorocebus_aethiops_C1_KU682691|Chlorocebus_aethiops_MN816163;Chlorocebus_cynosuros_C3_KU682693|Chlorocebus_cynosuros_KM262190;Cercopithecus_albogularis_KC757391|Cercopithecus_diana_KJ434958|Cercopithecus_lhoesti_KJ434957|Cercopithecus_mitis_KJ434956|Cercopithecus_neglectus_MW160353,0.13672655069704967,0.15379624595783517,0.9137619711640509,0.8982479784366576,0.13670597483118943,0.1537694383278925,0.9133162159991982,0.886312684827476,15,"{""0"":""Allenopithecus_nigroviridis_KJ434962"",""1"":""Cercocebus_atys_KT159932"",""2"":""Cercocebus_torquatus_KJ434959"",""3"":""Cercocebus_chrysogaster_KC757390"",""4"":""Cercopithecus_aethiops_AY863426"",""5"":""Chlorocebus_aethiops_C1_KU682691"",""6"":""Chlorocebus_aethiops_MN816163"",""7"":""Chlorocebus_cynosuros_C3_KU682693"",""8"":""Chlorocebus_cynosuros_KM262190"",""9"":""Chlorocebus_djamdjamensis_C5_KU682695"",""10"":""Cercopithecus_albogularis_KC757391"",""11"":""Cercopithecus_mitis_KJ434956"",""12"":""Cercopithecus_lhoesti_KJ434957"",""13"":""Cercopithecus_diana_KJ434958"",""14"":""Cercopithecus_neglectus_MW160353""}"
