method,pct_missing,replicate,mask_seed,file,path
NJstar-STRICT,30,1,55,NJstar_STRICT_completed_p30_rep01_seed55.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep01_seed55.csv
NJstar-STRICT,30,2,56,NJstar_STRICT_completed_p30_rep02_seed56.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep02_seed56.csv
NJstar-STRICT,30,3,57,NJstar_STRICT_completed_p30_rep03_seed57.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep03_seed57.csv
NJstar-STRICT,30,4,58,NJstar_STRICT_completed_p30_rep04_seed58.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep04_seed58.csv
NJstar-STRICT,30,5,59,NJstar_STRICT_completed_p30_rep05_seed59.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep05_seed59.csv
NJstar-STRICT,30,6,60,NJstar_STRICT_completed_p30_rep06_seed60.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep06_seed60.csv
NJstar-STRICT,30,7,61,NJstar_STRICT_completed_p30_rep07_seed61.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep07_seed61.csv
NJstar-STRICT,30,8,62,NJstar_STRICT_completed_p30_rep08_seed62.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep08_seed62.csv
NJstar-STRICT,30,9,63,NJstar_STRICT_completed_p30_rep09_seed63.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep09_seed63.csv
NJstar-STRICT,30,10,64,NJstar_STRICT_completed_p30_rep10_seed64.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep10_seed64.csv
NJstar-STRICT,30,11,65,NJstar_STRICT_completed_p30_rep11_seed65.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep11_seed65.csv
NJstar-STRICT,30,12,66,NJstar_STRICT_completed_p30_rep12_seed66.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep12_seed66.csv
NJstar-STRICT,30,14,68,NJstar_STRICT_completed_p30_rep14_seed68.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep14_seed68.csv
NJstar-STRICT,30,15,69,NJstar_STRICT_completed_p30_rep15_seed69.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep15_seed69.csv
NJstar-STRICT,30,16,70,NJstar_STRICT_completed_p30_rep16_seed70.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep16_seed70.csv
NJstar-STRICT,30,17,71,NJstar_STRICT_completed_p30_rep17_seed71.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep17_seed71.csv
NJstar-STRICT,30,18,72,NJstar_STRICT_completed_p30_rep18_seed72.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep18_seed72.csv
NJstar-STRICT,30,19,73,NJstar_STRICT_completed_p30_rep19_seed73.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep19_seed73.csv
NJstar-STRICT,30,20,74,NJstar_STRICT_completed_p30_rep20_seed74.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep20_seed74.csv
