method,pct_missing,replicate,mask_seed,file,path,success,error_message,n_taxa,n_pairs,n_edges,n_terminal_edges,n_internal_edges,nnls_rnorm,branch_fit_solver,tree_length_ref,tree_length_hat,tree_length_abs_error,tree_length_rel_error,edge_BL_MAE,edge_BL_RMSE,edge_BL_Bias,edge_BL_MaxAE,edge_BL_Pearson,edge_BL_Spearman,edge_BL_rel_RMSE,edge_BL_rel_MAE,terminal_BL_MAE,terminal_BL_RMSE,terminal_BL_Bias,terminal_BL_MaxAE,terminal_BL_Pearson,terminal_BL_Spearman,terminal_BL_rel_RMSE,terminal_BL_rel_MAE,internal_BL_MAE,internal_BL_RMSE,internal_BL_Bias,internal_BL_MaxAE,internal_BL_Pearson,internal_BL_Spearman,internal_BL_rel_RMSE,internal_BL_rel_MAE,fit_pat_MAE,fit_pat_RMSE,fit_pat_Bias,fit_pat_MaxAE,fit_pat_Pearson,fit_pat_Spearman,fit_pat_rel_RMSE,fit_pat_rel_MAE,input_vs_ML_pat_MAE,input_vs_ML_pat_RMSE,input_vs_ML_pat_Bias,input_vs_ML_pat_MaxAE,input_vs_ML_pat_Pearson,input_vs_ML_pat_Spearman,input_vs_ML_pat_rel_RMSE,input_vs_ML_pat_rel_MAE
NJstar-STRICT,30,1,55,NJstar_STRICT_completed_p30_rep01_seed55.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep01_seed55.csv,True,,15,105,27,15,12,0.0714799133197148,scipy.optimize.nnls,1.2142374164,0.7225463771062145,0.49169103929378555,0.404938138664482,0.022620666695773756,0.0370027027074935,-0.018210779233103172,0.13976316255605362,0.6612489572258562,0.8025078161890478,0.597309471569959,0.5029971836946693,0.02041484935318127,0.02938545558125128,-0.01247705192037422,0.07736646422208866,0.7804999236563459,0.8749999999999999,0.4395257073956608,0.38039662600980845,0.025377938374014353,0.04473610139010735,-0.025377938374014353,0.13976316255605362,0.6586937487057312,0.9040577198379657,0.810387261566467,0.744169545493926,0.13610691777858314,0.15347466865973614,-0.1344863664295799,0.2250305722995721,0.936095226936815,0.9308314327182252,0.5512769836876766,0.5295524670204286,0.1368070009675394,0.1536670516172032,-0.13448636642957992,0.22892619222390906,0.9181345278508548,0.8583246941737508,0.5519680182240697,0.5322762872779295
NJstar-STRICT,30,2,56,NJstar_STRICT_completed_p30_rep02_seed56.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep02_seed56.csv,True,,15,105,27,15,12,0.02336065311873871,scipy.optimize.nnls,1.2142374164,0.7632482442455261,0.450989172154474,0.3714176206919874,0.02427071420031252,0.03979971411288337,-0.016703302672387926,0.1544494817,0.5495606840414864,0.6974925530038736,0.6424597249915891,0.5396879346308686,0.022510168631597452,0.03082993988471578,-0.008888827881333184,0.07355850214525468,0.6743869123099867,0.8357142857142855,0.46113122525284317,0.4194394016940001,0.026471396161206345,0.048743536045124186,-0.026471396161206345,0.1544494817,0.3386721592608828,0.4423194081253428,0.8829812940161477,0.7762335363713198,0.1366490017202718,0.15335881992219494,-0.13311673907162486,0.22808095836751202,0.8730735710870238,0.8144826871241966,0.5508608580615166,0.5316615581183578,0.13676745143868357,0.1535058626729899,-0.13311673907162486,0.22892619222390906,0.8665890204682503,0.801254405971387,0.5513890317649641,0.5321224115534849
NJstar-STRICT,30,3,57,NJstar_STRICT_completed_p30_rep03_seed57.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep03_seed57.csv,True,,15,105,27,15,12,0.11960371898649046,scipy.optimize.nnls,1.2142374164,0.6455799860921341,0.568657430307866,0.46832474656713763,0.023174043767267963,0.033274015308144674,-0.02106138630769874,0.1056617794787969,0.8888316747049027,0.8393404131737644,0.5371198060268639,0.5153021750650073,0.022831564789093525,0.030124466204230198,-0.020780392834037088,0.07279082923610082,0.929270024204909,0.9249999999999998,0.45057927659895597,0.42542808237485813,0.023602142489986006,0.03683416733174099,-0.021412628149775806,0.1056617794787969,0.9337404127648494,0.6056488210754389,0.6672450005366678,0.6920970250065842,0.1359517966129202,0.15241844953632414,-0.13565877204791216,0.2338899712871677,0.9615753957806096,0.9064482687124196,0.5474830723044324,0.5289489356400654,0.13597819682908416,0.15290914270235206,-0.13565877204791216,0.22892619222390906,0.9213687171507763,0.8569251503213768,0.5492456292843322,0.5290516512097636
NJstar-STRICT,30,4,58,NJstar_STRICT_completed_p30_rep04_seed58.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep04_seed58.csv,True,,15,105,27,15,12,0.0832932390665191,scipy.optimize.nnls,1.2142374164,0.6543937453904988,0.5598436710095013,0.4610660678447376,0.022401005650776153,0.034464237083173824,-0.020734950778129674,0.11035010074591903,0.8520730033089093,0.8228468242686032,0.556332746906173,0.4981127614763858,0.020733500651658635,0.030295734842686713,-0.019084134230750453,0.07785119001981258,0.9405385357251836,0.914285714285714,0.4531409850354357,0.3863341608266179,0.02448538689967304,0.03905411307159278,-0.022798471462353708,0.11035010074591903,0.8832831057799968,0.6549458181397189,0.7074589595774182,0.7179968274739853,0.13553988247104407,0.15307430281732534,-0.13540420094114267,0.23349333190290492,0.9543559307202876,0.8767468380675928,0.549838880084631,0.5273462974083631,0.1355398824710441,0.15329723123929248,-0.13540420094114267,0.2445246095374908,0.9332450058434323,0.84055567074435,0.5506396331282017,0.5273462974083633
NJstar-STRICT,30,5,59,NJstar_STRICT_completed_p30_rep05_seed59.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep05_seed59.csv,True,,15,105,27,15,12,0.1215580497833429,scipy.optimize.nnls,1.2142374164,0.6531450139571445,0.5610924024428555,0.4620944758121485,0.020952421671838195,0.034686412526545876,-0.02078120009047613,0.11854235708902183,0.852676693968196,0.9072039072039072,0.5599191740308463,0.4659017894678931,0.019984485609296603,0.030542918176295265,-0.019966130859900892,0.08742933895496513,0.9324731390006069,0.9571428571428571,0.45683816880923545,0.3723775163265344,0.022162341750015187,0.03925549538611164,-0.021800036628695185,0.11854235708902183,0.8829469992805006,0.8741258741258742,0.7111069677256415,0.6498770524274476,0.13577889427857023,0.15425370218372783,-0.13577889427857023,0.2338193373751798,0.9229245722327227,0.8875492432096205,0.55407525166928,0.5282762228992071,0.1357788942785702,0.15473142378121083,-0.1357788942785702,0.2533430425534676,0.8806422419435862,0.8034833091436865,0.5557912151152528,0.528276222899207
NJstar-STRICT,30,6,60,NJstar_STRICT_completed_p30_rep06_seed60.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep06_seed60.csv,True,,15,105,27,15,12,0.061163433661303675,scipy.optimize.nnls,1.2142374164,0.6503096533390675,0.5639277630609325,0.46442957155189546,0.021139870673414964,0.03342250842171081,-0.020886213446701194,0.11100352000224661,0.890732357369177,0.918192918192918,0.5395168293982947,0.47006993893702914,0.019680894538592394,0.029132023030718594,-0.019680894538592394,0.07640464681351779,0.9671166361888778,0.9714285714285713,0.4357350525003515,0.3667206037045174,0.022963590841943177,0.03811234312359441,-0.0223928620818372,0.11100352000224661,0.9471406930250715,0.7482517482517484,0.6903989488597038,0.6733724665852036,0.13842429565004877,0.15601833364454978,-0.13842429565004877,0.2462305251952393,0.9596965687799908,0.8719987559610201,0.5604137615845486,0.5385687109328029,0.13842429565004877,0.15613365857833622,-0.13842429565004877,0.2582049380778762,0.9475781649013703,0.8393842007049553,0.5608280057213626,0.5385687109328029
NJstar-STRICT,30,7,61,NJstar_STRICT_completed_p30_rep07_seed61.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep07_seed61.csv,True,,15,105,27,15,12,0.009678260505804847,scipy.optimize.nnls,1.2142374164,0.6878207084492002,0.5264167079507999,0.4335368856541521,0.022638935212981614,0.03495042042906392,-0.01949691510928888,0.11128741732689676,0.7728209277061274,0.7910813937845889,0.5641808741015121,0.5034034057052498,0.02112186034592162,0.030074607313672747,-0.015466224159274697,0.07724568578435176,0.8345780310665023,0.8999999999999999,0.4498335245352647,0.3935705951896674,0.024535278796806614,0.04022243456131436,-0.024535278796806614,0.11128741732689676,0.8876259306353919,0.6197336773795189,0.7286229149348266,0.719459831673402,0.13639214961319038,0.1535632108734261,-0.1355842015865265,0.22787199744526465,0.9676606105501417,0.9441115488285299,0.5515950249965016,0.5306622212059928,0.13639503678139167,0.1535676977299028,-0.1355842015865265,0.22892619222390906,0.9672777178843933,0.9353721749948165,0.5516111416672612,0.5306734543385084
NJstar-STRICT,30,8,62,NJstar_STRICT_completed_p30_rep08_seed62.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep08_seed62.csv,True,,15,105,27,15,12,0.009844230572309423,scipy.optimize.nnls,1.2142374164,0.6834373945272905,0.5308000218727096,0.4371468171738918,0.02279496440059753,0.03486836504375498,-0.019659260069359613,0.11063616287202507,0.7783307907775976,0.7922454679388675,0.562856309806147,0.5068728985809676,0.02135167421940432,0.030104282174206617,-0.015707406423176067,0.07735503253988041,0.8352999488781834,0.907142857142857,0.4502773789458915,0.39785279294536335,0.024599077127089048,0.04003400711051703,-0.024599077127089048,0.11063616287202507,0.8960504604495362,0.6304738215045116,0.7252095820535361,0.7213306209294026,0.1368058549232543,0.15383911782557325,-0.13599953095236456,0.2273550721984794,0.9670617843786892,0.9394256686709517,0.5525860755306804,0.5322718283526348,0.13681000576057012,0.15384420450996045,-0.13599953095236456,0.22892619222390906,0.9666530316411103,0.9364088741447231,0.552604346767559,0.5322879780544769
NJstar-STRICT,30,9,63,NJstar_STRICT_completed_p30_rep09_seed63.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep09_seed63.csv,True,,15,105,27,15,12,0.019224386910800004,scipy.optimize.nnls,1.2142374164,0.6771294494437798,0.5371079669562202,0.4423418021070794,0.023017068524432242,0.03464253823985765,-0.019892887665045194,0.11064489684333179,0.7851253429773241,0.8062891255593638,0.5592109412510838,0.5118116455364985,0.02157854837453129,0.029936738342008013,-0.015955022827634602,0.07851192006076571,0.8360863599127669,0.9107142857142855,0.4477713833807298,0.40208021395866994,0.024815218711808428,0.03974892321972614,-0.024815218711808428,0.11064489684333179,0.8873524252219949,0.6479869832129704,0.720045333350679,0.7276686450231034,0.13721557005531781,0.15356848983517618,-0.13641220926290398,0.2266876088140759,0.9655198708307904,0.9447854032759692,0.5516139868886237,0.533865910876146,0.13721557005531781,0.15358105875231318,-0.13641220926290398,0.22747840786576276,0.9643336660572052,0.9384615384615386,0.5516591341092564,0.533865910876146
NJstar-STRICT,30,10,64,NJstar_STRICT_completed_p30_rep10_seed64.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep10_seed64.csv,True,,15,105,27,15,12,0.02182412322838495,scipy.optimize.nnls,1.2142374164,0.7806264738436792,0.4336109425563208,0.35710556823549455,0.025864152009819355,0.04059313248137215,-0.016059664539122994,0.1544494817,0.518317476225598,0.6860295388678945,0.6552673382668205,0.5751199022803581,0.024579663318108444,0.03224917519563294,-0.006931585870854986,0.07090929608151324,0.6195796302248853,0.8321428571428571,0.48235908752868817,0.4580009792337008,0.027469762874458004,0.049066727876074384,-0.027469762874458004,0.1544494817,0.3645007168430238,0.48406240117308397,0.8888358619088764,0.8055091257547937,0.13689346087059875,0.15329499162623506,-0.13257455092803105,0.22718367665549644,0.8608762282325132,0.8008086253369271,0.5506315884968518,0.5326126776371464,0.13707630728017678,0.15348462067982788,-0.13257455092803103,0.22892619222390906,0.8528641949444872,0.8092680904001659,0.5513127310827725,0.5333240798851598
