,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,0.17129197099658444,0.17105164357031583,0.18067711803393494,0.1383128402765033,0.1459277700800517,0.1420692974973327,0.1373119844735565,0.14481800913214132,0.14987912242761275,0.1394793745147105,0.13999743292259428,0.13612101088738363,0.13864678407414208,0.1354710353669693
T2,0.17129197099658444,0.0,0.075025818601543,0.1875701246819126,0.1502145357411227,0.15282077672802938,0.1528472137544202,0.14420499112153418,0.15171101578011897,0.15677212907559043,0.15138106997932987,0.1523797885990102,0.148022706352003,0.1520963973933358,0.14737273083158867
T3,0.17105164357031583,0.075025818601543,0.0,0.18732979725564403,0.1499742083148541,0.1525804493017608,0.15362117536133704,0.1439646636952656,0.1514706883538504,0.15653180164932184,0.1511407425530613,0.1521394611727416,0.14778237892573443,0.15030815211249285,0.14713240340532008
T4,0.18067711803393494,0.1875701246819126,0.18732979725564403,0.0,0.1530088062622309,0.154882563573466,0.16324664982495612,0.1468220000005081,0.1557187955318115,0.154056517775752,0.16076621701668037,0.16128427542456417,0.15740785338935348,0.15993362657611193,0.1567578778689392
T5,0.1383128402765033,0.1502145357411227,0.1499742083148541,0.1530088062622309,0.0,0.12485033482458999,0.120991862241871,0.11623454921809478,0.1206527718354623,0.1249923524013459,0.0564088791428822,0.0357339197361187,0.03761149012594445,0.0401372633127029,0.05240053999514098
T6,0.1459277700800517,0.15282077672802938,0.1525804493017608,0.154882563573466,0.12485033482458999,0.0,0.1244840980820587,0.1120726520466249,0.1195786767052097,0.12408456796714384,0.1260168690627972,0.1209962245767872,0.1190081630147916,0.12518427862222872,0.1225570776255707
T7,0.1420692974973327,0.1528472137544202,0.15362117536133704,0.16324664982495612,0.120991862241871,0.1244840980820587,0.0,0.1260626669905271,0.1230955993930197,0.13244865421863397,0.1221583964800782,0.12267645488796194,0.11880003285275129,0.12132580603950974,0.11815005733233697
T8,0.1373119844735565,0.14420499112153418,0.1439646636952656,0.1468220000005081,0.11623454921809478,0.1120726520466249,0.1260626669905271,0.0,0.1109628910987145,0.11602400439418595,0.11740108345630199,0.11791914186418573,0.11404271982897507,0.119330718313312,0.11339274430856075
T9,0.14481800913214132,0.15171101578011897,0.1514706883538504,0.1557187955318115,0.1206527718354623,0.1195786767052097,0.1230955993930197,0.1109628910987145,0.0,0.1221392581800522,0.12490710811488678,0.12542516652277055,0.1162747866658481,0.1177696078431372,0.12089876896714558
T10,0.14987912242761275,0.15677212907559043,0.15653180164932184,0.154056517775752,0.1249923524013459,0.12408456796714384,0.13244865421863397,0.11602400439418595,0.1221392581800522,0.0,0.12996822141035824,0.1256247714250883,0.1233794162826421,0.12913563096978978,0.1254113345521023
T11,0.1394793745147105,0.15138106997932987,0.1511407425530613,0.16076621701668037,0.0564088791428822,0.1260168690627972,0.1221583964800782,0.11740108345630199,0.12490710811488678,0.12996822141035824,0.0,0.05809347178897316,0.0542170497537625,0.05674282294052094,0.0519115671186026
T12,0.13999743292259428,0.1523797885990102,0.1521394611727416,0.16128427542456417,0.0357339197361187,0.1209962245767872,0.12267645488796194,0.11791914186418573,0.12542516652277055,0.1256247714250883,0.05809347178897316,0.0,0.038749233599019,0.041821855958793855,0.0534765887308467
T13,0.13612101088738363,0.148022706352003,0.14778237892573443,0.15740785338935348,0.03761149012594445,0.1190081630147916,0.11880003285275129,0.11404271982897507,0.1162747866658481,0.1233794162826421,0.0542170497537625,0.038749233599019,0.0,0.0384922830965996,0.0508172545164065
T14,0.13864678407414208,0.1520963973933358,0.15030815211249285,0.15993362657611193,0.0401372633127029,0.12518427862222872,0.12132580603950974,0.119330718313312,0.1177696078431372,0.12913563096978978,0.05674282294052094,0.041821855958793855,0.0384922830965996,0.0,0.052734483792779716
T15,0.1354710353669693,0.14737273083158867,0.14713240340532008,0.1567578778689392,0.05240053999514098,0.1225570776255707,0.11815005733233697,0.11339274430856075,0.12089876896714558,0.1254113345521023,0.0519115671186026,0.0534765887308467,0.0508172545164065,0.052734483792779716,0.0
