,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,0.1507675438596491,-1.0,-1.0,-1.0,0.1419554530557747,-1.0,-1.0,-1.0,-1.0,0.138080684596577,0.1403957382039573,-1.0,-1.0,-1.0
T2,0.1507675438596491,0.0,0.075025818601543,-1.0,-1.0,0.1531482158080623,-1.0,0.151568687176363,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
T3,-1.0,0.075025818601543,0.0,-1.0,0.153926188873248,0.1525804493017608,-1.0,-1.0,0.1529211708976071,0.1550665613032642,0.1511407425530613,-1.0,-1.0,0.1511656441717791,-1.0
T4,-1.0,-1.0,-1.0,0.0,0.1530088062622309,0.154882563573466,0.1548559620760909,-1.0,-1.0,0.154056517775752,0.1520410657540943,-1.0,0.1509793086510714,0.1509225770857598,0.1547510209057109
T5,-1.0,-1.0,0.153926188873248,0.1530088062622309,0.0,-1.0,-1.0,-1.0,-1.0,0.1249923524013459,0.0346280688897031,0.0357339197361187,-1.0,-1.0,0.0521170648255636
T6,0.1419554530557747,0.1531482158080623,0.1525804493017608,0.154882563573466,-1.0,0.0,-1.0,-1.0,0.0536298630469034,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
T7,-1.0,-1.0,-1.0,0.1548559620760909,-1.0,-1.0,0.0,0.1260626669905271,-1.0,-1.0,0.1221583964800782,-1.0,-1.0,0.1229081100962422,0.1242610762386495
T8,-1.0,0.151568687176363,-1.0,-1.0,-1.0,-1.0,0.1260626669905271,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
T9,-1.0,-1.0,0.1529211708976071,-1.0,-1.0,0.0536298630469034,-1.0,-1.0,0.0,0.1221392581800522,-1.0,-1.0,0.1162747866658481,0.1177696078431372,0.1202801461632155
T10,-1.0,-1.0,0.1550665613032642,0.154056517775752,0.1249923524013459,-1.0,-1.0,-1.0,0.1221392581800522,0.0,0.1240295861605232,-1.0,-1.0,-1.0,0.1254113345521023
T11,0.138080684596577,-1.0,0.1511407425530613,0.1520410657540943,0.0346280688897031,-1.0,0.1221583964800782,-1.0,-1.0,0.1240295861605232,0.0,-1.0,-1.0,-1.0,0.0519115671186026
T12,0.1403957382039573,-1.0,-1.0,-1.0,0.0357339197361187,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
T13,-1.0,-1.0,-1.0,0.1509793086510714,-1.0,-1.0,-1.0,-1.0,0.1162747866658481,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
T14,-1.0,-1.0,0.1511656441717791,0.1509225770857598,-1.0,-1.0,0.1229081100962422,-1.0,0.1177696078431372,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
T15,-1.0,-1.0,-1.0,0.1547510209057109,0.0521170648255636,-1.0,0.1242610762386495,-1.0,0.1202801461632155,0.1254113345521023,0.0519115671186026,-1.0,-1.0,-1.0,0.0
