method,pct_missing,replicate,mask_seed,file,path,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,imputed_variables,s_top,status,reason,joins_performed,tree_edges_final,initial_known_graph_components,n_pair_selection_failures,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,runtime_seconds,success,success_numerical,success_valid_matrix,epochs_used,convergence_epoch,Delta_normalized_completed,Delta_relative_to_original,max_abs_error_observed,mean_abs_error_observed,masked_file,completed_file,error_message
NJstar-STRICT,30,1,55,NJstar_STRICT_completed_p30_rep01_seed55.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep01_seed55.csv,0.3047619047619048,105,32,73,0,32,15,OK,OK,13,27,1,0,0.022558026648584,0.0077938167703073,0.8589697529450756,0.750733137829912,0.0100387239945121,True,True,True,13,13,0.0253000653350884,1.061016880703337,0.0,0.0,missing_p30_rep01_seed55.csv,NJstar_STRICT_completed_p30_rep01_seed55.csv,
NJstar-STRICT,30,2,56,NJstar_STRICT_completed_p30_rep02_seed56.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep02_seed56.csv,0.3047619047619048,105,32,73,0,32,15,OK,OK,13,27,1,0,0.0310202100576509,0.0117954720605289,0.5407599301268924,0.4732404692082111,0.0105008030077442,True,True,True,13,13,0.0260370922910034,1.1616623963854988,0.0,0.0,missing_p30_rep02_seed56.csv,NJstar_STRICT_completed_p30_rep02_seed56.csv,
NJstar-STRICT,30,3,57,NJstar_STRICT_completed_p30_rep03_seed57.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep03_seed57.csv,0.3047619047619048,105,32,73,0,32,15,OK,OK,13,27,1,0,0.0278236528556305,0.0189524005929245,0.8272142205471649,0.7316715542521994,0.0099984029948245,True,True,True,13,13,0.0880483122431493,12.61024764856508,0.0,0.0,missing_p30_rep03_seed57.csv,NJstar_STRICT_completed_p30_rep03_seed57.csv,
NJstar-STRICT,30,4,58,NJstar_STRICT_completed_p30_rep04_seed58.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep04_seed58.csv,0.3047619047619048,105,32,73,0,32,15,OK,OK,13,27,1,0,0.0222634454793355,0.0163595625079601,0.8543687437230383,0.6206011730205278,0.0108572839963017,True,True,True,13,13,0.0776348015390154,8.816754682008744,0.0,0.0,missing_p30_rep04_seed58.csv,NJstar_STRICT_completed_p30_rep04_seed58.csv,
NJstar-STRICT,30,5,59,NJstar_STRICT_completed_p30_rep05_seed59.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep05_seed59.csv,0.3047619047619048,105,32,73,0,32,15,OK,OK,13,27,1,0,0.0306202426045158,0.0235602191516255,0.6346605003374154,0.2580645161290322,0.0091112439986318,True,True,True,13,13,0.0764257672230642,4.862455930191641,0.0,0.0,missing_p30_rep05_seed59.csv,NJstar_STRICT_completed_p30_rep05_seed59.csv,
NJstar-STRICT,30,6,60,NJstar_STRICT_completed_p30_rep06_seed60.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep06_seed60.csv,0.3047619047619048,105,32,73,0,32,15,OK,OK,13,27,1,0,0.0157176138051347,0.0121748303667453,0.8947796969615401,0.7969208211143693,0.0084645979950437,True,True,True,13,13,0.0829611501142673,7.261243880168013,0.0,0.0,missing_p30_rep06_seed60.csv,NJstar_STRICT_completed_p30_rep06_seed60.csv,
NJstar-STRICT,30,7,61,NJstar_STRICT_completed_p30_rep07_seed61.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep07_seed61.csv,0.3047619047619048,105,32,73,0,32,15,OK,OK,13,27,1,0,0.0105706012653274,0.0031016851164872,0.9663385538733376,0.9879032258064516,0.0098267779976595,True,True,True,13,13,0.0205964031892224,0.9342981235822326,0.0,0.0,missing_p30_rep07_seed61.csv,NJstar_STRICT_completed_p30_rep07_seed61.csv,
NJstar-STRICT,30,8,62,NJstar_STRICT_completed_p30_rep08_seed62.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep08_seed62.csv,0.3047619047619048,105,32,73,0,32,15,OK,OK,13,27,1,0,0.0105132327634032,0.0030804201816004,0.9634251734184228,0.9662756598240468,0.0089499830064596,True,True,True,13,13,0.0216274357405427,0.9501511626529732,0.0,0.0,missing_p30_rep08_seed62.csv,NJstar_STRICT_completed_p30_rep08_seed62.csv,
NJstar-STRICT,30,9,63,NJstar_STRICT_completed_p30_rep09_seed63.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep09_seed63.csv,0.3047619047619048,105,32,73,0,32,15,OK,OK,13,27,1,0,0.0117821506913719,0.0057596648731343,0.9655843301475434,0.9527126099706744,0.0103447180008515,True,True,True,13,13,0.0346522092265746,1.814993375882224,0.0,0.0,missing_p30_rep09_seed63.csv,NJstar_STRICT_completed_p30_rep09_seed63.csv,
NJstar-STRICT,30,10,64,NJstar_STRICT_completed_p30_rep10_seed64.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep10_seed64.csv,0.3047619047619048,105,32,73,0,32,15,OK,OK,13,27,1,0,0.0336762394049316,0.0134245865986555,0.6962983877736115,0.5788123167155425,0.0091828779986826,True,True,True,13,13,0.0258947667270747,1.0556482121383743,0.0,0.0,missing_p30_rep10_seed64.csv,NJstar_STRICT_completed_p30_rep10_seed64.csv,
