,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,0.1507675438596491,0.038128046873362215,0.08118609598892201,0.1383128402765033,0.1419554530557747,0.1435863158534362,0.1373119844735565,0.07103837811799595,0.1423102631099228,0.07116032679818884,0.08153180910042049,0.1388138506876227,0.1376624969340201,0.1426830011580423
T2,0.1507675438596491,0.0,0.07875264995786863,0.0478518856249034,0.09924754434317534,0.09963663782829706,0.1528472137544202,0.021272376364166932,0.12083652673727473,0.1510883482714468,0.1513702409416958,0.10168028661973214,0.11030220891893351,0.08201875324059743,0.08503436307546618
T3,0.038128046873362215,0.07875264995786863,0.0,0.03506859290884278,0.153926188873248,0.1525804493017608,0.13906553845207098,0.057759386275184815,0.08033562295245003,0.1550665613032642,0.12110319415569189,0.11092551685906604,0.1517050691244239,0.1511656441717791,0.1537663921927416
T4,0.08118609598892201,0.0478518856249034,0.03506859290884278,0.0,0.12249538257183318,0.15183267465594447,0.1548559620760909,0.04771885204263879,0.1557187955318115,0.14638134551273158,0.1520410657540943,0.08866262128326013,0.1509793086510714,0.12318614292662834,0.1547510209057109
T5,0.1383128402765033,0.09924754434317534,0.153926188873248,0.12249538257183318,0.0,0.1206991382998227,0.05497253056957094,0.1198875099345845,0.1206527718354623,0.05091709000858369,0.08556334008561449,0.0357339197361187,0.0404400467088685,0.0401372633127029,0.0521170648255636
T6,0.1419554530557747,0.09963663782829706,0.1525804493017608,0.15183267465594447,0.1206991382998227,0.0,0.1244840980820587,0.1115153720211024,0.08713538232486673,0.1228304405874499,0.042006090577250285,0.059968049031100985,0.04006542276967868,0.05354985562644422,0.04268382388663236
T7,0.1435863158534362,0.1528472137544202,0.13906553845207098,0.1548559620760909,0.05497253056957094,0.1244840980820587,0.0,0.1260626669905271,0.1230955993930197,0.032404644324320324,0.1221583964800782,0.0567583675773143,0.049651549770024915,0.09740276978352652,0.1242610762386495
T8,0.1373119844735565,0.021272376364166932,0.057759386275184815,0.04771885204263879,0.1198875099345845,0.1115153720211024,0.1260626669905271,0.0,0.1109628910987145,0.1212047607481175,0.1510881886353388,0.1195519844168492,0.11828884273806689,0.119330718313312,0.10244961643019962
T9,0.07103837811799595,0.12083652673727473,0.08033562295245003,0.1557187955318115,0.1206527718354623,0.08713538232486673,0.1230955993930197,0.1109628910987145,0.0,0.1221392581800522,0.06410868868989347,0.1194884287454324,0.1162747866658481,0.1177696078431372,0.07148996646312691
T10,0.1423102631099228,0.1510883482714468,0.1550665613032642,0.14638134551273158,0.05091709000858369,0.1228304405874499,0.032404644324320324,0.1212047607481175,0.1221392581800522,0.0,0.1240295861605232,0.050037851664087196,0.05988016285490469,0.1244787834191807,0.08714669241139142
T11,0.07116032679818884,0.1513702409416958,0.12110319415569189,0.1520410657540943,0.08556334008561449,0.042006090577250285,0.1221583964800782,0.1510881886353388,0.06410868868989347,0.1240295861605232,0.0,0.041539174836695884,0.038272515050989,0.04861528946966883,0.0519115671186026
T12,0.08153180910042049,0.10168028661973214,0.11092551685906604,0.08866262128326013,0.0357339197361187,0.059968049031100985,0.0567583675773143,0.1195519844168492,0.1194884287454324,0.050037851664087196,0.041539174836695884,0.0,0.02326075649186817,0.0404875658458899,0.0534765887308467
T13,0.1388138506876227,0.11030220891893351,0.1517050691244239,0.1509793086510714,0.0404400467088685,0.04006542276967868,0.049651549770024915,0.11828884273806689,0.1162747866658481,0.05988016285490469,0.038272515050989,0.02326075649186817,0.0,0.027417469632947222,0.0508172545164065
T14,0.1376624969340201,0.08201875324059743,0.1511656441717791,0.12318614292662834,0.0401372633127029,0.05354985562644422,0.09740276978352652,0.119330718313312,0.1177696078431372,0.1244787834191807,0.04861528946966883,0.0404875658458899,0.027417469632947222,0.0,0.0527992159745191
T15,0.1426830011580423,0.08503436307546618,0.1537663921927416,0.1547510209057109,0.0521170648255636,0.04268382388663236,0.1242610762386495,0.10244961643019962,0.07148996646312691,0.08714669241139142,0.0519115671186026,0.0534765887308467,0.0508172545164065,0.0527992159745191,0.0
