,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,0.1507675438596491,0.17464527202683583,0.174446826785492,0.1383128402765033,0.1419554530557747,0.1435863158534362,0.1373119844735565,0.14166817330176457,0.1423102631099228,0.13939851734497752,0.13572941632289642,0.1388138506876227,0.1376624969340201,0.1426830011580423
T2,0.1507675438596491,0.0,0.18366476355808983,0.18346631831674604,0.14776988555579895,0.15124014575540645,0.1528472137544202,0.15126605971427587,0.15068766483301854,0.1510883482714468,0.1513702409416958,0.1447489078541504,0.14652035273355218,0.14783087183739413,0.15426385459910386
T3,0.17464527202683583,0.18366476355808983,0.0,0.18831283449797054,0.153926188873248,0.1525804493017608,0.15757302675077972,0.1523202467118836,0.1517418518306263,0.1550665613032642,0.15326452505745605,0.14959542403537496,0.1517050691244239,0.1511656441717791,0.1537663921927416
T4,0.174446826785492,0.18346631831674604,0.18831283449797054,0.0,0.15241795649567969,0.15588821669528719,0.1548559620760909,0.15591413065415657,0.1557187955318115,0.1589465617942838,0.1520410657540943,0.14939697879403113,0.1509793086510714,0.15247894277727483,0.1547510209057109
T5,0.1383128402765033,0.14776988555579895,0.153926188873248,0.15241795649567969,0.0,0.1206991382998227,0.12167814874848887,0.1198875099345845,0.1206527718354623,0.12325012903333674,0.042337702851547865,0.0357339197361187,0.0404400467088685,0.0401372633127029,0.0521170648255636
T6,0.1419554530557747,0.15124014575540645,0.1525804493017608,0.15588821669528719,0.1206991382998227,0.0,0.1244840980820587,0.1115153720211024,0.1109369771398451,0.1228304405874499,0.12083990725477267,0.11717080623269158,0.11894225111209332,0.12025277021593526,0.126685752977645
T7,0.1435863158534362,0.1528472137544202,0.15757302675077972,0.1548559620760909,0.12167814874848887,0.1244840980820587,0.0,0.1260626669905271,0.1230955993930197,0.12820675404709297,0.1221583964800782,0.11865717104684032,0.12042861592624207,0.12173913503008402,0.1242610762386495
T8,0.1373119844735565,0.15126605971427587,0.1523202467118836,0.15591413065415657,0.1198875099345845,0.1115153720211024,0.1260626669905271,0.0,0.1109628910987145,0.1212047607481175,0.12086582121364209,0.1195519844168492,0.11896816507096272,0.119330718313312,0.12671166693651442
T9,0.14166817330176457,0.15068766483301854,0.1517418518306263,0.1557187955318115,0.1206527718354623,0.1109369771398451,0.1230955993930197,0.1109628910987145,0.0,0.1221392581800522,0.12028742633238479,0.1194884287454324,0.1162747866658481,0.1177696078431372,0.12613327205525712
T10,0.1423102631099228,0.1510883482714468,0.1550665613032642,0.1589465617942838,0.12325012903333674,0.1228304405874499,0.12820675404709297,0.1212047607481175,0.1221392581800522,0.0,0.1240295861605232,0.1202291513316882,0.12200059621108994,0.1244787834191807,0.12974409807664167
T11,0.13939851734497752,0.1513702409416958,0.15326452505745605,0.1520410657540943,0.042337702851547865,0.12083990725477267,0.1221583964800782,0.12086582121364209,0.12028742633238479,0.1240295861605232,0.0,0.04317955798930684,0.038272515050989,0.04239868913314303,0.0519115671186026
T12,0.13572941632289642,0.1447489078541504,0.14959542403537496,0.14939697879403113,0.0357339197361187,0.11717080623269158,0.11865717104684032,0.1195519844168492,0.1194884287454324,0.1202291513316882,0.04317955798930684,0.0,0.04128190184662747,0.0404875658458899,0.0534765887308467
T13,0.1388138506876227,0.14652035273355218,0.1517050691244239,0.1509793086510714,0.0404400467088685,0.11894225111209332,0.12042861592624207,0.11896816507096272,0.1162747866658481,0.12200059621108994,0.038272515050989,0.04128190184662747,0.0,0.04050103299046366,0.0508172545164065
T14,0.1376624969340201,0.14783087183739413,0.1511656441717791,0.15247894277727483,0.0401372633127029,0.12025277021593526,0.12173913503008402,0.119330718313312,0.1177696078431372,0.1244787834191807,0.04239868913314303,0.0404875658458899,0.04050103299046366,0.0,0.0527992159745191
T15,0.1426830011580423,0.15426385459910386,0.1537663921927416,0.1547510209057109,0.0521170648255636,0.126685752977645,0.1242610762386495,0.12671166693651442,0.12613327205525712,0.12974409807664167,0.0519115671186026,0.0534765887308467,0.0508172545164065,0.0527992159745191,0.0
