,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,0.0862953692115143,0.08727666319033414,0.1054918755510769,0.1441001564945226,0.1639822357552115,0.20500850383595906,0.2099191171860304,0.20598547307921533,0.2113011338720792,0.2476423990946812,0.2413251194367613,0.2645663313721769,0.2687381103360812,0.27045858535485345
T2,0.0862953692115143,0.0,0.0410321489001692,0.1065313111545988,0.1514616321559074,0.1642226954669911,0.20488047104479212,0.2115577976610555,0.2059022025891159,0.2170960897241588,0.2505371186974918,0.2498469824947974,0.266256536450323,0.2768138314294535,0.2701096612142376
T3,0.08727666319033414,0.0410321489001692,0.0,0.1046291200391365,0.1504931206623645,0.16444950791492927,0.204592508940335,0.2115922637148765,0.20598283016987246,0.2169414168076262,0.2500918329864087,0.2480117459929034,0.2675233644859813,0.2766508964981213,0.2694709772226304
T4,0.1054918755510769,0.1065313111545988,0.1046291200391365,0.0,0.1516340670795266,0.16451300397628754,0.2053018980489189,0.21175604506838241,0.20571078740115706,0.2183400760083364,0.2576197836166924,0.2528458302400396,0.2672998666316453,0.27751668323935286,0.2706669143600222
T5,0.1441001564945226,0.1514616321559074,0.1504931206623645,0.1516340670795266,0.0,0.1709433040078201,0.20515443901634212,0.2176438222167879,0.2090847541084508,0.22497564539698,0.2587382517353646,0.2553008419888145,0.2738853503184713,0.2784016876589936,0.273012745520596
T6,0.1639822357552115,0.1642226954669911,0.16444950791492927,0.16451300397628754,0.1709433040078201,0.0,0.2090612039713459,0.21126579551680644,0.211707557031298,0.217486604968339,0.2595002762600528,0.2585973962171456,0.2718009783369002,0.2791646070192783,0.2706794371259885
T7,0.20500850383595906,0.20488047104479212,0.204592508940335,0.2053018980489189,0.20515443901634212,0.2090612039713459,0.0,0.19100960208439244,0.19159587492394395,0.1890335503254882,0.2600515950418423,0.2578636134876698,0.2738668017219549,0.27852630668531136,0.270778630620293
T8,0.2099191171860304,0.2115577976610555,0.2115922637148765,0.21175604506838241,0.2176438222167879,0.21126579551680644,0.19100960208439244,0.0,0.1556684622918707,0.1897671980799162,0.2674546790788829,0.2641624862351646,0.2805351747949935,0.2905401225020108,0.27067443838334426
T9,0.20598547307921533,0.2059022025891159,0.20598283016987246,0.20571078740115706,0.2090847541084508,0.211707557031298,0.19159587492394395,0.1556684622918707,0.0,0.1877486077963405,0.2636956789363535,0.25756160238492926,0.2770299609205384,0.286441835910813,0.2782210676068534
T10,0.2113011338720792,0.2170960897241588,0.2169414168076262,0.2183400760083364,0.22497564539698,0.217486604968339,0.1890335503254882,0.1897671980799162,0.1877486077963405,0.0,0.2653535600685099,0.2638659573167003,0.2741588238912468,0.2830979835974594,0.2708027410670582
T11,0.2476423990946812,0.2505371186974918,0.2500918329864087,0.2576197836166924,0.2587382517353646,0.2595002762600528,0.2600515950418423,0.2674546790788829,0.2636956789363535,0.2653535600685099,0.0,0.1729891006515253,0.2778497809047707,0.27865956284429805,0.27057399181164515
T12,0.2413251194367613,0.2498469824947974,0.2480117459929034,0.2528458302400396,0.2553008419888145,0.2585973962171456,0.2578636134876698,0.2641624862351646,0.25756160238492926,0.2638659573167003,0.1729891006515253,0.0,0.2738499536894103,0.2797644871397582,0.2703667240954959
T13,0.2645663313721769,0.266256536450323,0.2675233644859813,0.2672998666316453,0.2738853503184713,0.2718009783369002,0.2738668017219549,0.2805351747949935,0.2770299609205384,0.2741588238912468,0.2778497809047707,0.2738499536894103,0.0,0.2531714389271475,0.2400263173634786
T14,0.2687381103360812,0.2768138314294535,0.2766508964981213,0.27751668323935286,0.2784016876589936,0.2791646070192783,0.27852630668531136,0.2905401225020108,0.286441835910813,0.2830979835974594,0.27865956284429805,0.2797644871397582,0.2531714389271475,0.0,0.2549404261551984
T15,0.27045858535485345,0.2701096612142376,0.2694709772226304,0.2706669143600222,0.273012745520596,0.2706794371259885,0.270778630620293,0.27067443838334426,0.2782210676068534,0.2708027410670582,0.27057399181164515,0.2703667240954959,0.2400263173634786,0.2549404261551984,0.0
