sensitivity_variant,variant_description,n_runs,n_success,n_failed,n_objective_improved,n_not_improved,lr_init,lr_milestones,clip_grad_norm,h_central_diff,init_strategy,n_restarts,RMSE_miss_mean,RMSE_miss_std,RMSE_miss,MAE_miss_mean,MAE_miss_std,MAE_miss,Pearson_miss_mean,Pearson_miss_std,Pearson_miss,Spearman_miss_mean,Spearman_miss_std,Spearman_miss,runtime_seconds_mean,runtime_seconds_std,runtime_seconds,Delta_init_mean,Delta_init_std,Delta_init,Delta_final_mean,Delta_final_std,Delta_final,Delta_reduction_percent_mean,Delta_reduction_percent_std,Delta_reduction_percent,best_epoch_mean,best_epoch_std,best_epoch,epochs_used_mean,epochs_used_std,epochs_used,convergence_epoch_mean,convergence_epoch_std,convergence_epoch,final_learning_rate_mean,final_learning_rate_std,final_learning_rate,max_abs_error_observed_mean,max_abs_error_observed_std,max_abs_error_observed,mean_abs_error_observed_mean,mean_abs_error_observed_std,mean_abs_error_observed
baseline,"two-way initialization, one restart, default lr schedule, clip=5.0, h=1e-5",5,5,0,5,0,0.02,"(700, 2000, 4000)",5.0,1e-05,two_way_mean,1,0.025383469893743193,0.009610767622031256,0.025383 ± 0.009611,0.013589695759269802,0.005459813762559142,0.013590 ± 0.005460,0.9237385771863593,0.04111236938761463,0.923739 ± 0.041112,0.9006232391360026,0.03967408802728279,0.900623 ± 0.039674,35.60950336400001,0.909043204655108,35.6095 ± 0.9090,128.14429356313866,45.32268554896012,128.1443 ± 45.3227,22.295097796812275,2.0919400422026686,22.2951 ± 2.0919,80.90177546450509,6.253127892975118,80.901775 ± 6.253128,4700.0,273.8612787525831,4700.000000 ± 273.861279,5000.0,0.0,5000.000000 ± 0.000000,4700.0,273.8612787525831,4700.000000 ± 273.861279,0.0025,0.0,0.002500 ± 0.000000,0.0,0.0,0.000000 ± 0.000000,0.0,0.0,0.000000 ± 0.000000
old_global_mean_init,"old initialization only: global mean, 1 restart",5,5,0,5,0,0.02,"(700, 2000, 4000)",5.0,1e-05,global_mean,1,0.025322267233689404,0.009631197173815055,0.025322 ± 0.009631,0.013589622945308452,0.0055285416140774075,0.013590 ± 0.005529,0.9244008338308844,0.04115315139535653,0.924401 ± 0.041153,0.9009647400324425,0.03484261114753251,0.900965 ± 0.034843,35.562108046399956,0.7041837935716235,35.5621 ± 0.7042,121.48896397351079,34.55172547701513,121.4890 ± 34.5517,22.244813165758238,2.103068152981477,22.2448 ± 2.1031,80.93600669494585,3.5387126766166097,80.936007 ± 3.538713,4600.0,223.60679774997897,4600.000000 ± 223.606798,5000.0,0.0,5000.000000 ± 0.000000,4600.0,223.60679774997897,4600.000000 ± 223.606798,0.0025,0.0,0.002500 ± 0.000000,0.0,0.0,0.000000 ± 0.000000,0.0,0.0,0.000000 ± 0.000000
two_restarts,"two-way initialization, two restarts",5,5,0,5,0,0.02,"(700, 2000, 4000)",5.0,1e-05,two_way_mean,2,0.025398801478485094,0.009723270753940744,0.025399 ± 0.009723,0.01364578020871044,0.0055544974473379005,0.013646 ± 0.005554,0.9233785116709032,0.04288314091109218,0.923379 ± 0.042883,0.9008110646290446,0.03941864796887659,0.900811 ± 0.039419,70.85843875619994,0.7405449460464092,70.8584 ± 0.7405,136.56867963505786,46.37868616320642,136.5687 ± 46.3787,22.279417360093827,2.097677735417208,22.2794 ± 2.0977,82.2764720680218,5.291234492026298,82.276472 ± 5.291234,4600.0,223.60679774997897,4600.000000 ± 223.606798,5000.0,0.0,5000.000000 ± 0.000000,4600.0,223.60679774997897,4600.000000 ± 223.606798,0.0025,0.0,0.002500 ± 0.000000,0.0,0.0,0.000000 ± 0.000000,0.0,0.0,0.000000 ± 0.000000
lr_init_low,lower initial learning rate: lr_init=0.01,5,5,0,5,0,0.01,"(700, 2000, 4000)",5.0,1e-05,two_way_mean,1,0.02537895818396388,0.009664791566068804,0.025379 ± 0.009665,0.013657678287033754,0.005477998841482206,0.013658 ± 0.005478,0.9238999445459843,0.041264412931785774,0.923900 ± 0.041264,0.9012550157944164,0.042294337992239694,0.901255 ± 0.042294,35.63362576100044,0.23300707565807205,35.6336 ± 0.2330,128.14429356313866,45.32268554896012,128.1443 ± 45.3227,21.914358488573708,2.0352000358581153,21.9144 ± 2.0352,81.19963538216902,6.250063031176621,81.199635 ± 6.250063,4900.0,223.60679774997897,4900.000000 ± 223.606798,5000.0,0.0,5000.000000 ± 0.000000,4900.0,223.60679774997897,4900.000000 ± 223.606798,0.00125,0.0,0.001250 ± 0.000000,0.0,0.0,0.000000 ± 0.000000,0.0,0.0,0.000000 ± 0.000000
lr_init_high,higher initial learning rate: lr_init=0.04,5,5,0,5,0,0.04,"(700, 2000, 4000)",5.0,1e-05,two_way_mean,1,0.025368822464431024,0.009616164541284163,0.025369 ± 0.009616,0.01356517940953356,0.005568210223150203,0.013565 ± 0.005568,0.9242076331863986,0.04205752575341485,0.924208 ± 0.042058,0.9027746947835738,0.03976164429126603,0.902775 ± 0.039762,35.64365925599996,0.3750542395459426,35.6437 ± 0.3751,128.14429356313866,45.32268554896012,128.1443 ± 45.3227,23.002798390551625,2.3777027991437985,23.0028 ± 2.3777,80.33949974120496,6.2971700249646885,80.339500 ± 6.297170,4900.0,223.60679774997897,4900.000000 ± 223.606798,5000.0,0.0,5000.000000 ± 0.000000,4900.0,223.60679774997897,4900.000000 ± 223.606798,0.005,0.0,0.005000 ± 0.000000,0.0,0.0,0.000000 ± 0.000000,0.0,0.0,0.000000 ± 0.000000
schedule_fast_decay,"earlier LR milestones: 300, 1000, 2500",5,5,0,5,0,0.02,"(300, 1000, 2500)",5.0,1e-05,two_way_mean,1,0.02542317768118123,0.009679217838463601,0.025423 ± 0.009679,0.013650853611364122,0.005483857869891375,0.013651 ± 0.005484,0.923536267361067,0.0421566626451949,0.923536 ± 0.042157,0.904635874669171,0.02662167330476479,0.904636 ± 0.026622,35.29601819,0.327710171924521,35.2960 ± 0.3277,128.14429356313866,45.32268554896012,128.1443 ± 45.3227,22.289532012709035,2.161154684142037,22.2895 ± 2.1612,80.92093608362134,6.200897841146052,80.920936 ± 6.200898,3900.0,741.6198487095663,3900.000000 ± 741.619849,5000.0,0.0,5000.000000 ± 0.000000,3900.0,741.6198487095663,3900.000000 ± 741.619849,0.0025,0.0,0.002500 ± 0.000000,0.0,0.0,0.000000 ± 0.000000,0.0,0.0,0.000000 ± 0.000000
schedule_slow_decay,"later LR milestones: 1500, 3000, 5000",5,5,0,5,0,0.02,"(1500, 3000, 5000)",5.0,1e-05,two_way_mean,1,0.025381701465967847,0.009724535812097227,0.025382 ± 0.009725,0.01356220913181046,0.005545074422828139,0.013562 ± 0.005545,0.9236035948555962,0.042896471267041915,0.923604 ± 0.042896,0.9057969777170664,0.03564211620428188,0.905797 ± 0.035642,35.405830936799795,0.23812089807180178,35.4058 ± 0.2381,128.14429356313866,45.32268554896012,128.1443 ± 45.3227,22.919085230111243,2.568635767118859,22.9191 ± 2.5686,80.43055481260305,6.26869596385642,80.430555 ± 6.268696,4200.0,570.087712549569,4200.000000 ± 570.087713,5000.0,0.0,5000.000000 ± 0.000000,4200.0,570.087712549569,4200.000000 ± 570.087713,0.0025,0.0,0.002500 ± 0.000000,0.0,0.0,0.000000 ± 0.000000,0.0,0.0,0.000000 ± 0.000000
clip_low,stronger gradient clipping: clip=1.0,5,5,0,5,0,0.02,"(700, 2000, 4000)",1.0,1e-05,two_way_mean,1,0.02534558127937588,0.009739650659653626,0.025346 ± 0.009740,0.013603322681370992,0.005537797856526936,0.013603 ± 0.005538,0.9236922967042049,0.04292276637044587,0.923692 ± 0.042923,0.9033893963971655,0.04069706280446547,0.903389 ± 0.040697,35.33214144399972,0.27679867499212396,35.3321 ± 0.2768,128.14429356313866,45.32268554896012,128.1443 ± 45.3227,22.269340194237206,2.1904414836614654,22.2693 ± 2.1904,80.93421933726768,6.22807445820331,80.934219 ± 6.228074,4600.0,223.60679774997897,4600.000000 ± 223.606798,5000.0,0.0,5000.000000 ± 0.000000,4600.0,223.60679774997897,4600.000000 ± 223.606798,0.0025,0.0,0.002500 ± 0.000000,0.0,0.0,0.000000 ± 0.000000,0.0,0.0,0.000000 ± 0.000000
clip_high,weaker gradient clipping: clip=10.0,5,5,0,5,0,0.02,"(700, 2000, 4000)",10.0,1e-05,two_way_mean,1,0.02538174761908397,0.009622969207540273,0.025382 ± 0.009623,0.013589553461295478,0.0054677174301663726,0.013590 ± 0.005468,0.9236526720776226,0.041231964255909165,0.923653 ± 0.041232,0.8996158114915052,0.039038207488077514,0.899616 ± 0.039038,35.34838508980029,0.3556986872316775,35.3484 ± 0.3557,128.14429356313866,45.32268554896012,128.1443 ± 45.3227,22.291834364140737,2.134211181823936,22.2918 ± 2.1342,80.9071061400492,6.252209504027299,80.907106 ± 6.252210,4800.0,273.8612787525831,4800.000000 ± 273.861279,5000.0,0.0,5000.000000 ± 0.000000,4800.0,273.8612787525831,4800.000000 ± 273.861279,0.0025,0.0,0.002500 ± 0.000000,0.0,0.0,0.000000 ± 0.000000,0.0,0.0,0.000000 ± 0.000000
clip_none,no gradient clipping,5,5,0,5,0,0.02,"(700, 2000, 4000)",,1e-05,two_way_mean,1,0.03286450295716925,0.015949716424287528,0.032865 ± 0.015950,0.01814659525795355,0.009496907141382531,0.018147 ± 0.009497,0.8322128855928875,0.20155806965023595,0.832213 ± 0.201558,0.8575941261845813,0.1059804717766541,0.857594 ± 0.105980,35.26428066159988,0.28484114504577546,35.2643 ± 0.2848,128.14429356313866,45.32268554896012,128.1443 ± 45.3227,42.15767052082465,46.17426929761412,42.1577 ± 46.1743,70.08137079811624,21.933200670061836,70.081371 ± 21.933201,4700.0,273.8612787525831,4700.000000 ± 273.861279,5000.0,0.0,5000.000000 ± 0.000000,4700.0,273.8612787525831,4700.000000 ± 273.861279,0.0025,0.0,0.002500 ± 0.000000,0.0,0.0,0.000000 ± 0.000000,0.0,0.0,0.000000 ± 0.000000
