restart,epoch,full_delta,best_delta,objective_for_grad,best_objective_for_grad,best_epoch,learning_rate,optimized_variables,event
0,1,79.03986928392831,79.03986928392831,0.17371399842621607,0.17371399842621607,1,0.02,89,checkpoint
0,500,9.249198661940152,9.249198661940152,0.020327909147121213,0.020327909147121213,500,0.02,89,checkpoint
0,1000,4.91935082073939,4.91935082073939,0.010811760045581077,0.010811760045581077,1000,0.01,89,checkpoint
0,1500,4.462881243300787,4.462881243300787,0.009808530205056674,0.009808530205056674,1500,0.01,89,checkpoint
0,2000,5.3492725075771475,4.462881243300787,0.01175664287379593,0.009808530205056674,1500,0.005,89,checkpoint
0,2500,3.2595158046688857,3.2595158046688857,0.007163770999272276,0.007163770999272276,2500,0.005,89,checkpoint
0,3000,2.982448657362341,2.982448657362341,0.006554832213983167,0.006554832213983167,3000,0.005,89,checkpoint
0,3500,2.9190233180276577,2.9190233180276577,0.00641543586379705,0.00641543586379705,3500,0.005,89,checkpoint
0,4000,3.141805453320198,2.9190233180276577,0.006905066930374061,0.00641543586379705,3500,0.0025,89,checkpoint
0,4500,2.091119579903979,2.091119579903979,0.004595867208580174,0.004595867208580174,4500,0.0025,89,checkpoint
0,5000,2.015244428705508,2.015244428705508,0.0044291086345176,0.0044291086345176,5000,0.0025,89,checkpoint
