restart,epoch,full_delta,best_delta,objective_for_grad,best_objective_for_grad,best_epoch,learning_rate,optimized_variables,event
0,1,66.19934740642091,66.19934740642091,0.14549307122290311,0.14549307122290311,1,0.02,52,checkpoint
0,500,23.405052033051653,23.405052033051653,0.051439674797915724,0.051439674797915724,500,0.02,52,checkpoint
0,1000,22.121604931722377,22.121604931722377,0.04861891193785138,0.04861891193785138,1000,0.01,52,checkpoint
0,1500,22.049655652149752,22.049655652149752,0.04846078165307638,0.04846078165307638,1500,0.01,52,checkpoint
0,2000,21.368606101752246,21.368606101752246,0.04696396945440054,0.04696396945440054,2000,0.005,52,checkpoint
0,2500,20.62303770913252,20.62303770913252,0.045325357602489055,0.045325357602489055,2500,0.005,52,checkpoint
0,3000,20.679858812246476,20.62303770913252,0.045450239147794454,0.045325357602489055,2500,0.005,52,checkpoint
0,3500,20.654958984370204,20.62303770913252,0.04539551425136309,0.045325357602489055,2500,0.005,52,checkpoint
0,4000,20.56528290927082,20.56528290927082,0.045198423976419384,0.045198423976419384,4000,0.0025,52,checkpoint
0,4500,20.096664852157552,20.096664852157552,0.04416849418056605,0.04416849418056605,4500,0.0025,52,checkpoint
0,5000,20.195022914538278,20.096664852157552,0.04438466574623797,0.04416849418056605,4500,0.0025,52,checkpoint
