restart,epoch,full_delta,best_delta,objective_for_grad,best_objective_for_grad,best_epoch,learning_rate,optimized_variables,event
0,1,66.19934834072853,66.19934834072853,0.14549307327632643,0.14549307327632643,1,0.02,52,checkpoint
0,500,24.798724370094263,24.798724370094263,0.054502690923284094,0.054502690923284094,500,0.02,52,checkpoint
0,1000,21.350278386737916,21.350278386737916,0.04692368876206136,0.04692368876206136,1000,0.01,52,checkpoint
0,1500,21.816345393821138,21.350278386737916,0.04794801185455195,0.04692368876206136,1000,0.01,52,checkpoint
0,2000,21.542894989050133,21.350278386737916,0.047347021953956334,0.04692368876206136,1000,0.005,52,checkpoint
0,2500,20.55721225956279,20.55721225956279,0.045180686284753385,0.045180686284753385,2500,0.005,52,checkpoint
0,3000,20.51886460586904,20.51886460586904,0.04509640572718471,0.04509640572718471,3000,0.005,52,checkpoint
0,3500,20.613944716531893,20.51886460586904,0.045305373003366796,0.04509640572718471,3000,0.005,52,checkpoint
0,4000,20.41282966092808,20.41282966092808,0.04486336189214962,0.04486336189214962,4000,0.0025,52,checkpoint
0,4500,19.94127822128799,19.94127822128799,0.04382698510173185,0.04382698510173185,4500,0.0025,52,checkpoint
0,5000,19.992120274530528,19.94127822128799,0.04393872587808907,0.04382698510173185,4500,0.0025,52,checkpoint
