restart,epoch,full_delta,best_delta,objective_for_grad,best_objective_for_grad,best_epoch,learning_rate,optimized_variables,event
0,1,94.20594432981545,94.20594432981545,0.2070460314940999,0.2070460314940999,1,0.02,52,checkpoint
0,500,27.80269384391193,27.80269384391193,0.061104821634971274,0.061104821634971274,500,0.02,52,checkpoint
0,1000,25.0274264956228,25.0274264956228,0.05500533295741275,0.05500533295741275,1000,0.01,52,checkpoint
0,1500,24.870774911484446,24.870774911484446,0.054661043761504276,0.054661043761504276,1500,0.01,52,checkpoint
0,2000,24.567866326890993,24.567866326890993,0.05399531060855163,0.05399531060855163,2000,0.005,52,checkpoint
0,2500,23.44260867511345,23.44260867511345,0.05152221686838121,0.05152221686838121,2500,0.005,52,checkpoint
0,3000,23.780817407873748,23.44260867511345,0.052265532764557684,0.05152221686838121,2500,0.005,52,checkpoint
0,3500,23.62001160674706,23.44260867511345,0.05191211342142211,0.05152221686838121,2500,0.005,52,checkpoint
0,4000,23.519180608983703,23.44260867511345,0.051690506832931214,0.05152221686838121,2500,0.0025,52,checkpoint
0,4500,22.927043368911868,22.927043368911868,0.05038910630530081,0.05038910630530081,4500,0.0025,52,checkpoint
0,5000,22.904653080163577,22.904653080163577,0.050339896879480386,0.050339896879480386,5000,0.0025,52,checkpoint
