,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2413251194367613,-1.0,-1.0,-1.0
T2,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2134250243427458,-1.0,0.2170960897241588,-1.0,0.2498469824947974,-1.0,-1.0,-1.0
T3,-1.0,-1.0,0.0,-1.0,-1.0,0.164294403892944,-1.0,-1.0,-1.0,0.2146752302472128,-1.0,-1.0,-1.0,-1.0,-1.0
T4,-1.0,-1.0,-1.0,0.0,0.1516340670795266,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
T5,-1.0,-1.0,-1.0,0.1516340670795266,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2587382517353646,-1.0,-1.0,-1.0,-1.0
T6,-1.0,-1.0,0.164294403892944,-1.0,-1.0,0.0,0.2090612039713459,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
T7,-1.0,-1.0,-1.0,-1.0,-1.0,0.2090612039713459,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
T8,-1.0,0.2134250243427458,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.2805351747949935,-1.0,-1.0
T9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.2636956789363535,-1.0,-1.0,-1.0,-1.0
T10,-1.0,0.2170960897241588,0.2146752302472128,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.2653535600685099,-1.0,0.2741588238912468,-1.0,-1.0
T11,-1.0,-1.0,-1.0,-1.0,0.2587382517353646,-1.0,-1.0,-1.0,0.2636956789363535,0.2653535600685099,0.0,-1.0,-1.0,0.2869101506789855,-1.0
T12,0.2413251194367613,0.2498469824947974,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
T13,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2805351747949935,-1.0,0.2741588238912468,-1.0,-1.0,0.0,0.2531714389271475,0.2400263173634786
T14,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2869101506789855,-1.0,0.2531714389271475,0.0,-1.0
T15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2400263173634786,-1.0,0.0
