method,pct_missing,replicate,mask_seed,file,path,success_tree,error_message_tree,nj_tree_file,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,runtime_seconds,success,success_numerical,success_valid_matrix,epochs_used,convergence_epoch,Delta_normalized_completed,Delta_relative_to_original,max_abs_error_observed,mean_abs_error_observed,RF,nRF,shared_splits,ref_splits,est_splits,split_precision,split_recall,split_F1,false_positive_splits,false_negative_splits,nj_vs_ML_pat_MAE,nj_vs_ML_pat_RMSE,nj_vs_ML_pat_Pearson,nj_vs_ML_pat_Spearman,input_vs_ML_pat_MAE,input_vs_ML_pat_RMSE,input_vs_ML_pat_Pearson,input_vs_ML_pat_Spearman,n_taxa,matched_matrix_labels_json
Hyb-Adam-UM,30,1,55,HybAdamUM_completed_p30_rep01_seed55.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p30_rep01_seed55.csv,True,,Hyb-Adam-UM_NJ_p30_rep01_seed55.treefile,0.3047619047619048,105,32,73,32,0.0163668067773786,0.0074208887265061,0.954740036850074,0.940615835777126,21.87851676599996,True,True,True,5000,4500,0.0147625818145921,0.7174737751819507,0.0,0.0,0.0,0.0,12.0,12.0,12.0,1.0,1.0,1.0,,,0.4034655127546775,0.45261774365807883,0.9486117406459114,0.9628136014928468,0.40350263701295236,0.45266307136154943,0.9485343586882106,0.9599626788306033,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
Hyb-Adam-UM,30,2,56,HybAdamUM_completed_p30_rep02_seed56.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p30_rep02_seed56.csv,True,,Hyb-Adam-UM_NJ_p30_rep02_seed56.treefile,0.3047619047619048,105,32,73,32,0.0283782649865765,0.0115154985911921,0.9283946556031272,0.9578445747800584,21.603721935000067,True,True,True,5000,5000,0.0144452059263842,0.692506920314698,0.0,0.0,8.0,0.3333333333333333,8.0,12.0,12.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,T1|T3;T2|T6;T1|T3|T4;T1|T3|T4|T5,T2|T3;T1|T2|T3;T1|T2|T3|T4;T1|T2|T3|T4|T5,0.40550304242945967,0.45353968649772336,0.9705776641775578,0.9792971179763633,0.4054467441558521,0.45336019623173895,0.968817158912968,0.9746941737507775,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
Hyb-Adam-UM,30,3,57,HybAdamUM_completed_p30_rep03_seed57.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p30_rep03_seed57.csv,True,,Hyb-Adam-UM_NJ_p30_rep03_seed57.treefile,0.3047619047619048,105,32,73,32,0.0232819563131294,0.0124278206862903,0.9190944398697511,0.8929618768328444,21.71777569099993,True,True,True,5000,4500,0.0141674346184985,0.6836721901369713,0.0,0.0,4.0,0.16666666666666666,10.0,12.0,12.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,T10|T11|T12|T13|T14|T15;T1|T2|T3|T4|T5|T6|T9,T7|T8|T9;T10|T7|T8|T9,0.40138744489961375,0.45164695493196766,0.9313365852519987,0.9526643168152602,0.4017345398611158,0.45211740962266683,0.9296522474883624,0.9495023844080447,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
Hyb-Adam-UM,30,4,58,HybAdamUM_completed_p30_rep04_seed58.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p30_rep04_seed58.csv,True,,Hyb-Adam-UM_NJ_p30_rep04_seed58.treefile,0.3047619047619048,105,32,73,32,0.0151954078986294,0.0068222111588626,0.9497746715046408,0.9354838709677415,21.502903608999983,True,True,True,5000,4500,0.0146774429828106,0.7139168650172952,0.0,0.0,0.0,0.0,12.0,12.0,12.0,1.0,1.0,1.0,,,0.4043827783431441,0.4537499490912734,0.9504088430195919,0.9744142649803027,0.4043353780675342,0.4536166936213965,0.9507745845225193,0.9709827907941115,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
Hyb-Adam-UM,30,5,59,HybAdamUM_completed_p30_rep05_seed59.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p30_rep05_seed59.csv,True,,Hyb-Adam-UM_NJ_p30_rep05_seed59.treefile,0.3047619047619048,105,32,73,32,0.0115802161038844,0.005941714992662,0.9734522454214524,0.9615102639296188,21.50309881800001,True,True,True,5000,4500,0.0158845422983708,0.7716769167579471,0.0,0.0,6.0,0.25,9.0,12.0,12.0,0.75,0.75,0.75,T13|T15;T8|T9;T10|T8|T9,T14|T15;T7|T8;T7|T8|T9,0.4039152403575276,0.45313567842347097,0.9592991128936189,0.9768297739995854,0.4041906958894141,0.45338263015033153,0.9582834205704598,0.9713352685050798,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
Hyb-Adam-UM,30,6,60,HybAdamUM_completed_p30_rep06_seed60.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p30_rep06_seed60.csv,True,,Hyb-Adam-UM_NJ_p30_rep06_seed60.treefile,0.3047619047619048,105,32,73,32,0.004755745536723,0.0036527618930544,0.9956434399933742,0.9681085043988268,21.700425389999964,True,True,True,5000,4500,0.0142850877801404,0.6875000571981096,0.0,0.0,0.0,0.0,12.0,12.0,12.0,1.0,1.0,1.0,,,0.40446849527270134,0.45276213787042435,0.9687765405801929,0.9818162969106365,0.4047623746432686,0.4531532752244224,0.9675521978449196,0.976477296288617,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
Hyb-Adam-UM,30,7,61,HybAdamUM_completed_p30_rep07_seed61.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p30_rep07_seed61.csv,True,,Hyb-Adam-UM_NJ_p30_rep07_seed61.treefile,0.3047619047619048,105,32,73,32,0.0156229597616548,0.0076732657897864,0.9796626940315404,0.9893695014662756,21.474734685000044,True,True,True,5000,5000,0.0144517958483911,0.6929338060488638,0.0,0.0,2.0,0.08333333333333333,11.0,12.0,12.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,T2|T3|T4,T1|T2|T3,0.40502630679683777,0.45358138875051046,0.9791746356189741,0.9761351855691477,0.4049201766279628,0.4532847802441733,0.9789919863777691,0.9768090400165871,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
Hyb-Adam-UM,30,8,62,HybAdamUM_completed_p30_rep08_seed62.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p30_rep08_seed62.csv,True,,Hyb-Adam-UM_NJ_p30_rep08_seed62.treefile,0.3047619047619048,105,32,73,32,0.0097792875314391,0.0054128529278566,0.9717930782879954,0.9039589442815248,21.926042354999936,True,True,True,5000,5000,0.0159307971097592,0.7804113759193194,0.0,0.0,4.0,0.16666666666666666,10.0,12.0,12.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,T13|T15;T7|T9,T14|T15;T7|T8,0.40407615601241625,0.45259303141780083,0.9658088053634414,0.986688782915198,0.4043908863307655,0.45306757368015155,0.961928572811587,0.9623678208583869,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
Hyb-Adam-UM,30,9,63,HybAdamUM_completed_p30_rep09_seed63.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p30_rep09_seed63.csv,True,,Hyb-Adam-UM_NJ_p30_rep09_seed63.treefile,0.3047619047619048,105,32,73,32,0.0173509805182748,0.0082483138158323,0.9727725031237212,0.9732404692082112,21.83947251699999,True,True,True,5000,4500,0.0147699136172677,0.7180451867347815,0.0,0.0,6.0,0.25,9.0,12.0,12.0,0.75,0.75,0.75,T1|T2;T3|T4;T7|T9,T2|T3;T7|T8;T1|T2|T3,0.40442640966285875,0.4529007227297315,0.9779573740246975,0.986232635289239,0.40498304329240586,0.4532474675295525,0.9741982680404231,0.9759278457391665,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
Hyb-Adam-UM,30,10,64,HybAdamUM_completed_p30_rep10_seed64.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p30_rep10_seed64.csv,True,,Hyb-Adam-UM_NJ_p30_rep10_seed64.treefile,0.3047619047619048,105,32,73,32,0.0342560743515343,0.0188326116744519,0.9265898941152944,0.9490469208211144,21.68857567400005,True,True,True,5000,4500,0.0124780965183015,0.5971095598347257,0.0,0.0,8.0,0.3333333333333333,8.0,12.0,12.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,T1|T2;T4|T6;T1|T2|T5;T1|T2|T3|T5,T2|T3;T1|T2|T3;T1|T2|T3|T4;T1|T2|T3|T4|T5,0.40397588594824224,0.45339125305886313,0.9594114392570625,0.970588845117147,0.40405396594481713,0.4532944578158016,0.9576175263302809,0.9654468173336097,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
