,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,0.0862953692115143,0.0854032409435024,0.1054918755510769,0.1441001564945226,0.1364271856035119,0.1559392218358991,0.2099191171860304,0.1469365468564816,0.1844432045741175,0.2476423990946812,0.2413251194367613,0.2645663313721769,0.22227398863852293,0.2619664875118558
T2,0.0862953692115143,0.0,0.0410321489001692,0.1065313111545988,0.1514616321559074,0.1642226954669911,0.2058362096015061,0.2134250243427458,0.2059022025891159,0.2170960897241588,0.2533063923585599,0.2498469824947974,0.24989965827861732,0.2768138314294535,0.2701096612142376
T3,0.0854032409435024,0.0410321489001692,0.0,0.09621043080747158,0.11522827996037772,0.164294403892944,0.1835561297881777,0.2115922637148765,0.15868140826281604,0.2146752302472128,0.2500918329864087,0.24412947486131725,0.2675233644859813,0.2745001234263144,0.2359557179860307
T4,0.1054918755510769,0.1065313111545988,0.09621043080747158,0.0,0.1516340670795266,0.10126849055949119,0.2062409197144842,0.2147163775070751,0.1834386250279429,0.2183400760083364,0.2576197836166924,0.22975918727911337,0.2697139303482587,0.22087704310954578,0.2706669143600222
T5,0.1441001564945226,0.1514616321559074,0.11522827996037772,0.1516340670795266,0.0,0.1709433040078201,0.2085893416927899,0.16387529758774982,0.2090847541084508,0.22497564539698,0.2587382517353646,0.2553008419888145,0.2738853503184713,0.2784016876589936,0.20604827549501603
T6,0.1364271856035119,0.1642226954669911,0.164294403892944,0.10126849055949119,0.1709433040078201,0.0,0.2090612039713459,0.15630303431469905,0.16470839670947335,0.217486604968339,0.2595002762600528,0.22528041464999338,0.274922791846819,0.21390425147544723,0.2733485193621868
T7,0.1559392218358991,0.2058362096015061,0.1835561297881777,0.2062409197144842,0.2085893416927899,0.2090612039713459,0.0,0.147001691835328,0.053273674186525385,0.11694577733243164,0.2600515950418423,0.2578636134876698,0.2738668017219549,0.2211082890309259,0.17665117938820285
T8,0.2099191171860304,0.2134250243427458,0.2115922637148765,0.2147163775070751,0.16387529758774982,0.15630303431469905,0.147001691835328,0.0,0.1556684622918707,0.1890169902912621,0.21506097357979534,0.17769337645898187,0.2805351747949935,0.2905401225020108,0.2807049864898059
T9,0.1469365468564816,0.2059022025891159,0.15868140826281604,0.1834386250279429,0.2090847541084508,0.16470839670947335,0.053273674186525385,0.1556684622918707,0.0,0.1877486077963405,0.2636956789363535,0.2621891159812854,0.2770299609205384,0.286441835910813,0.1978769108505049
T10,0.1844432045741175,0.2170960897241588,0.2146752302472128,0.2183400760083364,0.22497564539698,0.217486604968339,0.11694577733243164,0.1890169902912621,0.1877486077963405,0.0,0.2653535600685099,0.2638659573167003,0.2741588238912468,0.2830979835974594,0.1661971033057933
T11,0.2476423990946812,0.2533063923585599,0.2500918329864087,0.2576197836166924,0.2587382517353646,0.2595002762600528,0.2600515950418423,0.21506097357979534,0.2636956789363535,0.2653535600685099,0.0,0.050147036256909416,0.16742755901279238,0.2869101506789855,0.2690508432845008
T12,0.2413251194367613,0.2498469824947974,0.24412947486131725,0.22975918727911337,0.2553008419888145,0.22528041464999338,0.2578636134876698,0.17769337645898187,0.2621891159812854,0.2638659573167003,0.050147036256909416,0.0,0.2738499536894103,0.2797644871397582,0.2703667240954959
T13,0.2645663313721769,0.24989965827861732,0.2675233644859813,0.2697139303482587,0.2738853503184713,0.274922791846819,0.2738668017219549,0.2805351747949935,0.2770299609205384,0.2741588238912468,0.16742755901279238,0.2738499536894103,0.0,0.2531714389271475,0.2400263173634786
T14,0.22227398863852293,0.2768138314294535,0.2745001234263144,0.22087704310954578,0.2784016876589936,0.21390425147544723,0.2211082890309259,0.2905401225020108,0.286441835910813,0.2830979835974594,0.2869101506789855,0.2797644871397582,0.2531714389271475,0.0,0.2358717917821424
T15,0.2619664875118558,0.2701096612142376,0.2359557179860307,0.2706669143600222,0.20604827549501603,0.2733485193621868,0.17665117938820285,0.2807049864898059,0.1978769108505049,0.1661971033057933,0.2690508432845008,0.2703667240954959,0.2400263173634786,0.2358717917821424,0.0
