,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,-1.0,-1.0,0.1054918755510769,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2687381103360812,-1.0
T2,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2059022025891159,-1.0,-1.0,0.2498469824947974,-1.0,-1.0,-1.0
T3,-1.0,-1.0,0.0,-1.0,-1.0,0.164294403892944,-1.0,0.2115922637148765,-1.0,-1.0,-1.0,-1.0,0.2675233644859813,-1.0,-1.0
T4,0.1054918755510769,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2697139303482587,-1.0,-1.0
T5,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.2090847541084508,0.22497564539698,-1.0,-1.0,-1.0,-1.0,-1.0
T6,-1.0,-1.0,0.164294403892944,-1.0,-1.0,0.0,0.2090612039713459,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
T7,-1.0,-1.0,-1.0,-1.0,-1.0,0.2090612039713459,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2751771255060729
T8,-1.0,-1.0,0.2115922637148765,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.1890169902912621,-1.0,-1.0,-1.0,-1.0,-1.0
T9,-1.0,0.2059022025891159,-1.0,-1.0,0.2090847541084508,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.286441835910813,-1.0
T10,-1.0,-1.0,-1.0,-1.0,0.22497564539698,-1.0,-1.0,0.1890169902912621,-1.0,0.0,0.2653535600685099,-1.0,-1.0,-1.0,-1.0
T11,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2653535600685099,0.0,-1.0,-1.0,-1.0,-1.0
T12,-1.0,0.2498469824947974,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
T13,-1.0,-1.0,0.2675233644859813,0.2697139303482587,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.2400263173634786
T14,0.2687381103360812,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.286441835910813,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
T15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2751771255060729,-1.0,-1.0,-1.0,-1.0,-1.0,0.2400263173634786,-1.0,0.0
