method,pct_missing,replicate,mask_seed,file,path,success,error_message,n_taxa,n_pairs,n_edges,n_terminal_edges,n_internal_edges,nnls_rnorm,branch_fit_solver,tree_length_ref,tree_length_hat,tree_length_abs_error,tree_length_rel_error,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,masked_file,runtime_seconds,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,max_abs_error_observed,mean_abs_error_observed,__metadata_scope,__metadata_source,edge_BL_MAE,edge_BL_RMSE,edge_BL_Bias,edge_BL_MaxAE,edge_BL_Pearson,edge_BL_Spearman,edge_BL_rel_RMSE,edge_BL_rel_MAE,terminal_BL_MAE,terminal_BL_RMSE,terminal_BL_Bias,terminal_BL_MaxAE,terminal_BL_Pearson,terminal_BL_Spearman,terminal_BL_rel_RMSE,terminal_BL_rel_MAE,internal_BL_MAE,internal_BL_RMSE,internal_BL_Bias,internal_BL_MaxAE,internal_BL_Pearson,internal_BL_Spearman,internal_BL_rel_RMSE,internal_BL_rel_MAE,fit_pat_MAE,fit_pat_RMSE,fit_pat_Bias,fit_pat_MaxAE,fit_pat_Pearson,fit_pat_Spearman,fit_pat_rel_RMSE,fit_pat_rel_MAE,input_vs_ML_pat_MAE,input_vs_ML_pat_RMSE,input_vs_ML_pat_Bias,input_vs_ML_pat_MaxAE,input_vs_ML_pat_Pearson,input_vs_ML_pat_Spearman,input_vs_ML_pat_rel_RMSE,input_vs_ML_pat_rel_MAE
KNN-Impute,30,1,55,KNNimpute_completed_p30_rep01_seed55.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep01_seed55.csv,True,,15,105,27,15,12,0.23154979644877605,scipy.optimize.nnls,3.17394,1.143144661319739,2.030795338680261,0.6398341930472098,0.3047619047619048,105,32,73,0,missing_p30_rep01_seed55.csv,0.7894238919998315,0.0618644528536575,0.050577528887423,0.8365037800126255,0.7543988269794721,0.0,0.0,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv,0.07521464217334302,0.10108066357675094,-0.07521464217334302,0.27276990282660674,0.7351221141752884,0.7794229979375449,0.6914741781403958,0.63983419304721,0.09052279984398565,0.12075851137190738,-0.09052279984398565,0.27276990282660674,0.5877931088272703,0.557142857142857,0.6955230756054772,0.614233045629429,0.05607944508503971,0.06899749016857662,-0.05607944508503971,0.12995836925816182,0.8806279634294617,0.6865159389715795,0.6766003453137048,0.6985844027576549,0.42015226962487495,0.46666765565412766,-0.42015226962487495,0.7415632595275811,0.9150762673078844,0.8015654157163591,0.6837020874690866,0.6634970967198406,0.4201522696248749,0.4674705979042674,-0.4201522696248749,0.7978743286109254,0.8449147217294822,0.8124714907733775,0.6848784563172087,0.6634970967198405
KNN-Impute,30,2,56,KNNimpute_completed_p30_rep02_seed56.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep02_seed56.csv,True,,15,105,27,15,12,0.27024676217451427,scipy.optimize.nnls,3.17394,1.2122521173908345,1.9616878826091655,0.6180607959221552,0.3047619047619048,105,32,73,0,missing_p30_rep02_seed56.csv,0.0024858730000687,0.0652475951821784,0.0592529855841655,0.909692659081736,0.75183284457478,0.0,0.0,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv,0.07396932938129497,0.09557817369739462,-0.07265510676330243,0.2221196567763221,0.7851939136904924,0.6899710048330794,0.6538326596499207,0.6292405947481566,0.07993539835233605,0.09991075476142869,-0.07993539835233605,0.2221196567763221,0.9611397114032326,0.9607142857142855,0.5754479303220302,0.5423933337035328,0.0665117431674936,0.08986919800600804,-0.0635547422770104,0.19592265096967829,0.08494681753835935,0.14010529366766927,0.8812716267703211,0.8285400525375249,0.42279621833245357,0.470260129824797,-0.42279621833245357,0.7416306000489923,0.9113713424264028,0.8882852996060543,0.688965323649924,0.6676723741565681,0.42279621833245357,0.471044472231882,-0.42279621833245357,0.8136614575600186,0.8203601625596609,0.7746423387932821,0.6901144423739609,0.6676723741565681
KNN-Impute,30,3,57,KNNimpute_completed_p30_rep03_seed57.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep03_seed57.csv,True,,15,105,27,15,12,0.27079970821201466,scipy.optimize.nnls,3.17394,1.0683162248515337,2.1056237751484663,0.6634100755365465,0.3047619047619048,105,32,73,0,missing_p30_rep03_seed57.csv,0.0026741169999695,0.0745515771101135,0.0616476257506632,0.7790584021833734,0.7001466275659822,0.0,0.0,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv,0.0779860657462395,0.10218761292469442,-0.0779860657462395,0.23902128127599911,0.7571428551617504,0.6799151936016924,0.6990466144850689,0.6634100755365465,0.096498648631808,0.12140066895949155,-0.096498648631808,0.23902128127599911,0.7162239674844444,0.47142857142857136,0.6992216589621766,0.6547815462004587,0.05484533713927886,0.07122176984280204,-0.05484533713927886,0.15650425901384452,0.7436559235092111,0.6691450839745573,0.698411985012167,0.6832110594422837,0.4235008092874034,0.4695173511403277,-0.4235008092874034,0.7385078139845009,0.8899968748383699,0.881743727970143,0.6878770988052273,0.6687850518374518,0.4235008092874034,0.4704252867091304,-0.4235008092874034,0.7763344362831726,0.8111698663879126,0.8018453244868339,0.6892072905083736,0.6687850518374518
KNN-Impute,30,4,58,KNNimpute_completed_p30_rep04_seed58.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep04_seed58.csv,True,,15,105,27,15,12,0.2614742862977437,scipy.optimize.nnls,3.17394,1.2075317617477037,1.9664082382522963,0.6195480186305653,0.3047619047619048,105,32,73,0,missing_p30_rep04_seed58.csv,0.002532389999942,0.063627770486493,0.0562507679439829,0.8077868138405767,0.6638563049853371,0.0,0.0,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv,0.07282993475008505,0.09505226301748053,-0.07282993475008505,0.2361886140859451,0.7961223234762673,0.6780644255461369,0.6502350016775557,0.6195480186305653,0.08370887075373976,0.1075869755979148,-0.08370887075373976,0.2361886140859451,0.7906676494699528,0.6428571428571428,0.6196600414565975,0.5679978383112942,0.05923126474551663,0.07654999632783645,-0.05923126474551663,0.17288492853721427,0.6879874341369479,0.46234746910330854,0.7506614200405408,0.7378467751255562,0.4218812567659217,0.4708770327070859,-0.4218812567659217,0.7536708915767295,0.9097423889211576,0.8729732531619324,0.6898691312810645,0.6662274828947735,0.4218812567659217,0.4716238796711644,-0.4218812567659217,0.804574408181269,0.8128078426910409,0.7508915612689196,0.6909633164515466,0.6662274828947735
KNN-Impute,30,5,59,KNNimpute_completed_p30_rep05_seed59.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep05_seed59.csv,True,,15,105,27,15,12,0.2181334537400654,scipy.optimize.nnls,3.17394,1.177491339779668,1.996448660220332,0.6290127287284359,0.3047619047619048,105,32,73,0,missing_p30_rep05_seed59.csv,0.0022145279999676,0.05982219130401,0.0480921785824156,0.7767180258910794,0.7543988269794721,0.0,0.0,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv,0.0749559845499073,0.10600537747787206,-0.07394254297112342,0.3029178031770026,0.5041554542332751,0.5793650793650793,0.7251632377177366,0.637633850308291,0.087347336410257,0.11963126195550301,-0.087347336410257,0.3029178031770026,0.4842181964225533,0.5642857142857142,0.6890305478973686,0.5926862686898554,0.059466794724470196,0.0859884676900112,-0.057186551172206446,0.19832907085055537,0.11426919267693997,0.44055944055944063,0.8432165690362262,0.7407807836455993,0.4193832370677132,0.4663024799208422,-0.4193832370677132,0.7498553236541287,0.9172732722363385,0.8537632179141612,0.68316707843618,0.6622826539907428,0.41938323706771313,0.4667962880248153,-0.41938323706771313,0.8208810401459585,0.8587989744521448,0.8402757619738752,0.6838905432561755,0.6622826539907427
KNN-Impute,30,6,60,KNNimpute_completed_p30_rep06_seed60.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep06_seed60.csv,True,,15,105,27,15,12,0.2947567141238492,scipy.optimize.nnls,3.17394,1.2825308439958203,1.8914091560041797,0.5959183714891206,0.3047619047619048,105,32,73,0,missing_p30_rep06_seed60.csv,0.002124422999941,0.072201191529369,0.0644766160898208,0.7480164433324543,0.6682551319648093,0.0,0.0,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv,0.07084794649225047,0.09283486605648227,-0.07005219096311777,0.24363180690032746,0.7828325065969537,0.7535930540594296,0.6350661980017362,0.6026876863742738,0.07480278023813662,0.09704572163145239,-0.07337042028569775,0.24363180690032746,0.8895530702944242,0.95,0.5589464296689154,0.5075664871878376,0.06590440430989279,0.08728609678333414,-0.06590440430989279,0.1836920201435015,0.5125154014199736,0.5801630249353875,0.8559413259873315,0.8209744025482072,0.42407244572713526,0.4737019809923922,-0.42407244572713526,0.7585250609070643,0.8742664828703645,0.7890213560024881,0.6940078861663775,0.669687770079293,0.4240724457271353,0.47468075552423017,-0.4240724457271353,0.7983100593337145,0.7604675048886179,0.7050279908770474,0.6954418621072239,0.6696877700792931
KNN-Impute,30,7,61,KNNimpute_completed_p30_rep07_seed61.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep07_seed61.csv,True,,15,105,27,15,12,0.23958070167624404,scipy.optimize.nnls,3.17394,1.2295409835185127,1.9443990164814873,0.6126136651863259,0.3047619047619048,105,32,73,0,missing_p30_rep07_seed61.csv,0.0023708210001132,0.0541079546842389,0.0463636109596788,0.8853657960153795,0.8713343108504397,0.0,0.0,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv,0.07201477838820323,0.09669369494915482,-0.07201477838820323,0.23789617857024964,0.7829392130805346,0.8240685715949114,0.6614637348077658,0.612613665186326,0.07966015108475587,0.10663247168546233,-0.07966015108475587,0.23789617857024964,0.8531938580559901,0.907142857142857,0.6141624621197521,0.5405256719900382,0.062458062517512465,0.08260541098730646,-0.062458062517512465,0.19283463776453108,0.706189678984168,0.6549458181397189,0.8100417777840608,0.7780431535125241,0.41872288032732013,0.4652711921621768,-0.41872288032732013,0.7179332133672178,0.9587520734165167,0.9369686916856728,0.6816561667952339,0.6612398302058293,0.4187228803273202,0.46601462862566834,-0.4187228803273202,0.7976673377806571,0.8769239934606459,0.8609786439975119,0.6827453553340823,0.6612398302058294
KNN-Impute,30,8,62,KNNimpute_completed_p30_rep08_seed62.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep08_seed62.csv,True,,15,105,27,15,12,0.22999411188135227,scipy.optimize.nnls,3.17394,1.1590761646822723,2.014863835317728,0.6348147209202846,0.3047619047619048,105,32,73,0,missing_p30_rep08_seed62.csv,0.0027016260000891,0.063643304412705,0.0513902686106086,0.7098409843876838,0.6044721407624634,0.0,0.0,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv,0.07645334524918287,0.10630694241341115,-0.07462458649324917,0.2724725090028607,0.5259792205180761,0.5245000824350576,0.7272261878268791,0.6503715639640124,0.08824278404144262,0.11739652970122932,-0.08824278404144262,0.2724725090028607,0.6642758391667093,0.7678571428571428,0.6761593404521203,0.598762235481125,0.06171654675885818,0.09055491168089223,-0.05760183955800735,0.22027573625076619,-0.21033433094021273,-0.028021058733533853,0.8879958439567641,0.7688060552743127,0.42033642884433275,0.468478460275539,-0.42033642884433275,0.7638942773122568,0.9085861779296222,0.8795459257723408,0.6863550480603284,0.6637879177299318,0.42033642884433275,0.4694021752200635,-0.42033642884433275,0.7532143270800844,0.8270057762019272,0.8045200082935932,0.687708357697596,0.6637879177299318
KNN-Impute,30,9,63,KNNimpute_completed_p30_rep09_seed63.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep09_seed63.csv,True,,15,105,27,15,12,0.24540421199001827,scipy.optimize.nnls,3.17394,1.1819965333329263,1.9919434666670737,0.6275932962397127,0.3047619047619048,105,32,73,0,missing_p30_rep09_seed63.csv,0.0027006750001419,0.0627375007635528,0.0491018189330703,0.7890467793324177,0.689149560117302,0.0,0.0,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv,0.07545682497176322,0.10093765992614112,-0.07377568395063237,0.23340923136056546,0.676591136727758,0.5964590964590964,0.6904959165394376,0.641894388122525,0.08406189740392041,0.10785776752728439,-0.08406189740392041,0.23340923136056546,0.8633902001260001,0.95,0.6212196999305598,0.5703932639377942,0.06470048443156674,0.09155491609198169,-0.06091791713402233,0.2245377689910989,-0.20025123507587372,-0.2937062937062937,0.8978020460114368,0.8059771134720919,0.4197025294483102,0.46817442605610576,-0.4197025294483102,0.7806249430317138,0.8988329081683682,0.8684947128343354,0.6859096157961249,0.6627868749193124,0.41970252944831027,0.46890525041549524,-0.41970252944831027,0.8135487191609505,0.8182889809519014,0.8121501140369064,0.6869803266843425,0.6627868749193125
KNN-Impute,30,10,64,KNNimpute_completed_p30_rep10_seed64.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep10_seed64.csv,True,,15,105,27,15,12,0.2513166950476826,scipy.optimize.nnls,3.17394,1.1804559971158097,1.9934840028841903,0.6280786665419605,0.3047619047619048,105,32,73,0,missing_p30_rep10_seed64.csv,0.0027715770002032,0.0592500193980719,0.0476339024378627,0.8633255575061433,0.7840909090909091,0.0,0.0,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv,0.0738327408475626,0.09734049736034768,-0.0738327408475626,0.24953217807715494,0.7962826679359599,0.7946878431772149,0.6658883908188455,0.6280786665419605,0.08682035023474767,0.11418631026632263,-0.08682035023474767,0.24953217807715494,0.7106306144602756,0.7249999999999999,0.6576696980296634,0.5891104587928396,0.05759822911358126,0.07085898774335933,-0.05759822911358126,0.13382991801308133,0.8800123789031982,0.6935212036549627,0.6948544861356591,0.7175039700231235,0.4192551644211994,0.46602032490378154,-0.4192551644211994,0.7273707109134886,0.9334541166183843,0.9553908355795148,0.6827537007961894,0.6620804039131531,0.4192551644211994,0.4668359978519986,-0.4192551644211994,0.7517237780407243,0.8499229701903376,0.866576819407008,0.6839487210437494,0.6620804039131531
