method,pct_missing,replicate,mask_seed,file,path,success_tree,error_message_tree,nj_tree_file,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,imputed_variables,n_neighbors_requested,n_neighbors_effective,knn_weights,knn_metric,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,runtime_seconds,success,success_numerical,success_valid_matrix,epochs_used,convergence_epoch,max_abs_error_observed,mean_abs_error_observed,RF,nRF,shared_splits,ref_splits,est_splits,split_precision,split_recall,split_F1,false_positive_splits,false_negative_splits,nj_vs_ML_pat_MAE,nj_vs_ML_pat_RMSE,nj_vs_ML_pat_Pearson,nj_vs_ML_pat_Spearman,input_vs_ML_pat_MAE,input_vs_ML_pat_RMSE,input_vs_ML_pat_Pearson,input_vs_ML_pat_Spearman,n_taxa,matched_matrix_labels_json
KNN-Impute,30,1,55,KNNimpute_completed_p30_rep01_seed55.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep01_seed55.csv,True,,KNN-Impute_NJ_p30_rep01_seed55.treefile,0.3047619047619048,105,32,73,0,32,5,5,distance,nan_euclidean,0.0618644528536575,0.050577528887423,0.8365037800126255,0.7543988269794721,0.7894238919998315,True,True,True,0,0,0.0,0.0,8.0,0.3333333333333333,8.0,12.0,12.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,T13|T15;T5|T6;T2|T3|T4;T1|T10|T2|T3|T4|T5|T6,T14|T15;T1|T2|T3;T10|T7|T8|T9;T1|T2|T3|T4|T5,0.4183460666806351,0.4651308859265627,0.8718842089424839,0.7160792038150529,0.42015226962487495,0.4674705979042674,0.8449147217294823,0.8124714907733775,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
KNN-Impute,30,2,56,KNNimpute_completed_p30_rep02_seed56.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep02_seed56.csv,True,,KNN-Impute_NJ_p30_rep02_seed56.treefile,0.3047619047619048,105,32,73,0,32,5,5,distance,nan_euclidean,0.0652475951821784,0.0592529855841655,0.909692659081736,0.75183284457478,0.0024858730000687,True,True,True,0,0,0.0,0.0,14.0,0.5833333333333334,5.0,12.0,12.0,0.4166666666666667,0.4166666666666667,0.4166666666666667,T10|T7;T11|T15;T12|T14;T4|T5;T8|T9;T11|T12|T14|T15;T11|T12|T13|T14|T15|T6,T11|T12;T14|T15;T7|T8;T13|T14|T15;T7|T8|T9;T1|T2|T3|T4;T1|T2|T3|T4|T5|T6,0.4222759849798046,0.47154756524197516,0.8319140055916461,0.7772237196765498,0.42279621833245357,0.471044472231882,0.820360162559661,0.7746423387932821,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
KNN-Impute,30,3,57,KNNimpute_completed_p30_rep03_seed57.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep03_seed57.csv,True,,KNN-Impute_NJ_p30_rep03_seed57.treefile,0.3047619047619048,105,32,73,0,32,5,5,distance,nan_euclidean,0.0745515771101135,0.0616476257506632,0.7790584021833734,0.7001466275659822,0.0026741169999695,True,True,True,0,0,0.0,0.0,12.0,0.5,6.0,12.0,12.0,0.5,0.5,0.5,T1|T4;T10|T8;T13|T14;T10|T8|T9;T2|T3|T5;T11|T12|T13|T14,T14|T15;T7|T8;T1|T2|T3;T13|T14|T15;T7|T8|T9;T1|T2|T3|T4,0.42233509886471093,0.4685902055928983,0.844999494567924,0.8332365747460085,0.4235008092874034,0.4704252867091304,0.8111698663879128,0.8018453244868339,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
KNN-Impute,30,4,58,KNNimpute_completed_p30_rep04_seed58.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep04_seed58.csv,True,,KNN-Impute_NJ_p30_rep04_seed58.treefile,0.3047619047619048,105,32,73,0,32,5,5,distance,nan_euclidean,0.063627770486493,0.0562507679439829,0.8077868138405767,0.6638563049853371,0.002532389999942,True,True,True,0,0,0.0,0.0,10.0,0.4166666666666667,7.0,12.0,12.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,T10|T8;T13|T15;T10|T7|T8;T10|T14|T7|T8|T9;T10|T13|T14|T15|T7|T8|T9,T14|T15;T7|T8;T13|T14|T15;T7|T8|T9;T11|T12|T13|T14|T15,0.41728983307045175,0.47077752788282495,0.7592583246428972,0.6419033796392287,0.42188125676592175,0.47162387967116437,0.8128078426910411,0.7508915612689196,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
KNN-Impute,30,5,59,KNNimpute_completed_p30_rep05_seed59.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep05_seed59.csv,True,,KNN-Impute_NJ_p30_rep05_seed59.treefile,0.3047619047619048,105,32,73,0,32,5,5,distance,nan_euclidean,0.05982219130401,0.0480921785824156,0.7767180258910794,0.7543988269794721,0.0022145279999676,True,True,True,0,0,0.0,0.0,12.0,0.5,6.0,12.0,12.0,0.5,0.5,0.5,T10|T8;T4|T6;T7|T9;T11|T14|T15;T1|T2|T3|T5;T11|T12|T14|T15,T11|T12;T7|T8;T13|T14|T15;T7|T8|T9;T1|T2|T3|T4;T1|T2|T3|T4|T5,0.41962581393259457,0.4679451334313754,0.8530724429815811,0.8113622226829774,0.41938323706771313,0.46679628802481526,0.8587989744521448,0.8402757619738752,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
KNN-Impute,30,6,60,KNNimpute_completed_p30_rep06_seed60.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep06_seed60.csv,True,,KNN-Impute_NJ_p30_rep06_seed60.treefile,0.3047619047619048,105,32,73,0,32,5,5,distance,nan_euclidean,0.072201191529369,0.0644766160898208,0.7480164433324543,0.6682551319648093,0.002124422999941,True,True,True,0,0,0.0,0.0,16.0,0.6666666666666666,4.0,12.0,12.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,T1|T4;T11|T13;T5|T6;T8|T9;T11|T12|T13;T11|T12|T13|T15;T1|T14|T2|T3|T4;T10|T5|T6|T7|T8|T9,T11|T12;T14|T15;T7|T8;T1|T2|T3;T13|T14|T15;T1|T2|T3|T4|T5;T11|T12|T13|T14|T15;T1|T2|T3|T4|T5|T6,0.42454343107263026,0.4772408667701026,0.7382171163318199,0.6689301264772963,0.4240724457271353,0.47468075552423017,0.760467504888618,0.7050279908770474,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
KNN-Impute,30,7,61,KNNimpute_completed_p30_rep07_seed61.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep07_seed61.csv,True,,KNN-Impute_NJ_p30_rep07_seed61.treefile,0.3047619047619048,105,32,73,0,32,5,5,distance,nan_euclidean,0.0541079546842389,0.0463636109596788,0.8853657960153795,0.8713343108504397,0.0023708210001132,True,True,True,0,0,0.0,0.0,6.0,0.25,9.0,12.0,12.0,0.75,0.75,0.75,T10|T9;T13|T15;T5|T6,T14|T15;T7|T8|T9;T1|T2|T3|T4|T5,0.41692525663988783,0.46382658739940313,0.9156225598680174,0.8871138295666597,0.4187228803273202,0.46601462862566834,0.876923993460646,0.8609786439975119,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
KNN-Impute,30,8,62,KNNimpute_completed_p30_rep08_seed62.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep08_seed62.csv,True,,KNN-Impute_NJ_p30_rep08_seed62.treefile,0.3047619047619048,105,32,73,0,32,5,5,distance,nan_euclidean,0.063643304412705,0.0513902686106086,0.7098409843876838,0.6044721407624634,0.0027016260000891,True,True,True,0,0,0.0,0.0,10.0,0.4166666666666667,7.0,12.0,12.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,T11|T13;T5|T6;T11|T12|T13;T10|T11|T12|T13|T14|T15;T1|T2|T3|T4|T5|T6|T9,T11|T12;T13|T14|T15;T7|T8|T9;T10|T7|T8|T9;T1|T2|T3|T4|T5,0.41573630765942077,0.4625463014606195,0.8606238489183502,0.7792349160273688,0.42033642884433275,0.46940217522006344,0.8270057762019268,0.8045200082935932,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
KNN-Impute,30,9,63,KNNimpute_completed_p30_rep09_seed63.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep09_seed63.csv,True,,KNN-Impute_NJ_p30_rep09_seed63.treefile,0.3047619047619048,105,32,73,0,32,5,5,distance,nan_euclidean,0.0627375007635528,0.0491018189330703,0.7890467793324177,0.689149560117302,0.0027006750001419,True,True,True,0,0,0.0,0.0,12.0,0.5,6.0,12.0,12.0,0.5,0.5,0.5,T13|T15;T4|T5;T10|T7|T8;T11|T13|T15;T11|T13|T14|T15;T1|T2|T3|T4|T5|T6|T9,T11|T12;T14|T15;T13|T14|T15;T7|T8|T9;T1|T2|T3|T4;T10|T7|T8|T9,0.41716561015798836,0.4656039103470088,0.8456550898944074,0.8236056396433755,0.41970252944831027,0.46890525041549524,0.8182889809519015,0.8121501140369064,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
KNN-Impute,30,10,64,KNNimpute_completed_p30_rep10_seed64.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep10_seed64.csv,True,,KNN-Impute_NJ_p30_rep10_seed64.treefile,0.3047619047619048,105,32,73,0,32,5,5,distance,nan_euclidean,0.0592500193980719,0.0476339024378627,0.8633255575061433,0.7840909090909091,0.0027715770002032,True,True,True,0,0,0.0,0.0,4.0,0.16666666666666666,10.0,12.0,12.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,T13|T14;T4|T5,T14|T15;T1|T2|T3|T4,0.42001987963776505,0.46792101271287795,0.8783280601314069,0.9158925979680695,0.4192551644211994,0.4668359978519986,0.8499229701903372,0.866576819407008,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
