,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,0.23732015646259855,0.1865076200185291,0.1054918755510769,0.238911432222266,0.12459759895857467,0.1430780525607628,0.12913987331554944,0.01667322590972052,0.14728993878412033,0.12871005433165383,0.1248334099382257,0.10207260371450763,0.2687381103360812,0.17275909645727774
T2,0.23732015646259855,0.0,0.1563844515257108,0.13849249849720813,0.0031348351075053656,0.13818413215803385,0.156664585760222,0.14272640651500862,0.2059022025891159,0.21543892399304795,0.14229658753111302,0.2498469824947974,0.17311614903870037,0.06286399278006619,0.1618254379922441
T3,0.1865076200185291,0.1563844515257108,0.0,0.0021729178319427793,0.21828395455592825,0.164294403892944,0.16259711624819112,0.2115922637148765,0.1681048530877727,0.020398870253564412,0.2384729118916932,0.1428879996354246,0.2675233644859813,0.17295624505287427,0.08873941338661848
T4,0.1054918755510769,0.13849249849720813,0.0021729178319427793,0.0,0.1348777009007944,0.21700416712060133,0.2724455279271658,0.24065309703156756,0.19596685573094497,0.1474525754528166,0.1288726910003501,0.12499604660692196,0.2697139303482587,0.10155572800515575,0.026743892805777485
T5,0.238911432222266,0.0031348351075053656,0.21828395455592825,0.1348777009007944,0.0,0.13456933456162012,0.15304978816380826,0.0310032894273808,0.2090847541084508,0.22497564539698,0.0350452089217943,0.22946586830162408,0.16950135144228662,0.06090811009405339,0.15821064039583038
T6,0.12459759895857467,0.13818413215803385,0.164294403892944,0.21700416712060133,0.13456933456162012,0.0,0.2090612039713459,0.03865679034746446,0.1499045337200958,0.17665569709210305,0.1285643246611758,0.12468768026774767,0.16344584321420375,0.15475592568519736,0.12260439461641809
T7,0.1430780525607628,0.156664585760222,0.16259711624819112,0.2724455279271658,0.15304978816380826,0.2090612039713459,0.0,0.21032673384311118,0.1683849873222839,0.16562466271583043,0.14704477826336393,0.1431681338699358,0.10040695058518859,0.1732363792873855,0.2751771255060729
T8,0.12913987331554944,0.14272640651500862,0.2115922637148765,0.24065309703156756,0.0310032894273808,0.03865679034746446,0.21032673384311118,0.0,0.19905087219985645,0.1890169902912621,0.05928231103121056,0.12922995462472245,0.046259606420327934,0.15929820004217216,0.22580929053917756
T9,0.01667322590972052,0.2059022025891159,0.1681048530877727,0.19596685573094497,0.2090847541084508,0.1499045337200958,0.1683849873222839,0.19905087219985645,0.0,0.014842508107458501,0.23721915708848035,0.03737160826472044,0.1848365506007623,0.286441835910813,0.17354583955430603
T10,0.14728993878412033,0.21543892399304795,0.020398870253564412,0.1474525754528166,0.22497564539698,0.17665569709210305,0.16562466271583043,0.1890169902912621,0.014842508107458501,0.0,0.2653535600685099,0.14738002009329335,0.2282701773886217,0.2557087406538965,0.17078551494785255
T11,0.12871005433165383,0.14229658753111302,0.2384729118916932,0.1288726910003501,0.0350452089217943,0.1285643246611758,0.14704477826336393,0.05928231103121056,0.23721915708848035,0.2653535600685099,0.0,0.12880013564082682,0.16349634154184228,0.15886838105827653,0.15220563049538605
T12,0.1248334099382257,0.2498469824947974,0.1428879996354246,0.12499604660692196,0.22946586830162408,0.12468768026774767,0.1431681338699358,0.12922995462472245,0.03737160826472044,0.14738002009329335,0.12880013564082682,0.0,0.15961969714841417,0.26814440920280525,0.1483289861019579
T13,0.10207260371450763,0.17311614903870037,0.2675233644859813,0.2697139303482587,0.16950135144228662,0.16344584321420375,0.10040695058518859,0.046259606420327934,0.1848365506007623,0.2282701773886217,0.16349634154184228,0.15961969714841417,0.0,0.2692260203421699,0.2400263173634786
T14,0.2687381103360812,0.06286399278006619,0.17295624505287427,0.10155572800515575,0.06090811009405339,0.15475592568519736,0.1732363792873855,0.15929820004217216,0.286441835910813,0.2557087406538965,0.15886838105827653,0.26814440920280525,0.2692260203421699,0.0,0.17839723151940762
T15,0.17275909645727774,0.1618254379922441,0.08873941338661848,0.026743892805777485,0.15821064039583038,0.12260439461641809,0.2751771255060729,0.22580929053917756,0.17354583955430603,0.17078551494785255,0.15220563049538605,0.1483289861019579,0.2400263173634786,0.17839723151940762,0.0
