,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,0.0862953692115143,-1.0,-1.0,-1.0,-1.0,-1.0,0.2099191171860304,-1.0,-1.0,-1.0,-1.0,0.2645663313721769,-1.0,-1.0
T2,0.0862953692115143,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2170960897241588,-1.0,-1.0,-1.0,-1.0,-1.0
T3,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.2115922637148765,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2694709772226304
T4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
T5,-1.0,-1.0,-1.0,-1.0,0.0,0.1709433040078201,-1.0,0.2176438222167879,0.2090847541084508,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
T6,-1.0,-1.0,-1.0,-1.0,0.1709433040078201,0.0,-1.0,-1.0,0.211707557031298,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
T7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2794490987560294,-1.0
T8,0.2099191171860304,-1.0,0.2115922637148765,-1.0,0.2176438222167879,-1.0,-1.0,0.0,0.1556684622918707,-1.0,-1.0,0.2641624862351646,-1.0,-1.0,-1.0
T9,-1.0,-1.0,-1.0,-1.0,0.2090847541084508,0.211707557031298,-1.0,0.1556684622918707,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
T10,-1.0,0.2170960897241588,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
T11,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.2690508432845008
T12,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2641624862351646,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
T13,0.2645663313721769,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.2531714389271475,-1.0
T14,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2794490987560294,-1.0,-1.0,-1.0,-1.0,-1.0,0.2531714389271475,0.0,0.2358717917821424
T15,-1.0,-1.0,0.2694709772226304,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2690508432845008,-1.0,-1.0,0.2358717917821424,0.0
