method,pct_missing,frac_missing_requested,missingness_actual,replicate,mask_seed,n_pairs_total,n_missing,n_observed,optimized_variables,imputed_variables,success,success_numerical,success_valid_matrix,error_message,masked_file,completed_file,n_neighbors_requested,n_neighbors_effective,knn_weights,knn_metric,epochs_used,convergence_epoch,optimizer_config_json,runtime_seconds,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,max_abs_error_observed,mean_abs_error_observed,n_success,n_failed
KNN-impute,30,0.3,0.3047619047619048,1,55,105,32,73,0,32,True,True,True,,missing_p30_rep01_seed55.csv,KNNimpute_completed_p30_rep01_seed55.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.7894238919998315,0.06186445285365752,0.05057752888742302,0.8365037800126255,0.7543988269794721,0.0,0.0,30,0
KNN-impute,30,0.3,0.3047619047619048,2,56,105,32,73,0,32,True,True,True,,missing_p30_rep02_seed56.csv,KNNimpute_completed_p30_rep02_seed56.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.00248587300006875,0.06524759518217847,0.059252985584165516,0.9096926590817361,0.75183284457478,0.0,0.0,30,0
KNN-impute,30,0.3,0.3047619047619048,3,57,105,32,73,0,32,True,True,True,,missing_p30_rep03_seed57.csv,KNNimpute_completed_p30_rep03_seed57.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0026741169999695558,0.07455157711011354,0.061647625750663265,0.7790584021833734,0.7001466275659822,0.0,0.0,30,0
KNN-impute,30,0.3,0.3047619047619048,4,58,105,32,73,0,32,True,True,True,,missing_p30_rep04_seed58.csv,KNNimpute_completed_p30_rep04_seed58.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0025323899999420973,0.06362777048649301,0.056250767943982954,0.8077868138405767,0.6638563049853371,0.0,0.0,30,0
KNN-impute,30,0.3,0.3047619047619048,5,59,105,32,73,0,32,True,True,True,,missing_p30_rep05_seed59.csv,KNNimpute_completed_p30_rep05_seed59.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.002214527999967686,0.05982219130401001,0.048092178582415664,0.7767180258910794,0.7543988269794721,0.0,0.0,30,0
KNN-impute,30,0.3,0.3047619047619048,6,60,105,32,73,0,32,True,True,True,,missing_p30_rep06_seed60.csv,KNNimpute_completed_p30_rep06_seed60.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.002124422999941089,0.07220119152936909,0.0644766160898208,0.7480164433324543,0.6682551319648093,0.0,0.0,30,0
KNN-impute,30,0.3,0.3047619047619048,7,61,105,32,73,0,32,True,True,True,,missing_p30_rep07_seed61.csv,KNNimpute_completed_p30_rep07_seed61.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.00237082100011321,0.05410795468423896,0.04636361095967885,0.8853657960153795,0.8713343108504397,0.0,0.0,30,0
KNN-impute,30,0.3,0.3047619047619048,8,62,105,32,73,0,32,True,True,True,,missing_p30_rep08_seed62.csv,KNNimpute_completed_p30_rep08_seed62.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0027016260000891634,0.06364330441270505,0.05139026861060862,0.7098409843876838,0.6044721407624634,0.0,0.0,30,0
KNN-impute,30,0.3,0.3047619047619048,9,63,105,32,73,0,32,True,True,True,,missing_p30_rep09_seed63.csv,KNNimpute_completed_p30_rep09_seed63.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0027006750001419277,0.06273750076355286,0.04910181893307032,0.7890467793324177,0.689149560117302,0.0,0.0,30,0
KNN-impute,30,0.3,0.3047619047619048,10,64,105,32,73,0,32,True,True,True,,missing_p30_rep10_seed64.csv,KNNimpute_completed_p30_rep10_seed64.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0027715770002032514,0.05925001939807199,0.047633902437862745,0.8633255575061433,0.7840909090909091,0.0,0.0,30,0
