method,pct_missing,replicate,mask_seed,file,path,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,imputed_variables,n_neighbors_requested,n_neighbors_effective,knn_weights,knn_metric,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,runtime_seconds,success,success_numerical,success_valid_matrix,epochs_used,convergence_epoch,max_abs_error_observed,mean_abs_error_observed,masked_file,completed_file,error_message
KNN-Impute,30,1,55,KNNimpute_completed_p30_rep01_seed55.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep01_seed55.csv,0.3047619047619048,105,32,73,0,32,5,5,distance,nan_euclidean,0.0618644528536575,0.050577528887423,0.8365037800126255,0.7543988269794721,0.7894238919998315,True,True,True,0,0,0.0,0.0,missing_p30_rep01_seed55.csv,KNNimpute_completed_p30_rep01_seed55.csv,
KNN-Impute,30,2,56,KNNimpute_completed_p30_rep02_seed56.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep02_seed56.csv,0.3047619047619048,105,32,73,0,32,5,5,distance,nan_euclidean,0.0652475951821784,0.0592529855841655,0.909692659081736,0.75183284457478,0.0024858730000687,True,True,True,0,0,0.0,0.0,missing_p30_rep02_seed56.csv,KNNimpute_completed_p30_rep02_seed56.csv,
KNN-Impute,30,3,57,KNNimpute_completed_p30_rep03_seed57.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep03_seed57.csv,0.3047619047619048,105,32,73,0,32,5,5,distance,nan_euclidean,0.0745515771101135,0.0616476257506632,0.7790584021833734,0.7001466275659822,0.0026741169999695,True,True,True,0,0,0.0,0.0,missing_p30_rep03_seed57.csv,KNNimpute_completed_p30_rep03_seed57.csv,
KNN-Impute,30,4,58,KNNimpute_completed_p30_rep04_seed58.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep04_seed58.csv,0.3047619047619048,105,32,73,0,32,5,5,distance,nan_euclidean,0.063627770486493,0.0562507679439829,0.8077868138405767,0.6638563049853371,0.002532389999942,True,True,True,0,0,0.0,0.0,missing_p30_rep04_seed58.csv,KNNimpute_completed_p30_rep04_seed58.csv,
KNN-Impute,30,5,59,KNNimpute_completed_p30_rep05_seed59.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep05_seed59.csv,0.3047619047619048,105,32,73,0,32,5,5,distance,nan_euclidean,0.05982219130401,0.0480921785824156,0.7767180258910794,0.7543988269794721,0.0022145279999676,True,True,True,0,0,0.0,0.0,missing_p30_rep05_seed59.csv,KNNimpute_completed_p30_rep05_seed59.csv,
KNN-Impute,30,6,60,KNNimpute_completed_p30_rep06_seed60.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep06_seed60.csv,0.3047619047619048,105,32,73,0,32,5,5,distance,nan_euclidean,0.072201191529369,0.0644766160898208,0.7480164433324543,0.6682551319648093,0.002124422999941,True,True,True,0,0,0.0,0.0,missing_p30_rep06_seed60.csv,KNNimpute_completed_p30_rep06_seed60.csv,
KNN-Impute,30,7,61,KNNimpute_completed_p30_rep07_seed61.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep07_seed61.csv,0.3047619047619048,105,32,73,0,32,5,5,distance,nan_euclidean,0.0541079546842389,0.0463636109596788,0.8853657960153795,0.8713343108504397,0.0023708210001132,True,True,True,0,0,0.0,0.0,missing_p30_rep07_seed61.csv,KNNimpute_completed_p30_rep07_seed61.csv,
KNN-Impute,30,8,62,KNNimpute_completed_p30_rep08_seed62.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep08_seed62.csv,0.3047619047619048,105,32,73,0,32,5,5,distance,nan_euclidean,0.063643304412705,0.0513902686106086,0.7098409843876838,0.6044721407624634,0.0027016260000891,True,True,True,0,0,0.0,0.0,missing_p30_rep08_seed62.csv,KNNimpute_completed_p30_rep08_seed62.csv,
KNN-Impute,30,9,63,KNNimpute_completed_p30_rep09_seed63.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep09_seed63.csv,0.3047619047619048,105,32,73,0,32,5,5,distance,nan_euclidean,0.0627375007635528,0.0491018189330703,0.7890467793324177,0.689149560117302,0.0027006750001419,True,True,True,0,0,0.0,0.0,missing_p30_rep09_seed63.csv,KNNimpute_completed_p30_rep09_seed63.csv,
KNN-Impute,30,10,64,KNNimpute_completed_p30_rep10_seed64.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p30_rep10_seed64.csv,0.3047619047619048,105,32,73,0,32,5,5,distance,nan_euclidean,0.0592500193980719,0.0476339024378627,0.8633255575061433,0.7840909090909091,0.0027715770002032,True,True,True,0,0,0.0,0.0,missing_p30_rep10_seed64.csv,KNNimpute_completed_p30_rep10_seed64.csv,
